date,open,high,low,close,volume
2014-01-02,38.969,38.969,38.3207,38.3616,1916160
2014-01-03,38.4845,39.1362,38.3958,38.8462,1866651
2014-01-06,39.1738,39.3785,38.6005,38.6551,1777472
2014-01-07,38.8667,39.3307,38.853,39.2079,1463208
2014-01-08,39.126,39.9518,39.0168,39.8494,2659468
2014-01-09,39.8562,40.0473,39.4945,39.8631,1757647
2014-01-10,39.9313,40.2725,39.6788,40.2179,1623330
2014-01-13,40.1088,40.334,39.9927,40.2179,2946738
2014-01-14,40.3749,40.9141,40.2794,40.8663,2562236
2014-01-15,40.8253,41.1973,40.665,41.1802,2335194
2014-01-16,41.112,41.2894,40.9755,41.2894,1835957
2014-01-17,41.5146,41.5146,41.1734,41.4327,1699534
2014-01-21,41.4191,41.5488,40.8526,41.5283,3008458
2014-01-22,41.5078,41.7808,41.4327,41.5829,2769350
2014-01-23,41.2758,41.2963,40.5421,40.5865,3063559
2014-01-24,40.4159,40.5797,39.3853,39.4945,2656341
2014-01-27,39.515,39.8358,38.8871,39.788,4669012
2014-01-28,39.9245,40.1838,39.5218,39.6515,2536290
2014-01-29,39.358,39.7316,39.1806,39.3444,2163031
2014-01-30,39.8699,41.0233,39.8699,40.6138,3743153
2014-01-31,39.9996,40.3681,39.6174,39.6856,3529054
2014-02-03,39.6856,39.9108,38.2695,38.3207,2929252
2014-02-04,38.4367,39.5014,38.2797,39.4536,2911877
2014-02-05,39.2966,39.3785,38.8735,39.1942,2283870
2014-02-06,39.2488,39.8221,39.2147,39.7812,1609451
2014-02-07,39.8972,40.5831,39.672,40.5524,1975290
2014-02-10,40.45,40.566,39.7812,40.2725,1760468
2014-02-11,40.2657,40.9482,40.1838,40.7639,2148202
2014-02-12,40.9482,41.2621,40.723,40.8731,2347270
2014-02-13,40.5728,41.2075,40.5182,41.0028,3097011
2014-02-14,39.0031,39.4263,37.4471,37.7065,17862776
2014-02-18,37.7952,38.2456,37.5085,37.6382,6553839
2014-02-19,37.5427,38.6619,37.4676,38.1774,4838795
2014-02-20,38.3139,39.2659,38.249,39.0987,4629755
2014-02-21,39.0714,39.1738,38.4367,38.4504,2407171
2014-02-24,38.5254,38.8871,38.4913,38.7302,2392783
2014-02-25,38.7643,39.2898,38.7302,38.8257,3375173
2014-02-26,38.8871,39.3239,38.7302,38.969,2400946
2014-02-27,38.9144,39.0919,38.348,38.464,3123781
2014-02-28,38.5254,38.9759,38.4913,38.853,2876261
2014-03-03,38.3002,38.9827,38.0716,38.7029,2488373
