date,open,high,low,close,volume
2014-01-02,109.4533,110.9608,108.3921,108.8384,542711
2014-01-03,110.3161,113.3907,109.6715,111.9526,987718
2014-01-06,112.1708,112.9741,110.5244,110.8815,1030190
2014-01-07,111.06,112.4683,110.7129,112.2501,922829
2014-01-08,111.546,112.6816,110.9906,111.3774,777177
2014-01-09,112.1311,113.2816,111.784,112.6171,486811
2014-01-10,113.3411,114.8456,112.7063,114.6899,678570
2014-01-13,114.5015,115.037,112.8353,113.351,941749
2014-01-14,114.4519,117.0206,112.8849,116.6338,819539
2014-01-15,116.6834,118.5579,115.7511,116.5049,978639
2014-01-16,116.2569,117.2785,115.1957,116.9115,609912
2014-01-17,116.8421,118.0421,116.123,117.4669,692356
2014-01-21,118.7463,119.3215,116.9909,117.0305,821492
2014-01-22,117.4173,117.7346,115.7868,116.7826,502024
2014-01-23,115.8503,116.5644,114.3428,115.3742,659085
2014-01-24,115.047,116.0487,114.5213,115.0271,782086
2014-01-27,115.528,116.2371,112.865,114.4519,974299
2014-01-28,114.442,116.6933,114.2734,115.2949,918455
2014-01-29,114.4618,115.6519,112.8551,112.9642,643865
2014-01-30,114.0552,114.9379,113.5097,114.2535,585785
2014-01-31,114.2833,115.0767,112.7659,113.8667,807498
2014-02-03,114.4916,114.6978,108.6797,109.3144,1327827
2014-02-04,110.0583,111.1889,109.1954,109.3442,1086059
2014-02-05,108.9574,111.298,108.7491,109.8401,1719300
2014-02-06,120.5018,126.0458,119.0141,123.8342,3374211
2014-02-07,124.5978,127.0475,123.5366,123.973,1697974
2014-02-10,123.497,124.3995,121.9894,122.3068,1118532
2014-02-11,122.4556,124.8359,122.1283,124.4094,927637
2014-02-12,124.5185,125.6392,123.2688,123.9333,663320
2014-02-13,124.1714,125.9566,122.8225,125.2227,802294
2014-02-14,125.669,126.4525,124.578,126.2938,788744
2014-02-18,126.1351,127.2657,125.0541,125.7483,1020332
2014-02-19,125.5004,126.4346,124.6921,124.9053,1096160
2014-02-20,124.945,127.0079,124.7367,126.512,882740
2014-02-21,126.264,127.4244,126.264,126.869,884094
2014-02-24,127.2558,128.0393,125.2921,125.4607,1050651
2014-02-25,125.5995,126.7798,124.3499,124.4689,823047
2014-02-26,125.0541,125.7781,123.4771,124.7565,1105495
2014-02-27,124.7863,125.0541,123.4077,124.0028,888073
2014-02-28,124.0226,127.3847,124.0226,126.3136,1037731
2014-03-03,124.8855,126.1351,124.1019,125.2425,777204
2014-03-04,127.2757,128.922,125.1235,125.3813,1126458
2014-03-05,125.3813,125.669,124.0533,124.5582,692736
2014-03-06,125.1929,126.2739,124.8259,125.6987,715091
2014-03-07,125.9863,127.0773,125.421,125.7582,530257
2014-03-10,125.7781,126.8194,124.9251,125.7384,612844
2014-03-11,126.2045,127.4343,125.4409,125.8971,1022210
2014-03-12,124.8259,125.9665,124.2309,125.4508,985970
2014-03-13,125.8673,125.8673,122.7928,123.5366,754192
2014-03-14,123.4275,124.4491,122.8523,123.5763,521611
2014-03-17,124.578,125.4607,123.8342,125.2623,607672
2014-03-18,125.1532,125.1532,123.6259,124.9152,802247
2014-03-19,124.8655,125.5204,122.5273,123.5558,575494
2014-03-20,123.4069,124.1015,122.4097,123.784,588664
2014-03-21,124.6076,126.9293,123.3474,125.3518,1985663
2014-03-24,125.4609,126.1654,123.131,123.7344,525622
2014-03-25,124.2603,124.7366,122.1765,122.6032,846436
2014-03-26,123.397,123.5458,121.73,121.7995,593110
2014-03-27,121.3629,124.3297,121.1247,122.9306,735128
2014-03-28,123.6451,123.9328,122.5536,123.6848,656426
2014-03-31,124.29,125.6197,123.7939,125.5204,534075
2014-04-01,125.9769,127.495,125.6197,126.2646,775404
2014-04-02,126.4631,126.4928,125.2327,125.8776,722275
2014-04-03,126.0761,126.3439,124.5877,125.4212,401780
2014-04-04,124.171,124.7961,120.6286,120.6981,904481
2014-04-07,120.4996,120.7179,116.61,117.1954,1238919
2014-04-08,117.1557,118.535,116.4821,118.2373,700188
2014-04-09,119.2196,120.7576,118.4357,120.6385,580011
2014-04-10,121.6804,123.653,117.6915,117.6915,702928
2014-04-11,116.3818,117.769,115.2506,115.3498,823108
2014-04-14,116.3421,117.632,114.8636,116.2925,658965
2014-04-15,116.5008,117.5725,114.9628,116.6298,539416
2014-04-16,117.5328,118.654,116.8481,118.5846,542215
2014-04-17,118.5548,121.3926,118.148,119.9043,803370
2014-04-21,119.6959,120.583,119.0212,120.4599,476074
2014-04-22,120.5889,124.3992,120.5889,120.6683,1221937
2014-04-23,120.4599,122.1368,119.6264,121.2041,591976
2014-04-24,120.9064,122.0872,119.6066,121.3926,398814
2014-04-25,120.8667,121.343,119.0807,119.6959,635795
2014-04-28,120.6584,122.2758,118.6743,120.4996,714026
2014-04-29,120.4302,120.4302,117.9396,118.9021,762919
2014-04-30,119.1005,120.5294,118.4804,120.3508,671046
2014-05-01,123.1093,123.1986,119.8249,120.0432,377776
2014-05-02,120.321,122.0773,120.2119,120.7477,449305
2014-05-05,119.6959,120.7576,118.7235,120.0928,625618
2014-05-06,119.7653,120.6504,118.912,119.557,628395
2014-05-07,119.7058,120.3111,117.5923,118.525,555860
2014-05-08,119.0906,122.1468,118.7235,121.5117,1001395
2014-05-09,121.482,123.9031,121.214,123.5955,841955
2014-05-12,123.8237,124.6869,123.2978,124.2801,755224
2014-05-13,124.7167,124.7167,122.115,122.4544,816825
2014-05-14,122.6826,123.0596,121.214,122.1865,1560121
2014-05-15,126.7905,127.4553,119.1998,123.268,2247224
2014-05-16,122.9009,123.0299,119.2791,120.7278,1900405
2014-05-19,120.5393,122.5139,120.3706,121.8491,784197
2014-05-20,121.8392,121.8392,120.1821,121.1644,891140
2014-05-21,121.1644,122.0674,119.7753,121.6308,924927
2014-05-22,121.1644,122.7124,121.1644,121.5514,638226
2014-05-23,122.0277,122.752,121.5415,122.2857,512717
2014-05-27,123.0696,123.0696,120.3012,120.4996,599248
2014-05-28,120.4798,120.8568,119.0708,120.1722,529328
2014-05-29,121.1644,122.3948,120.6385,121.3629,606770
2014-05-30,121.3827,123.3375,121.3827,123.2085,679931
2014-06-02,123.2581,123.526,122.2465,123.5062,509710
2014-06-03,122.9207,124.8407,122.8116,124.2603,733583
