date,open,high,low,close,volume
2014-01-02,43.6955,43.8716,43.1925,43.5782,4569061
2014-01-03,43.8045,44.1524,43.5677,43.8464,4794591
2014-01-06,44.1818,44.1818,41.9434,42.2452,11871094
2014-01-07,42.6224,42.9326,42.1697,42.329,9719873
2014-01-08,42.4464,42.8488,42.1152,42.22,6813338
2014-01-09,42.4128,43.3015,41.8092,42.941,6960524
2014-01-10,42.9829,43.1674,42.5554,42.6727,5518662
2014-01-13,42.808,42.8755,41.946,42.1066,7055356
2014-01-14,42.1995,42.9939,41.9376,42.7572,6610849
2014-01-15,42.7995,42.8164,42.3094,42.3432,4728401
2014-01-16,42.3347,42.7741,42.2671,42.6727,4972290
2014-01-17,42.791,42.808,42.2587,42.3009,8606778
2014-01-21,42.4699,43.0277,42.1742,42.2502,5827366
2014-01-22,42.2333,42.2502,41.0841,41.4728,8181957
2014-01-23,41.1855,41.4559,40.8898,41.2954,7270503
2014-01-24,40.9151,41.4897,40.3659,40.3828,9203692
2014-01-27,40.3828,40.4166,39.2251,39.5716,10788733
2014-01-28,39.7828,40.9574,39.7828,40.2983,12298641
2014-01-29,39.842,40.425,39.6984,40.2307,7608549
2014-01-30,40.5349,41.3038,40.4757,40.8222,7670930
2014-01-31,42.1995,42.715,41.4644,41.5996,12894409
2014-02-03,41.7432,41.8193,39.7659,40.011,10315368
2014-02-04,39.8673,40.5349,39.673,40.518,9606123
2014-02-05,40.3574,40.6194,39.8462,40.3321,6987085
2014-02-06,40.4673,40.7123,40.0955,40.5011,4957804
2014-02-07,40.5602,41.4264,40.2729,41.3123,7003884
2014-02-10,41.194,42.4108,41.1686,41.87,7907594
2014-02-11,41.7517,42.2228,41.439,41.9629,7220444
2014-02-12,41.9376,43.0361,41.9038,42.7234,6534491
2014-02-13,42.5037,42.6896,42.1488,42.546,5266042
2014-02-14,42.7234,43.0192,42.3939,42.8671,4125072
2014-02-18,42.791,43.5685,42.7234,43.484,4984888
2014-02-19,43.2389,43.822,42.791,43.2558,5242787
2014-02-20,43.2558,44.0332,42.8671,43.822,6078933
2014-02-21,43.7882,43.9149,43.1037,43.1291,5842724
2014-02-24,43.1037,43.5685,42.9516,42.9685,5704236
2014-02-25,43.0361,43.2051,42.6727,42.8586,5424996
2014-02-26,42.208,43.0699,42.1911,42.8755,5710741
2014-02-27,42.7572,43.0277,42.6474,43.0192,5052972
2014-02-28,42.96,43.9065,42.6812,43.0192,7096343
2014-03-03,42.5375,42.977,42.0728,42.3263,6817656
2014-03-04,42.8671,43.7079,42.6981,43.5938,6198289
2014-03-05,43.6699,44.0417,43.3488,43.6868,5251165
2014-03-06,43.9741,44.5909,43.9149,43.9741,6529013
2014-03-07,44.1515,44.3628,43.1037,43.484,5860736
2014-03-10,43.8558,43.8558,42.977,43.653,3086027
2014-03-11,43.6699,44.0577,43.5178,43.729,3634594
2014-03-12,43.484,43.7206,43.1544,43.6361,3924773
2014-03-13,43.8473,44.0248,43.2136,43.3657,4839437
2014-03-14,43.3065,43.4502,42.9262,43.2727,5466682
2014-03-17,43.4924,44.1008,43.315,43.9234,3875485
2014-03-18,44.0079,44.9712,43.9149,44.8698,4712266
2014-03-19,44.8613,45.2331,44.3121,44.8782,6408622
2014-03-20,44.667,45.4613,44.3797,45.3599,6922666
2014-03-21,45.8162,46.2471,44.8613,45.174,12930499
2014-03-24,45.2331,45.3092,43.391,43.3995,10162405
2014-03-25,43.6699,44.0248,43.5135,43.6783,6127187
2014-03-26,43.9403,44.2276,43.484,43.5178,5684946
2014-03-27,43.5431,43.8051,43.4586,43.653,4777964
2014-03-28,43.7966,44.0501,43.0023,43.0784,4208320
2014-03-31,43.3826,43.6868,43.053,43.4333,4813095
