date,open,high,low,close,volume
2014-01-02,46.7376,47.1883,46.4249,46.6456,9198092
2014-01-03,46.6088,47.124,46.5536,46.8388,7278160
2014-01-06,47.4183,47.4459,46.4341,46.4709,9265551
2014-01-07,46.6088,47.2527,46.5536,47.1056,9061225
2014-01-08,47.124,47.7678,46.9308,47.6575,9961929
2014-01-09,47.7219,48.0967,47.5609,47.9334,8166238
2014-01-10,48.0254,48.145,47.5333,48.0346,8604554
2014-01-13,47.8966,48.2646,47.2803,47.3355,9261657
2014-01-14,47.5195,47.7954,47.2159,47.6115,5627333
2014-01-15,47.8506,48.145,46.9124,47.9334,5928551
2014-01-16,47.8966,47.9242,47.2067,47.3723,6214107
2014-01-17,47.2803,47.4183,46.7284,46.8112,7157654
2014-01-21,47.0688,47.2987,46.1581,46.526,8217208
2014-01-22,46.7284,46.9768,46.0937,46.2593,9961375
2014-01-23,46.0109,46.0109,44.8059,45.2659,10800159
2014-01-24,44.8703,45.2107,44.0149,44.0241,11887094
2014-01-27,44.1712,44.6955,43.0582,43.4997,17883575
2014-01-28,44.6679,45.1923,44.2448,44.576,13386026
2014-01-29,44.2632,44.6404,43.9689,44.1068,9848863
2014-01-30,44.5668,45.1555,44.553,44.9623,7205104
2014-01-31,44.162,44.6955,43.9413,44.116,12708183
2014-02-03,44.1528,44.3736,43.0467,43.1226,12990791
2014-02-04,43.1134,44.2356,43.095,43.8033,9051128
2014-02-05,43.4905,44.047,43.2514,43.8217,8656435
2014-02-06,43.9873,44.4104,43.7481,43.8953,9027114
2014-02-07,44.2908,45.1187,43.8171,45.0819,9392492
2014-02-10,45.0911,45.3118,44.7231,44.9623,5929047
2014-02-11,44.9807,45.3577,44.392,45.0727,10561394
2014-02-12,45.3026,45.735,44.9163,45.1095,10451578
2014-02-13,44.8427,45.7534,44.4288,45.6154,12011762
2014-02-14,44.9807,45.2843,44.1528,45.0543,26915401
2014-02-18,45.2107,46.3881,45.0727,46.1489,14943961
2014-02-19,45.9557,46.2041,45.2383,45.3026,10268663
2014-02-20,45.2567,45.505,44.9899,45.2751,9828599
2014-02-21,45.2843,45.3486,45.0543,45.0543,10727605
2014-02-24,45.1647,45.8086,45.0727,45.4866,10044910
2014-02-25,45.4866,45.4958,44.8979,45.0819,9344731
2014-02-26,45.0635,45.0819,44.4113,44.8151,13390112
2014-02-27,44.7967,45.4038,44.576,45.3578,9635372
2014-02-28,45.3578,46.1719,45.2567,45.781,11430024
2014-03-03,45.1923,45.5786,45.0727,45.4866,6970798
2014-03-04,46.0385,46.3881,45.9373,46.2225,10155554
