date,open,high,low,close,volume
2014-01-02,72.579,72.7889,71.9765,72.5242,1701345
2014-01-03,72.4147,73.0628,72.4055,72.7342,1790116
2014-01-06,72.8985,73.2818,72.4694,73.1997,2427234
2014-01-07,73.0902,74.2951,73.0628,74.2129,2570510
2014-01-08,74.2677,75.1075,73.8752,74.7971,2469344
2014-01-09,75.0984,75.1349,74.5142,74.9432,2084228
2014-01-10,75.1988,75.6461,75.0527,75.4361,2093876
2014-01-13,75.1531,75.5365,74.8163,74.9797,1879968
2014-01-14,75.3266,75.5548,75.0162,75.4544,1957152
2014-01-15,75.4909,76.349,75.4453,76.0021,1773832
2014-01-16,76.0295,76.3398,75.4453,76.0112,1301842
2014-01-17,76.2485,76.3855,75.6552,75.9017,2636751
2014-01-21,76.1938,76.6228,75.7465,76.3398,1583665
2014-01-22,76.3946,77.2709,76.1481,76.1481,2139783
2014-01-23,75.9199,76.8054,75.4087,76.0203,3796642
2014-01-24,75.2627,75.7465,71.9035,72.6794,7213513
2014-01-27,72.8072,73.5374,71.7483,72.3416,2614610
2014-01-28,72.3416,73.6379,72.2777,73.5374,2188668
2014-01-29,73.0354,73.1449,72.2412,72.6246,2990555
2014-01-30,73.0536,74.6693,73.0536,74.1034,2179382
2014-01-31,73.4735,74.3316,73.0445,73.8295,2398264
2014-02-03,73.7018,73.9446,71.8122,71.9582,3040200
2014-02-04,72.2595,72.5607,71.5475,72.2412,2203015
2014-02-05,72.0678,72.6839,71.9309,72.1226,1455445
2014-02-06,72.3143,72.8346,71.9582,72.8072,1930970
2014-02-07,73.1175,73.6652,72.4694,73.3731,2229655
2014-02-10,73.4644,74.4777,73.3914,74.4138,2134317
2014-02-11,74.4411,74.8519,73.9208,74.7789,1371934
2014-02-12,74.6876,74.788,73.9665,74.6602,1109686
2014-02-13,74.2221,75.6826,74.0855,75.2992,1485091
2014-02-14,75.3722,76.0842,75.3266,75.9473,1099613
2014-02-18,76.0386,76.2759,75.4179,76.2485,1670116
2014-02-19,76.0568,76.9971,76.0568,76.4494,1827422
2014-02-20,76.3398,77.207,75.8743,77.1431,1829348
2014-02-21,77.1431,77.4991,76.6137,76.7232,2852220
2014-02-24,76.7323,77.1522,75.6917,75.7465,3105771
2014-02-25,76.4037,76.4037,72.8072,73.1723,5612259
2014-02-26,73.5374,74.3133,73.0993,73.7839,2996064
2014-02-27,73.8295,74.4685,73.8113,74.359,2251465
2014-02-28,74.3772,74.5324,73.6926,74.3681,2650688
2014-03-03,74.0121,74.432,73.6744,74.359,1734987
2014-03-04,74.7789,74.8793,74.2038,74.432,2592928
2014-03-05,74.4411,74.4503,73.3275,73.7565,2809302
2014-03-06,73.9208,75.2444,73.8478,74.7789,2184030
2014-03-07,74.7789,74.7789,73.291,74.2221,1809346
2014-03-10,74.0212,74.3864,73.4644,74.1034,1293520
2014-03-11,73.9939,74.7241,73.7657,74.5781,1550008
2014-03-12,74.1673,74.4338,73.5009,73.793,2458080
2014-03-13,73.9482,74.1582,73.2727,73.3457,2444062
2014-03-14,73.1267,73.9939,73.0719,73.3823,1695959
2014-03-17,73.7383,74.8428,73.7383,74.6146,2481279
2014-03-18,74.6693,75.1166,74.3955,74.6693,1474060
2014-03-19,74.7241,75.7556,73.3001,73.647,1996957
2014-03-20,73.5283,74.1856,73.1267,74.149,1815531
2014-03-21,74.7059,74.788,73.7291,74.003,3506060
2014-03-24,74.3316,74.7241,73.1824,73.8478,2142806
2014-03-25,74.4777,74.715,73.9573,74.5872,1988276
2014-03-26,74.7241,75.2353,73.7018,73.7656,2478337
2014-03-27,73.6652,74.0121,73.0354,73.6379,1895544
2014-03-28,73.9208,75.4179,73.8569,74.9706,2467851
2014-03-31,75.3722,75.7556,74.5598,74.7332,1959319
2014-04-01,74.8337,74.9341,73.8478,74.4959,2414600
2014-04-02,74.3955,75.1531,74.0578,74.1856,2161806
2014-04-03,74.2586,74.505,73.6652,74.1673,1527192
2014-04-04,74.5872,74.6237,73.1175,73.6926,2884523
2014-04-07,73.7565,74.642,73.5831,73.6379,3475727
2014-04-08,73.9403,74.8568,73.4729,74.6918,2991182
2014-04-09,74.8293,75.15,74.1511,75.0309,1974301
2014-04-10,75.0126,75.4616,74.4444,74.7376,2492487
2014-04-11,74.4535,74.733,73.812,73.8212,2284084
2014-04-14,74.2336,74.8384,73.8761,74.5177,1629709
2014-04-15,74.5085,75.0217,74.1053,74.8568,1714265
2014-04-16,75.3975,75.6083,75.095,75.4983,1608602
2014-04-17,75.5991,76.1856,75.4433,75.7457,1826163
2014-04-21,75.9657,76.149,75.4341,76.149,1472624
2014-04-22,76.1032,77.1021,75.9382,76.9188,2175917
2014-04-23,76.6714,77.0746,76.2315,77.0105,1477464
2014-04-24,77.2121,77.2304,76.1398,76.5797,4173082
2014-04-25,76.3506,76.6072,76.0023,76.1398,1063711
2014-04-28,76.3781,76.7951,75.8924,76.4881,1639158
2014-04-29,76.6989,76.8272,75.9657,76.0665,1664414
2014-04-30,76.1306,76.7676,76.0207,76.5431,2238159
2014-05-01,77.0288,79.2925,76.708,79.0267,3442306
2014-05-02,78.88,80.6488,78.7701,79.7324,2788519
2014-05-05,79.4941,81.4003,79.3841,81.0154,2769232
2014-05-06,80.2272,80.3739,79.8607,79.9156,2792003
2014-05-07,80.9513,81.4553,80.2731,80.9696,2843333
2014-05-08,80.8321,81.2626,80.5022,80.8779,1706136
2014-05-09,81.0337,81.2445,80.6763,81.2445,1289761
2014-05-12,81.4278,81.4278,80.7955,80.9329,1729104
