date,open,high,low,close,volume
2014-01-02,78.2221,78.3588,77.6205,77.9122,2565384
2014-01-03,78.2038,79.0515,77.8165,77.9669,2259386
2014-01-06,78.1674,78.81,77.5868,78.6687,2316499
2014-01-07,78.769,80.127,78.5046,80.1179,2812787
2014-01-08,79.808,79.8263,78.7143,78.9786,2712796
2014-01-09,78.8328,79.2976,77.8666,78.4682,2141937
2014-01-10,78.3406,78.8054,78.058,78.5684,2389194
2014-01-13,78.3406,78.7598,76.6179,76.8275,2583829
2014-01-14,77.0189,78.2221,77.0189,78.1036,3453656
2014-01-15,78.2494,78.4226,76.8002,76.9643,2970207
2014-01-16,76.7911,78.3406,76.3353,78.295,3187674
2014-01-17,78.4777,78.4777,76.9977,77.0251,2859104
2014-01-21,77.4545,77.8656,77.0251,77.1895,2090779
2014-01-22,77.4362,77.8564,76.1572,77.2261,2444880
2014-01-23,76.8972,77.4179,76.0384,76.3673,2154438
2014-01-24,76.1937,76.3307,75.0334,75.2984,3194197
2014-01-27,74.8507,74.9147,73.6539,74.1655,3540822
2014-01-28,74.0194,75.4902,74.0011,74.9055,2213418
2014-01-29,74.3026,74.8325,73.8184,74.0194,2009754
2014-01-30,74.6315,74.6406,73.6996,74.2569,1453250
2014-01-31,73.3616,73.9554,72.9413,73.325,2425471
2014-02-03,73.325,73.6612,71.8907,71.9272,3198271
2014-02-04,72.3932,72.6718,71.6806,71.7171,3155348
2014-02-05,71.8907,72.0186,70.6299,71.2786,3694477
2014-02-06,71.5618,73.1697,71.5252,73.0144,2431559
2014-02-07,73.5077,74.5675,73.325,74.3665,3529144
2014-02-10,74.4213,74.5401,73.3433,73.7727,2164323
2014-02-11,73.1606,74.732,72.3383,74.3482,2874429
2014-02-12,74.7137,74.8964,74.0924,74.2569,2318672
2014-02-13,72.6581,74.1564,71.7445,73.9645,5583288
2014-02-14,74.1381,76.5774,74.0468,76.1846,4410727
2014-02-18,76.212,76.5226,75.3989,76.1206,3364630
2014-02-19,76.0658,77.9204,75.6501,76.8058,3748845
2014-02-20,76.8972,77.2717,76.5043,77.0708,2835081
2014-02-21,77.5732,78.5234,77.2261,77.2535,3571131
2014-02-24,77.6646,78.4137,76.9703,77.0433,3861329
2014-02-25,76.7967,76.7967,75.1339,75.9105,3982676
2014-02-26,75.8374,75.9196,72.8865,72.923,6759522
2014-02-27,72.7312,72.9505,72.247,72.7129,4270873
2014-02-28,72.8225,73.2154,72.2196,72.4388,5037795
2014-03-03,72.1739,73.8001,72.1556,72.9596,4064791
2014-03-04,73.3068,73.791,72.6398,73.526,3578765
2014-03-05,73.2428,73.4246,72.0186,72.183,3976245
