date,open,high,low,close,volume
2014-01-02,99.1665,99.5131,98.7665,99.0598,839074
2014-01-03,99.5042,99.6198,98.4287,98.8642,1057819
2014-01-06,99.1754,99.5576,98.4642,99.1042,773899
2014-01-07,99.7354,99.7354,97.7798,97.8775,1292088
2014-01-08,98.0287,98.1531,96.9798,97.8598,1398336
2014-01-09,97.9931,98.6331,97.122,97.4775,1127924
2014-01-10,97.8598,98.3487,97.2642,97.4509,1158987
2014-01-13,97.282,98.2598,96.3221,96.5175,1033080
2014-01-14,96.8109,98.0553,96.1531,97.9309,804316
2014-01-15,97.9576,99.682,97.8775,98.8909,1313607
2014-01-16,98.6953,99.4331,98.6509,99.282,1119200
2014-01-17,99.4331,100.0305,98.9176,99.5665,1368351
2014-01-21,99.8954,100.3843,99.1576,99.602,798271
2014-01-22,100.1887,100.642,99.2642,99.8243,1068997
2014-01-23,99.0065,99.5131,98.5087,98.6776,829431
2014-01-24,97.8153,98.0909,94.8019,94.8553,1159216
2014-01-27,95.1753,95.4508,93.753,94.4375,1116067
2014-01-28,95.0775,95.9575,94.0019,95.8153,1469414
2014-01-29,94.6419,95.6731,93.6908,94.2241,1645764
2014-01-30,94.6775,94.7041,94.0641,94.153,909561
2014-01-31,93.1841,94.3575,92.2774,93.4597,1744850
2014-02-03,93.753,94.3041,91.913,92.2241,1789044
2014-02-04,92.7219,93.6108,92.2597,92.4285,1213385
2014-02-05,92.1797,92.9708,91.3174,92.6774,857529
2014-02-06,92.473,95.4153,92.233,95.3264,1521042
2014-02-07,96.2775,97.1931,95.7219,97.0953,1700034
2014-02-10,96.8909,98.3176,96.8909,97.6109,1604946
2014-02-11,98.0198,99.6642,97.6287,99.5042,1618494
2014-02-12,99.4154,99.7887,99.2554,99.442,2049346
2014-02-13,98.482,104.0377,98.322,103.9399,3059121
2014-02-14,103.8066,104.491,103.0154,104.3399,1365016
2014-02-18,104.4466,105.6839,104.4199,104.9266,1320930
2014-02-19,105.0688,105.4333,104.0466,104.0732,1406529
2014-02-20,104.4555,104.9355,103.2465,104.6332,1358214
2014-02-21,105.2199,105.9844,104.8288,105.131,1322284
2014-02-24,104.8732,105.8333,104.8732,105.5399,1555647
2014-02-25,105.2733,106.6688,105.1577,106.3755,1520056
2014-02-26,106.251,106.9888,104.3399,104.4199,2946942
2014-02-27,105.6022,106.3399,105.1577,106.0822,1448073
2014-02-28,106.2244,108.66,106.2066,107.8422,1625990
2014-03-03,107.1933,107.6289,106.3577,107.1311,852134
2014-03-04,108.4467,109.4689,108.1444,108.9,1155421
2014-03-05,108.9,108.9,107.9578,108.0733,728090
2014-03-06,108.0733,109.8689,108.0111,108.8467,1092714
2014-03-07,109.4511,109.5667,107.8866,108.1533,940536
2014-03-10,108.0911,108.2689,106.6688,107.6466,1288255
2014-03-11,107.9666,108.6422,107.0866,107.1488,1539545
2014-03-12,106.6155,106.8733,106.1711,106.4466,1446883
2014-03-13,106.7488,107.4955,105.6646,106.0555,982912
2014-03-14,106.1355,106.7844,105.931,106.4644,1037425
2014-03-17,106.8111,107.8422,106.5888,107.4244,942546
2014-03-18,107.8955,108.3133,107.14,108.2955,1183529
2014-03-19,108.0911,108.8467,107.14,107.5933,1528035
2014-03-20,107.2377,108.6778,107.2377,108.6333,1032759
2014-03-21,110.1178,110.58,108.4289,108.58,1988905
2014-03-24,108.6067,109.5391,106.6333,106.8377,1441550
2014-03-25,107.6377,107.9489,106.6688,107.5133,970375
2014-03-26,108.0555,108.1711,106.1266,106.1533,710172
2014-03-27,106.0199,106.0999,104.891,105.2821,968422
2014-03-28,105.9263,106.0247,104.9332,104.9511,1600587
2014-03-31,106.0158,106.6868,105.1121,106.5079,1845736
2014-04-01,106.4095,107.3758,106.4095,107.3668,782031
2014-04-02,107.7158,108.9863,107.0895,108.9415,1061368
2014-04-03,109.38,109.9794,108.0289,108.3958,1006041
2014-04-04,108.9505,109.3531,106.5079,106.5616,1085371
2014-04-07,106.6779,106.6779,104.2979,104.4858,1056749
2014-04-08,104.5037,105.3179,104.3069,104.79,1075547
2014-04-09,105.0942,106.3916,104.8777,105.98,1383283
2014-04-10,106.0247,106.9821,103.6179,103.6537,2118665
2014-04-11,103.3406,104.4142,102.9737,103.0185,1682183
2014-04-14,103.6716,103.9221,102.4637,103.0632,1026755
2014-04-15,103.2243,104.11,102.249,104.0653,886253
2014-04-16,104.8258,106.2126,104.5485,106.1858,1696952
2014-04-17,105.9711,106.4453,105.4879,105.5237,1215199
2014-04-21,105.2732,106.2126,104.9242,105.1748,1293612
2014-04-22,105.2911,107.2774,104.9242,106.6242,1454735
2014-04-23,107.0447,107.4831,104.969,105.9979,1152294
2014-04-24,106.4989,106.4989,105.5148,105.98,743017
2014-04-25,105.9263,105.9263,104.1727,104.79,735855
2014-04-28,104.4858,105.2088,103.4569,104.7006,1304232
2014-04-29,105.2463,105.5953,104.6021,104.799,811236
2014-04-30,104.4321,105.3269,104.2621,105.1479,657392
2014-05-01,105.1927,106.0069,104.4626,105.0584,893090
2014-05-02,105.0495,105.9934,104.5216,105.7742,838111
2014-05-05,105.3984,107.0268,105.0137,106.7853,747318
2014-05-06,106.4632,107.7068,105.9353,106.2842,1107815
2014-05-07,106.7047,107.3579,105.47,107.2953,717397
2014-05-08,107.1342,108.1273,106.2126,106.5079,556416
2014-05-09,106.5258,106.8032,105.7921,106.2216,529369
2014-05-12,106.8389,107.8858,106.4453,107.2595,980783
2014-05-13,107.3668,107.6308,106.6332,106.7405,523049
2014-05-14,106.6779,107.5905,106.2932,107.0984,526467
2014-05-15,106.7853,106.7853,104.3785,104.6648,1006595
2014-05-16,104.7542,106.0605,104.3874,106.0247,1021460
2014-05-19,106.0158,106.8479,105.5058,105.7832,546397
2014-05-20,105.4163,105.81,104.0474,104.459,731109
2014-05-21,104.8348,106.2484,104.3338,106.0337,770675
2014-05-22,105.8816,106.4721,105.47,105.7474,394642
2014-05-23,105.7384,106.3379,105.2553,106.2395,587928
2014-05-27,106.6779,107.1163,106.1321,106.2842,458342
2014-05-28,106.2932,106.5974,105.8011,105.8547,371254
2014-05-29,106.6689,107.6531,105.5237,107.5637,533270
2014-05-30,107.2326,107.4474,106.6242,107.34,495993
2014-06-02,107.3668,109.21,107.1342,109.0042,858649
2014-06-03,108.7358,109.0131,108.1273,108.7447,661487
2014-06-04,108.4673,108.9147,107.7158,107.7695,829129
2014-06-05,108.4405,110.0599,106.9732,109.9257,1002512
2014-06-06,110.0242,110.5699,109.6931,110.5431,563354
2014-06-09,110.4089,110.4134,109.5992,110.0063,714110
2014-06-10,109.7289,110.3552,108.9863,110.3373,1233168
2014-06-11,109.6931,110.0063,109.0131,109.1473,603377
2014-06-12,109.0847,109.0847,106.7584,106.9553,995017
2014-06-13,107.0,108.691,106.83,108.3779,700331
2014-06-16,108.3242,108.3242,107.0179,107.8321,817952
