date,open,high,low,close,volume
2014-01-02,101.8875,102.7577,101.3964,101.8789,901928
2014-01-03,101.448,103.6452,101.448,103.1885,737640
2014-01-06,103.8606,104.7481,103.1885,104.7222,1414031
2014-01-07,104.7309,105.2306,103.6754,104.2742,984244
2014-01-08,103.9209,105.2616,103.5085,104.5327,889767
2014-01-09,102.9128,104.8946,102.9128,104.1622,624305
2014-01-10,104.5585,105.2047,104.1536,104.9463,638100
2014-01-13,104.5413,105.2823,103.7486,104.1105,651271
2014-01-14,104.4207,105.1789,104.1449,104.8859,642164
2014-01-15,105.0927,105.9802,104.9549,105.67,786567
2014-01-16,106.3679,106.4713,105.5063,105.851,892758
2014-01-17,105.9544,106.1784,104.8342,105.0152,898489
2014-01-21,105.5408,105.9715,104.8859,105.2392,792817
2014-01-22,105.5839,106.0836,104.7653,105.041,1153663
2014-01-23,104.4465,104.6188,103.7917,103.9554,1134876
2014-01-24,102.5165,103.4987,102.5165,102.9817,1206092
2014-01-27,102.3958,103.5849,101.9995,101.9995,973579
2014-01-28,101.6721,102.9817,101.2499,101.2671,1482479
2014-01-29,104.5671,107.5139,100.8621,101.3447,1855427
2014-01-30,98.3634,106.2129,98.3634,105.2564,2720200
2014-01-31,104.5154,106.8849,104.5154,106.411,1584841
2014-02-03,106.411,107.2382,106.075,106.2301,1407940
2014-02-04,106.7212,107.7724,106.0457,107.669,1483529
2014-02-05,107.3847,108.8408,107.0486,108.5823,1428280
2014-02-06,108.7073,109.5129,108.634,109.4181,864649
2014-02-07,109.6852,110.4004,109.2372,110.1246,903517
2014-02-10,110.521,111.822,110.004,111.4343,1070861
2014-02-11,111.1672,112.7612,110.8441,111.71,1258104
2014-02-12,111.667,111.9599,110.8312,111.0293,1444006
2014-02-13,110.7622,111.5636,110.4951,110.5813,996938
2014-02-14,110.633,111.1932,110.5813,111.1414,588860
2014-02-18,110.926,111.8048,110.7192,111.5808,691800
2014-02-19,111.4774,111.8565,110.3831,110.5899,673288
2014-02-20,110.9518,111.4257,110.0988,111.0552,737648
2014-02-21,110.9346,111.6497,110.1333,110.857,623034
2014-02-24,110.9518,112.1839,110.7364,111.3395,694630
2014-02-25,111.0121,111.7876,110.8183,111.3482,765977
2014-02-26,111.9341,111.9565,110.3228,110.6589,694099
2014-02-27,110.7709,110.926,109.3836,109.6852,723835
2014-02-28,109.9523,111.5549,109.5215,111.1241,1131023
2014-03-03,110.8829,111.6325,110.6847,111.1586,689169
2014-03-04,112.2184,112.4424,111.6842,112.408,531141
2014-03-05,112.0719,112.3476,110.2022,111.0121,745039
2014-03-06,111.0121,111.1069,109.6938,110.1505,823206
2014-03-07,110.0902,110.6502,109.375,110.4779,805035
2014-03-10,110.4348,110.6416,109.375,109.9006,464816
2014-03-11,110.0902,110.9777,109.6137,110.8312,450868
2014-03-12,110.5641,111.3137,110.3659,111.2792,633371
2014-03-13,111.5549,111.5773,109.9308,111.2706,622578
2014-03-14,111.1931,112.3218,111.1931,111.7962,692948
2014-03-17,112.0116,112.5114,111.3482,112.0978,682611
2014-03-18,111.9858,112.3218,111.4981,112.0805,798437
2014-03-19,112.1495,112.7268,110.0557,111.1844,1723036
2014-03-20,110.7278,111.5636,110.3314,110.9001,1300297
2014-03-21,111.9858,112.5286,110.857,111.8737,1273780
2014-03-24,112.2012,112.3563,110.9949,111.6928,734518
2014-03-25,112.2959,113.5625,111.7187,113.3644,617446
2014-03-26,113.3299,113.3299,111.7531,112.0547,930221
2014-03-27,111.933,112.9328,111.62,112.6198,904066
2014-03-28,113.1762,113.8544,112.8024,113.1328,854245
2014-03-31,113.4892,114.9063,112.4981,114.1673,1184822
2014-04-01,114.1673,114.2803,113.058,114.1239,770555
2014-04-02,113.9326,114.9932,113.4284,114.5846,727847
2014-04-03,119.7053,119.7053,114.3586,114.8281,1130636
2014-04-04,115.5149,116.5842,114.6542,116.0017,1160039
2014-04-07,115.9756,117.3145,115.8974,116.1061,838551
2014-04-08,115.9583,116.4886,115.4714,116.3408,720058
2014-04-09,116.2712,116.8103,115.654,115.9148,661951
2014-04-10,116.0365,116.9102,114.9932,115.4714,868035
2014-04-11,115.115,115.8931,114.5064,114.9759,999715
2014-04-14,115.5844,116.2104,114.9737,115.8452,578459
2014-04-15,115.7583,117.0971,115.2367,116.9754,942876
2014-04-16,117.2189,117.5753,116.6798,117.5405,946549
2014-04-17,117.045,117.271,115.5931,116.1843,1200910
2014-04-21,116.1147,116.932,115.8713,116.7146,853001
2014-04-22,116.6538,117.1145,115.4279,116.9928,565644
2014-04-23,116.3234,117.2884,115.654,115.9322,1112498
2014-04-24,115.141,117.384,114.8194,116.4451,957093
2014-04-25,116.532,117.7579,116.4147,117.6536,722057
2014-04-28,118.0448,119.2793,118.0448,118.9663,901471
2014-04-29,119.1054,119.3054,118.1143,118.7055,564803
2014-04-30,118.7055,119.1924,117.7579,118.7142,591011
2014-05-01,118.8968,119.088,117.3667,118.5577,720592
2014-05-02,118.123,119.2097,117.7057,119.1663,835219
2014-05-05,118.7751,120.2356,118.4708,120.1835,491373
2014-05-06,119.3315,120.0791,119.1489,119.5575,529867
2014-05-07,120.2269,121.4701,119.488,120.9398,1047316
2014-05-08,120.9137,121.7136,120.5138,121.4093,679757
2014-05-09,121.305,121.7049,120.4008,121.1311,602792
2014-05-12,121.1919,122.27,121.0789,122.0961,566854
2014-05-13,121.6788,122.8351,120.7051,120.9659,583980
2014-05-14,121.1919,121.5745,120.5225,120.9137,413563
2014-05-15,121.0354,122.0961,120.6877,121.9135,1192071
2014-05-16,121.7483,122.3221,121.2528,122.2613,742772
2014-05-19,122.0613,122.583,121.4528,122.4612,763304
2014-05-20,121.9657,122.6221,121.418,122.0179,753519
2014-05-21,122.0874,122.7568,121.1137,121.5658,650677
2014-05-22,121.4441,122.0439,120.905,121.1572,604288
2014-05-23,121.418,121.8266,121.2354,121.7657,477730
2014-05-27,121.9483,122.583,121.8527,122.2526,738230
2014-05-28,122.2526,122.4352,121.3223,121.9483,845966
2014-05-29,122.0961,122.2769,121.2963,122.0265,606680
2014-05-30,122.157,123.4089,121.5832,123.3132,1669391
2014-06-02,123.2263,123.8262,123.1741,123.3219,1003705
2014-06-03,123.0263,123.9566,122.9481,123.774,498292
2014-06-04,123.4523,124.2435,123.3306,124.0087,581538
2014-06-05,124.1305,125.6345,123.6262,125.5475,670813
2014-06-06,125.4867,125.5475,123.5045,123.9392,746168
2014-06-09,124.0,124.5608,121.1572,121.644,1266769
2014-06-10,121.2876,121.9135,120.6616,120.9224,867625
2014-06-11,120.9224,121.2354,120.2008,120.8007,624903
2014-06-12,120.7659,121.4267,120.0313,121.0963,731445
2014-06-13,121.418,121.9526,120.4269,121.731,569631
2014-06-16,121.4701,121.9569,120.8007,120.9746,561264
2014-06-17,120.9224,121.9744,120.4182,121.9309,1174926
2014-06-18,121.4962,122.6177,120.6877,122.3656,637772
2014-06-19,122.3047,122.9394,122.1048,122.9307,703362
2014-06-20,123.4349,123.4523,122.0961,122.8438,1671928
2014-06-23,122.8264,123.7566,122.5395,123.2089,680759
2014-06-24,122.8264,123.8783,122.8264,123.8609,550943
2014-06-25,123.4697,124.2782,123.4697,124.1826,571290
2014-06-26,124.0511,124.4719,123.5252,123.9109,363611
2014-06-27,123.683,124.8225,123.5165,124.7699,453051
2014-06-30,124.9539,125.3834,123.4989,124.6296,624722
2014-07-01,124.5858,125.2958,123.8978,124.8137,744841
2014-07-02,124.8488,124.989,123.8408,124.9452,363104
2014-07-03,124.7348,125.0328,123.5165,124.4894,304386
2014-07-07,124.2966,125.2782,124.2878,125.0591,519497
2014-07-08,124.8137,126.2161,124.7699,125.7428,404617
2014-07-09,126.1285,126.2161,124.8049,125.7866,475963
2014-07-10,125.1994,126.9392,125.0591,126.0408,623997
2014-07-11,125.7603,126.4791,125.3878,126.0934,530783
2014-07-14,126.3213,127.3731,125.8874,127.3293,494365
2014-07-15,127.3818,128.2671,127.0926,128.0129,709342
2014-07-16,128.1882,128.7141,127.5571,128.5651,485647
2014-07-17,127.9779,128.7842,127.5396,128.0743,564449
2014-07-18,128.3372,129.3277,127.785,129.1261,663424
2014-07-21,128.9508,128.9946,128.2058,128.2058,457790
2014-07-22,128.3986,129.1086,128.1882,128.2934,671309
2014-07-23,128.3022,128.5651,127.2153,127.2153,1216911
2014-07-24,131.4751,132.3516,128.3197,130.7301,1495327
2014-07-25,130.4847,130.5635,129.3452,129.7046,594798
2014-07-28,129.8098,132.2377,129.8098,131.6504,682256
2014-07-29,131.1157,131.8695,130.3094,131.1596,668141
