date,open,high,low,close,volume
2014-01-02,48.6122,48.6398,47.7292,48.4282,1453732
2014-01-03,48.2443,48.7134,47.7936,48.6122,1166132
2014-01-06,48.5662,49.1181,48.2259,48.2811,1263353
2014-01-07,48.5846,48.8054,48.2811,48.7447,1335857
2014-01-08,48.8514,49.5964,48.6214,49.4676,2296789
2014-01-09,49.67,49.8264,48.5294,48.9617,1233943
2014-01-10,49.6148,49.6884,48.6306,49.0261,1669087
2014-01-13,49.3205,49.463,48.1891,48.419,1394366
2014-01-14,49.0445,51.3624,48.511,50.8382,3485514
2014-01-15,51.2153,52.5904,51.0681,52.4018,2718684
2014-01-16,52.2087,52.3926,50.7278,50.9853,2408471
2014-01-17,50.829,51.8959,50.8014,51.6384,3118119
2014-01-21,52.0707,52.2638,51.3992,51.6108,1659657
2014-01-22,51.6936,52.595,51.3716,52.5674,2552618
2014-01-23,52.1811,52.5674,51.2705,51.5556,1555430
2014-01-24,51.2337,51.5004,49.808,50.1207,1771511
2014-01-27,50.2403,50.8198,49.4308,50.0839,2103330
2014-01-28,50.0379,50.4058,48.7134,50.3323,2522335
2014-01-29,49.6148,51.4544,49.0905,49.7344,2397391
2014-01-30,50.4242,50.8382,49.7528,50.6358,1198928
2014-01-31,49.5136,50.8565,49.5136,50.2564,1578360
2014-02-03,50.4058,50.7462,48.7134,48.9893,1142148
2014-02-04,49.2193,49.8172,48.8422,49.6792,1348711
2014-02-05,49.4124,50.3415,48.9249,49.6516,901716
2014-02-06,49.6608,51.39,49.3205,50.7738,1805338
2014-02-07,51.0221,52.2823,50.7094,52.0339,1706181
2014-02-10,51.6844,51.9503,51.1141,51.7948,1234720
2014-02-11,51.6936,53.4964,51.6844,53.4136,1734398
2014-02-12,53.5332,55.0049,53.5332,54.2139,2586358
2014-02-13,52.825,54.7382,52.779,54.3426,2261428
2014-02-14,52.8893,53.6988,52.8342,53.4228,2818695
2014-02-18,53.8184,53.8184,53.1009,53.6896,1587195
2014-02-19,53.524,53.7356,52.8801,53.0733,1460968
2014-02-20,53.386,54.2967,53.0733,54.2691,2228184
2014-02-21,54.6646,54.729,53.7172,53.8551,1799801
2014-02-24,53.8184,55.1797,53.8184,54.7934,2068904
2014-02-25,55.1889,55.1889,53.708,54.2691,2696852
2014-02-26,55.1889,58.399,55.1613,56.9365,4912497
2014-02-27,56.2835,57.2309,55.9063,56.4582,1646037
2014-02-28,56.2467,57.0001,55.9155,56.7526,1523200
2014-03-03,56.2467,57.4627,55.9716,56.7894,1533985
2014-03-04,57.4884,58.9601,57.2861,58.2703,3677278
2014-03-05,58.0955,59.0797,57.8931,58.0219,2465624
2014-03-06,58.2151,58.7854,57.9943,58.537,1216218
2014-03-07,58.8221,58.8221,57.4424,57.7184,1513253
2014-03-10,57.8839,58.3346,57.4608,57.7644,1351902
2014-03-11,57.9299,58.5462,56.8491,57.0469,1619098
2014-03-12,56.8169,58.2289,55.6028,58.1139,2359840
2014-03-13,58.3162,59.328,57.0653,57.654,3537691
2014-03-14,57.7368,58.1783,57.2217,57.654,1393871
