date,open,high,low,close,volume
2014-01-02,84.3921,84.5592,82.9809,83.0459,5120019
2014-01-03,82.7674,83.6308,82.2846,83.3152,3888564
2014-01-06,83.278,83.7887,82.9809,83.278,2844831
2014-01-07,83.7144,84.2064,82.6374,82.9624,4039511
2014-01-08,82.5249,83.4371,82.5249,83.223,3880302
2014-01-09,83.6698,83.707,81.9757,82.7297,3469242
2014-01-10,83.0834,83.3626,81.999,82.4225,2901681
2014-01-13,82.3946,82.8414,80.8681,80.9705,5641388
2014-01-14,81.0542,81.3986,80.1141,81.0915,4778234
2014-01-15,81.4079,82.4039,81.0542,82.1433,4495476
2014-01-16,81.9106,82.134,81.2219,81.7058,3336545
2014-01-17,85.4755,87.1417,84.2841,84.6751,15012583
2014-01-21,85.6059,86.2947,83.4371,84.3213,7954764
2014-01-22,84.3679,85.0939,84.3493,84.824,3849166
2014-01-23,84.2283,84.2283,82.5435,82.9996,5261291
2014-01-24,82.4318,83.1848,80.6633,80.9332,6360684
2014-01-27,81.1194,81.6965,79.779,79.7883,5653519
2014-01-28,79.9093,81.1473,79.6767,80.6447,4108711
2014-01-29,80.3189,80.8867,79.5214,79.6301,3358104
2014-01-30,80.4678,80.9612,80.1141,80.6261,4259912
2014-01-31,79.3788,79.9652,79.0344,79.1368,4778814
2014-02-03,79.1089,79.5091,77.0425,77.1263,5770127
2014-02-04,77.4334,78.8482,76.9131,78.1874,5380458
2014-02-05,77.7313,78.2991,77.21,77.9267,3260150
2014-02-06,78.6528,79.8256,78.4852,79.7604,5432386
2014-02-07,80.0117,81.138,79.8442,80.9798,4526594
2014-02-10,81.7523,82.8041,81.4452,82.227,5388045
2014-02-11,82.2457,82.6924,82.0688,82.4504,3610805
2014-02-12,82.5528,82.8879,82.2829,82.86,2488737
2014-02-13,82.255,82.8228,81.9199,82.7483,2759782
2014-02-14,82.7111,83.0927,82.1526,82.8414,2705492
2014-02-18,82.6552,82.9717,82.1805,82.86,3591615
2014-02-19,82.739,84.07,82.6087,82.6924,4332272
2014-02-20,82.6552,83.0555,82.0223,82.8507,4412162
2014-02-21,82.8972,83.223,82.4318,82.6087,3808678
2014-02-24,82.6459,84.1724,82.6459,83.6977,3267762
2014-02-25,83.7722,84.1166,82.981,83.6884,2914759
2014-02-26,83.9211,84.4144,83.0368,83.5209,4840187
2014-02-27,83.4464,84.1724,83.3161,84.0421,3075588
2014-02-28,84.0049,85.7594,83.856,84.9636,4691121
2014-03-03,84.3307,84.3586,82.9903,83.7443,3465250
2014-03-04,84.7495,86.2667,84.7309,86.2016,3755559
2014-03-05,86.183,86.183,85.55,85.7641,3086478
2014-03-06,86.155,87.1603,85.9689,87.0486,3962682
2014-03-07,87.5978,87.8212,86.8997,87.3651,3864611
2014-03-10,87.1417,87.3837,86.6949,87.2161,2218705
2014-03-11,87.3372,87.3837,86.5925,86.7507,1946279
2014-03-12,86.2667,86.4901,85.5407,86.4715,2486089
2014-03-13,86.7507,87.0114,84.1538,84.4144,3990350
2014-03-14,84.2841,84.9078,83.4369,83.9304,3583900
2014-03-17,84.2469,85.3825,84.2283,84.945,3039966
2014-03-18,84.9543,85.6059,84.824,85.2522,2348331
2014-03-19,85.3266,85.5966,84.0328,84.4517,3425706
2014-03-20,84.219,85.5407,83.9863,85.3452,3779744
2014-03-21,86.3598,87.2348,85.0381,85.187,6684544
2014-03-24,85.2987,85.4011,84.0375,84.7123,2525775
2014-03-25,85.0474,85.5407,84.3586,84.5541,2420122
2014-03-26,85.0381,85.3451,83.4278,83.4557,3011622
2014-03-27,83.4929,84.1724,83.0927,83.7629,3602751
2014-03-28,84.0235,85.2242,83.7722,84.2003,3138927
2014-03-31,84.7774,85.5779,83.6605,83.8001,5172409
2014-04-01,84.1445,84.9171,83.9676,84.8612,2821615
2014-04-02,84.7773,85.0012,84.1054,84.3573,2886616
2014-04-03,84.6093,85.1038,84.3573,84.8986,2483562
2014-04-04,85.0759,85.2905,83.1162,83.2095,2939772
2014-04-07,83.0789,83.4522,80.7647,80.8113,5558259
2014-04-08,80.8393,80.998,79.8595,80.7087,3880357
2014-04-09,81.0913,82.7896,80.8487,82.7896,3599617
2014-04-10,82.5563,82.813,79.5982,79.6542,5213765
2014-04-11,79.225,79.7335,78.3758,78.889,4014277
2014-04-14,79.4023,80.5687,78.4225,79.7849,4015913
2014-04-15,80.1301,80.9326,78.6837,80.2888,3741860
2014-04-16,81.0353,81.6325,80.6994,81.5579,4055995
2014-04-17,81.3339,82.0431,79.4116,80.4567,9244808
2014-04-21,80.606,81.0493,80.4007,80.8767,3762330
2014-04-22,80.914,81.5952,80.6527,81.2499,3420444
2014-04-23,81.1939,81.7818,80.8795,81.3059,3788218
2014-04-24,81.4272,82.0991,81.1006,81.5672,3187102
2014-04-25,81.2033,81.4645,80.83,81.2126,4232260
2014-04-28,81.5952,81.7258,80.1115,81.2406,4760553
2014-04-29,81.5019,82.0711,81.3619,81.9218,2853035
2014-04-30,81.7538,81.8005,81.1473,81.5859,4354497
2014-05-01,81.6792,81.7212,80.5594,81.0166,4680412
2014-05-02,80.97,81.4739,80.634,81.1193,3707385
2014-05-05,80.2514,81.5765,80.0182,81.5205,3340078
2014-05-06,81.4179,81.4179,80.3261,80.4381,3269355
2014-05-07,80.9886,82.1644,80.3541,82.0991,4601515
2014-05-08,82.0058,83.3122,81.8005,82.6963,4220350
2014-05-09,82.547,83.0789,82.2391,82.9016,2344736
2014-05-12,83.4428,83.9561,83.3493,83.6668,2343786
2014-05-13,83.6575,83.9841,83.0882,83.1349,2298535
2014-05-14,83.2095,83.4522,82.407,82.547,2238503
2014-05-15,82.3044,82.659,81.2873,81.7445,3329234
2014-05-16,86.9817,88.1173,86.7189,87.8076,4467741
2014-05-19,81.3526,82.3231,81.2873,82.2297,2005193
2014-05-20,81.9498,82.1644,81.054,81.2686,2802816
2014-05-21,81.7165,82.2484,81.5393,81.9871,2525553
2014-05-22,81.9218,82.4817,81.6978,82.2577,2654758
2014-05-23,82.2204,82.9203,82.1178,82.8456,1862385
2014-05-27,83.6108,85.3558,83.3775,85.2812,5093826
2014-05-28,85.2065,85.2532,84.572,84.9732,2466846
2014-05-29,85.0292,85.1972,84.4786,85.1785,2668484
2014-05-30,84.9172,85.5518,84.8146,85.3838,3594761
2014-06-02,85.6544,85.953,85.3185,85.7477,2832071
2014-06-03,85.4865,85.7104,85.1692,85.5984,2589094
2014-06-04,85.4678,85.7571,85.2252,85.6731,2636958
2014-06-05,85.7758,86.9795,85.4118,86.5969,3222994
2014-06-06,86.7275,88.5939,86.6156,88.5659,4551113
2014-06-09,88.7245,89.471,88.3232,89.1817,3825234
2014-06-10,88.7338,89.0138,88.3512,88.9111,2421970
2014-06-11,88.5939,88.8878,88.3139,88.7245,1884535
2014-06-12,88.9765,89.0978,88.0526,88.4259,2870488
2014-06-13,88.6032,88.8085,88.0713,88.5099,1792975
2014-06-16,88.0526,88.4166,87.5674,88.062,2832531
2014-06-17,88.062,88.8365,87.7263,88.3326,2572316
2014-06-18,88.4166,89.2004,87.7913,89.1724,2454768
2014-06-19,89.0791,89.3031,88.2113,88.7152,3206376
2014-06-20,89.1911,89.6203,88.6732,89.1538,5387379
2014-06-23,88.9578,89.3497,88.4492,89.1258,2102451
2014-06-24,88.7338,89.1631,87.9501,88.118,2088726
2014-06-25,87.9593,88.8458,87.9033,88.3139,2398358
2014-06-26,88.4912,88.5939,87.2842,87.9966,2594797
2014-06-27,87.95,88.6965,87.838,88.5845,3630657
2014-06-30,88.6499,88.9671,88.2299,88.5285,2634267
2014-07-01,89.0418,89.807,88.9111,88.9765,3026313
2014-07-02,88.8272,89.3777,88.7058,88.8458,1595457
2014-07-03,89.1911,89.527,88.8551,89.4337,1633771
2014-07-07,89.1164,89.2657,88.7618,89.0231,1962805
2014-07-08,88.5752,88.6592,87.3154,88.2486,2828746
2014-07-09,89.3059,89.4089,88.3375,88.6509,2646347
2014-07-10,87.5374,88.7164,87.1725,88.3889,2230008
2014-07-11,88.2111,88.5106,87.7246,88.3983,2108544
2014-07-14,89.1094,89.4369,88.3609,88.4638,2387991
2014-07-15,88.6977,89.0439,87.9585,88.3796,3499169
2014-07-16,88.7164,88.9784,88.2111,88.3983,2738019
2014-07-17,87.9211,88.6135,86.9385,87.0134,3117458
2014-07-18,87.3222,87.893,87.1163,87.5187,3363043
2014-07-21,87.2941,87.3971,86.4426,86.9105,2321810
2014-07-22,87.5,88.0146,87.2286,87.369,2411581
2014-07-23,87.2006,87.5748,86.8543,87.2848,1984801
2014-07-24,87.3316,87.6029,86.8824,87.1631,3023420
2014-07-25,86.7795,87.0883,85.694,86.0215,3909866
2014-07-28,85.9935,86.1151,85.0577,85.956,4274196
2014-07-29,85.928,86.3023,85.6285,85.8157,4778288
2014-07-30,86.19,86.3865,84.253,85.0671,5069546
2014-07-31,84.2811,84.4589,82.3348,82.3441,7564147
2014-08-01,81.0341,81.633,80.8937,81.3429,5743766
2014-08-04,81.0341,81.633,80.8937,81.3429,5743766
2014-08-05,81.0809,81.427,80.3697,80.8095,5004396
2014-08-06,80.5101,81.2072,80.4727,80.847,4805926
2014-08-07,81.2119,81.5394,80.3697,80.4914,4539209
2014-08-08,80.5569,81.8856,80.3885,81.8482,4206909
2014-08-11,82.2693,82.4938,81.3522,81.3616,3594371
2014-08-12,81.4084,81.4926,81.1277,81.4833,3106640
2014-08-13,81.8201,82.4049,81.5581,81.7827,2590641
2014-08-14,81.8763,82.1609,81.502,81.661,3498785
2014-08-15,82.1383,82.2318,80.6879,81.0341,3295617
2014-08-18,81.6798,81.8575,81.3897,81.5581,2672035
2014-08-19,81.9511,82.6061,81.8295,82.4564,3523886
2014-08-20,82.3535,82.9523,82.2505,82.8026,3143040
2014-08-21,82.943,83.584,82.8962,83.4109,3019283
2014-08-22,83.1769,83.7571,83.1161,83.1676,2803133
2014-08-25,83.8039,84.4214,83.5793,83.8319,3730046
2014-08-26,83.8506,84.1501,83.3547,83.4202,2934587
2014-08-27,83.5138,83.8318,83.2705,83.5044,2632512
2014-08-28,83.1301,83.5886,82.9149,83.2986,3324915
2014-08-29,83.6261,83.9349,83.3641,83.7945,2673218
2014-09-02,84.122,84.3372,83.5419,83.9536,3592108
2014-09-03,84.3372,84.6741,84.2156,84.3466,2935072
2014-09-04,84.3185,84.646,83.6729,83.8881,2599473
2014-09-05,83.8787,83.9723,83.2986,83.8506,2575907
2014-09-08,83.6541,84.0565,82.9243,83.2143,3621528
2014-09-09,83.1395,83.1863,82.1102,82.2505,4021206
2014-09-10,82.4377,82.9617,82.3535,82.7278,3471011
2014-09-11,82.3535,82.9056,82.2318,82.7371,2757034
2014-09-12,82.5126,82.6248,81.8201,82.0073,4739054
2014-09-15,82.6716,82.6716,81.5113,81.764,3986981
2014-09-16,81.5581,82.9991,81.2961,82.681,5951014
2014-09-17,82.9149,83.8039,82.6529,83.3453,4460724
2014-09-18,83.5886,84.7677,83.5699,84.3092,4309814
2014-09-19,84.8519,84.8519,83.6729,83.9349,7126551
2014-09-22,83.8226,84.2998,83.1863,83.2705,3143756
2014-09-23,82.8588,83.5231,82.5612,82.6342,3715997
2014-09-24,82.7839,82.9523,82.2225,82.8307,5089940
2014-09-25,82.8213,83.1114,81.1838,81.1838,5647980
2014-09-26,81.5581,82.971,81.3616,82.6903,4480408
2014-09-29,81.9979,82.3675,81.5394,82.2973,3304057
2014-09-30,82.5313,82.6436,81.7359,81.9137,3867066
2014-10-01,81.557,81.9418,80.2525,80.5341,4786195
2014-10-02,81.0784,81.1816,79.8302,80.5904,4217094
2014-10-03,81.3318,81.9371,80.9189,81.8011,4601352
2014-10-06,82.2891,82.5584,81.4257,81.6791,3148903
2014-10-07,81.1347,81.1347,80.0836,80.1023,3911200
2014-10-08,80.1587,82.092,79.7775,82.0357,4238301
2014-10-09,81.9606,82.5706,80.5434,80.6091,5396567
2014-10-10,80.5059,81.3693,79.7645,79.7645,4235195
2014-10-13,79.5486,80.0085,77.5308,77.6904,5074088
2014-10-14,78.1502,78.2629,77.437,77.6528,6165129
