date,open,high,low,close,volume
2014-01-02,14.7281,15.1693,14.7187,15.113,149225696
2014-01-03,15.2726,15.4885,15.235,15.404,130054547
2014-01-06,15.6058,15.7044,15.5448,15.6387,114727379
2014-01-07,15.7419,15.7607,15.4415,15.4885,112141137
2014-01-08,15.648,15.6668,15.5064,15.5636,101227932
2014-01-09,15.648,15.8887,15.5964,15.7982,101275343
2014-01-10,15.7231,15.7607,15.5917,15.7419,87682477
2014-01-13,15.7607,15.7701,15.3946,15.4228,90827849
2014-01-14,15.526,15.7419,15.5166,15.7419,98517898
2014-01-15,16.1737,16.3521,16.0611,16.0986,330005943
2014-01-16,16.0423,16.0892,15.9484,16.0329,163879260
2014-01-17,16.1456,16.1643,15.9484,15.9672,96509703
2014-01-21,16.0329,16.1033,15.8358,15.9672,118388995
2014-01-22,16.0329,16.0986,15.9578,16.0986,68231534
2014-01-23,16.0235,16.0423,15.7138,15.8264,124037063
2014-01-24,15.648,15.695,15.4415,15.4415,114269725
2014-01-27,15.3664,15.526,15.0754,15.3101,135060624
2014-01-28,15.4415,15.7325,15.3664,15.7044,93652513
2014-01-29,15.5354,15.817,15.4791,15.6574,130381992
2014-01-30,15.7795,15.9484,15.7372,15.8921,91147776
2014-01-31,15.695,15.939,15.5917,15.7231,139608553
2014-02-03,15.7419,15.8452,15.3007,15.3477,160718806
2014-02-04,15.4791,15.5448,15.2632,15.3477,125833754
2014-02-05,15.3101,15.4415,15.1599,15.3946,110835126
2014-02-06,15.4415,15.7044,15.4322,15.6668,110229403
2014-02-07,15.7889,15.8452,15.6105,15.7889,151911622
2014-02-10,15.6856,15.7044,15.5823,15.695,96136622
2014-02-11,15.6997,15.8827,15.6152,15.8452,92866298
2014-02-12,15.8358,15.8733,15.6293,15.7231,97286498
2014-02-13,15.6246,15.7889,15.6105,15.7231,96047289
2014-02-14,15.7138,15.7325,15.6293,15.6762,113375071
2014-02-18,15.6762,15.7138,15.4603,15.4603,122179187
2014-02-19,15.3758,15.4415,15.1881,15.2069,138080546
2014-02-20,15.2256,15.3571,15.1881,15.3007,107820954
2014-02-21,15.2913,15.4744,15.2538,15.2913,106622165
2014-02-24,15.3007,15.6105,15.3007,15.5166,103039579
2014-02-25,15.4885,15.5448,15.3195,15.3383,81617640
2014-02-26,15.3571,15.3946,15.1412,15.3289,90012056
2014-02-27,15.2726,15.4791,15.2162,15.4791,71807622
2014-02-28,15.4791,15.6293,15.343,15.5166,126312615
