date,open,high,low,close,volume
2014-01-02,34.2271,35.3034,34.1151,34.8729,4019318
2014-01-03,34.8729,35.1742,34.7352,35.0278,2565178
2014-01-06,34.4079,34.8298,32.9742,33.9343,11016472
2014-01-07,33.7104,34.1754,32.5308,33.0474,7854354
2014-01-08,33.1249,33.5813,32.3862,32.5824,6941802
2014-01-09,32.2897,32.6169,31.7386,32.3155,8116631
2014-01-10,32.4791,32.6599,31.7386,32.5566,4837984
2014-01-13,32.548,33.0905,31.519,31.7386,5680182
2014-01-14,31.8075,32.0572,30.7139,31.9022,12156589
2014-01-15,32.1175,32.5911,31.3511,32.35,14065473
2014-01-16,22.31,24.2818,22.1981,23.1022,85222918
2014-01-17,23.2572,23.2916,21.0184,21.0357,60431054
2014-01-21,21.1734,21.6039,20.8807,21.0701,24890547
2014-01-22,21.1777,22.4822,21.0701,22.3961,23743220
2014-01-23,22.3875,22.6803,22.0991,22.4478,14657621
2014-01-24,22.1981,22.1981,21.449,21.5437,11936023
2014-01-27,21.5609,21.6384,20.9151,21.182,10043344
2014-01-28,21.0615,21.6039,21.0443,21.2854,9172321
2014-01-29,21.1045,21.182,20.5362,20.6396,7462923
2014-01-30,20.9151,21.0787,19.5288,19.5632,15355209
2014-01-31,19.2446,20.6137,19.0724,20.2693,13508301
2014-02-03,20.2693,20.3468,19.3738,19.8646,12291014
2014-02-04,19.9507,20.1315,19.5116,19.6149,8970010
2014-02-05,19.3824,19.9938,19.2016,19.9077,8288682
2014-02-06,19.8474,20.6568,19.8302,20.4157,6582172
2014-02-07,20.5018,21.337,20.4846,21.139,9285005
2014-02-10,21.1045,21.8106,20.7989,21.7331,12060441
2014-02-11,21.7762,22.0948,21.6642,21.8881,10685591
2014-02-12,21.8881,21.9914,21.1925,21.4317,8324840
2014-02-13,21.294,21.3715,21.0529,21.2509,6089066
2014-02-14,21.2595,21.4748,21.0701,21.337,4075297
2014-02-18,21.4748,21.6728,21.1906,21.5178,4416021
2014-02-19,21.5092,21.6212,21.3241,21.4231,6880438
2014-02-20,21.294,21.5695,21.2337,21.3887,5214162
2014-02-21,21.3542,21.5523,21.1648,21.2165,4627015
