date,open,high,low,close,volume
2014-01-02,48.0838,48.2515,47.2833,47.5473,1098073
2014-01-03,47.5641,48.2766,47.5473,47.8491,1155188
2014-01-06,48.3102,48.5994,47.8281,48.0335,1409387
2014-01-07,48.2347,48.4778,47.7569,47.7737,2258868
2014-01-08,48.0419,48.0754,47.4048,47.5725,1756625
2014-01-09,47.782,48.0251,47.497,47.7988,2245750
2014-01-10,47.6311,48.5113,47.4719,48.4527,2166739
2014-01-13,48.3353,48.57,47.4803,47.5976,2063852
2014-01-14,47.8826,48.7041,47.8323,48.6203,2258718
2014-01-15,48.7041,48.7544,47.8575,48.7461,2281981
2014-01-16,48.6036,49.0437,48.461,48.855,1420466
2014-01-17,48.8802,49.249,48.6958,49.0478,2355259
2014-01-21,49.2071,49.3496,48.7041,48.8886,1828990
2014-01-22,48.9724,49.1401,48.3772,48.679,1823340
2014-01-23,48.4359,48.57,46.8599,47.0946,2992111
2014-01-24,46.5665,46.6084,44.9025,44.9319,3477020
2014-01-27,45.0073,45.2923,44.1607,44.387,2866135
2014-01-28,44.6636,45.2001,44.5127,45.0073,1933610
2014-01-29,44.3619,45.1247,43.884,44.1355,3862712
2014-01-30,44.8564,45.8624,44.1229,44.2445,2897605
2014-01-31,43.3308,43.8668,42.459,43.599,4677062
2014-02-03,43.5403,43.6745,42.0398,42.0817,4060132
2014-02-04,42.4841,42.8865,42.132,42.6015,2487435
2014-02-05,42.4925,42.526,41.847,42.3919,1881164
2014-02-06,42.3667,43.1715,42.2578,42.9368,3254135
2014-02-07,43.2637,43.8002,43.1715,43.7164,4047292
2014-02-10,43.6912,44.5463,43.6409,44.3032,3362936
2014-02-11,44.0349,44.6888,43.6409,44.2696,4196326
2014-02-12,44.278,45.0115,44.278,44.5547,2588848
2014-02-13,44.0768,44.7558,44.0182,44.5379,2987411
2014-02-14,44.4038,44.4373,43.9427,44.2696,2487965
2014-02-18,44.563,45.0409,44.3786,44.9906,2377925
2014-02-19,44.7391,45.8372,44.2529,44.3116,2480751
2014-02-20,44.4205,44.6175,44.0182,44.0433,1968471
2014-02-21,44.102,44.3619,43.8253,43.993,2041529
2014-02-24,43.9595,45.0995,43.9176,44.8648,2674810
2014-02-25,44.6972,44.8481,43.9679,44.2445,2122528
2014-02-26,44.3535,44.5463,43.6242,43.7248,2886394
2014-02-27,43.6912,44.4373,43.6912,44.387,1806481
2014-02-28,44.3535,44.8984,44.1271,44.6385,2882980
2014-03-03,43.9846,44.0768,43.1715,44.0685,5424173
2014-03-04,44.8816,45.2672,44.7307,44.8061,4788289
2014-03-05,44.8397,44.8397,44.4373,44.781,3827015
2014-03-06,45.0157,45.2085,44.7978,44.9319,6599529
2014-03-07,45.3594,45.6696,44.9151,45.1079,4133995
2014-03-10,45.1079,45.1661,44.2696,44.5966,2394797
2014-03-11,44.6469,44.7558,44.0223,44.2277,3081469
2014-03-12,43.993,44.3702,43.7918,44.2864,2402831
2014-03-13,44.4876,44.5966,43.1296,43.3056,3844927
2014-03-14,43.2469,43.6661,42.7524,42.8529,3047267
2014-03-17,43.2553,43.817,43.2218,43.5068,1519872
2014-03-18,43.5822,44.0978,43.5152,43.8421,2864661
2014-03-19,43.7667,43.8589,42.9955,43.1631,2198160
2014-03-20,42.9955,43.8337,42.6518,43.6409,2200336
2014-03-21,44.1774,44.6301,43.5487,43.8756,5590918
2014-03-24,43.9259,43.9511,43.5403,43.6409,1902522
2014-03-25,43.9092,44.3367,43.7751,44.3116,3243839
2014-03-26,44.6553,46.0636,44.5379,44.9989,5372390
2014-03-27,44.6965,44.8393,44.0831,44.5704,3018696
2014-03-28,44.7049,45.4274,44.4696,45.0913,2004063
2014-03-31,45.4526,45.7467,45.3434,45.5198,1789729
2014-04-01,45.7383,45.9483,45.419,45.7215,1885286
2014-04-02,45.8223,46.3516,45.4358,46.2088,2034397
