date,open,high,low,close,volume
2014-01-02,36.037,36.1099,35.6267,35.8182,660518
2014-01-03,35.9276,36.1555,35.8911,36.0005,755428
2014-01-06,36.1464,36.2649,36.0096,36.1008,642827
2014-01-07,36.1008,36.2922,35.2894,35.7726,2341880
2014-01-08,35.8091,35.8091,33.8399,35.0433,4537878
2014-01-09,35.2712,35.3715,34.5966,34.9977,2285802
2014-01-10,35.098,35.18,34.8245,35.0342,1126435
2014-01-13,35.0797,35.3213,34.665,34.861,1092107
2014-01-14,34.9339,35.1071,34.7242,35.0797,632946
2014-01-15,35.1891,35.2803,35.0068,35.1618,481032
2014-01-16,35.0524,35.1891,34.9612,35.0797,497636
2014-01-17,34.9795,35.0797,34.8163,35.0342,692764
2014-01-21,35.2438,35.3806,34.7333,34.8974,525754
2014-01-22,34.9795,35.2347,34.943,35.1344,601653
2014-01-23,35.0797,35.0797,34.4234,34.6513,993111
2014-01-24,34.4143,34.5692,33.4388,33.4662,1003855
2014-01-27,33.5026,33.7123,33.0559,33.0559,833469
2014-01-28,33.1288,33.375,33.0741,33.2656,564186
2014-01-29,33.0741,33.3294,32.7368,32.9101,796091
2014-01-30,33.2565,33.5755,33.1243,33.5573,486898
2014-01-31,33.2382,33.3476,32.7186,33.0833,941348
2014-02-03,33.1015,33.3841,31.8526,32.1625,1497165
2014-02-04,32.2901,32.6183,31.9711,32.5727,935592
2014-02-05,32.4269,32.5454,31.962,32.3995,473937
2014-02-06,32.5727,33.3476,32.1352,32.9283,837216
2014-02-07,33.0012,33.922,33.0012,33.9037,816705
2014-02-10,33.7943,33.8673,33.4662,33.7032,809121
2014-02-11,33.7579,34.0314,33.5026,33.8764,613615
2014-02-12,33.8673,34.0405,33.6941,33.9767,520239
2014-02-13,33.7214,33.9858,33.5755,33.8308,439553
2014-02-14,33.7032,34.0222,33.4935,33.9858,542967
2014-02-18,34.0769,34.4507,33.6576,34.3231,782722
2014-02-19,34.241,34.405,33.8308,33.9584,826395
2014-02-20,33.7943,33.9493,33.585,33.8308,647568
2014-02-21,33.8673,33.922,33.6767,33.7488,355449
2014-02-24,33.7032,34.1271,33.6462,33.7396,448720
2014-02-25,33.6576,33.8582,33.5117,33.7852,553347
2014-02-26,33.8855,34.1681,33.6758,34.1499,864597
2014-02-27,34.0678,34.3504,33.9037,34.2228,313496
2014-02-28,34.1499,34.5419,34.1499,34.4234,772072
2014-03-03,34.0952,34.7424,34.0382,34.5419,1058349
2014-03-04,34.8974,35.4034,34.861,35.3988,806645
2014-03-05,35.2985,35.4535,35.1436,35.3624,783852
2014-03-06,35.3988,35.4718,35.0616,35.1071,554714
2014-03-07,35.18,35.5538,35.1071,35.3441,572731
2014-03-10,35.253,35.4353,35.098,35.1527,443973
2014-03-11,35.1436,35.3131,34.788,34.8974,468040
2014-03-12,34.6866,34.9524,34.4574,34.8333,629455
2014-03-13,34.9249,34.9249,34.1183,34.1641,491007
2014-03-14,34.0174,34.3841,33.9808,34.1274,569676
2014-03-17,34.2283,34.7141,34.1458,34.3566,644627
2014-03-18,34.3566,34.7233,34.2741,34.5583,619807
2014-03-19,34.5216,34.6133,33.7974,34.0541,571828
2014-03-20,34.1458,34.2466,33.8387,34.2008,604163
2014-03-21,34.2649,34.2833,33.1833,33.3024,1322571
2014-03-24,33.4399,33.604,32.9449,33.2749,506378
2014-03-25,33.4858,33.7424,33.2383,33.4766,598155
2014-03-26,33.7516,33.7516,33.3666,33.4949,798601
2014-03-27,33.4491,33.6828,33.2749,33.2933,709521
2014-03-28,33.4124,33.5958,33.2703,33.2933,382646
2014-03-31,33.4766,34.0449,33.3849,34.0449,478129
2014-04-01,34.1824,34.7645,34.0908,34.7416,965770
2014-04-02,34.7416,34.8608,34.5583,34.8058,495063
2014-04-03,34.7599,34.8149,34.3841,34.5216,411837
2014-04-04,34.3841,34.6774,33.472,33.5133,563950
2014-04-07,33.3666,33.5224,32.9908,33.2291,920223
2014-04-08,33.2841,33.7608,33.1127,33.6783,652707
2014-04-09,33.7974,34.2397,33.6966,34.2099,480138
2014-04-10,34.1733,34.3749,33.4491,33.5408,718012
2014-04-11,33.2474,33.5041,32.6241,32.6424,471716
2014-04-14,32.8899,32.922,32.5599,32.7983,465754
2014-04-15,32.7891,33.1466,32.4041,32.8074,497081
2014-04-16,33.0549,33.4858,33.0366,33.4491,303555
2014-04-17,33.3758,34.0083,33.2291,33.7516,410961
2014-04-21,33.7516,33.9258,33.4583,33.7883,374682
2014-04-22,33.8158,34.2191,33.8158,34.0999,417445
2014-04-23,34.1183,34.3016,33.9899,34.0999,351925
2014-04-24,34.2191,34.4758,33.9624,34.4758,635253
2014-04-25,34.2649,34.3749,34.0083,34.0724,440965
2014-04-28,34.1458,34.5858,33.9349,34.4483,619676
2014-04-29,34.4391,34.6316,34.3474,34.4208,387336
2014-04-30,34.3474,35.1449,34.2283,35.1449,820123
2014-05-01,35.1449,35.2916,34.8699,35.0441,324198
2014-05-02,34.9524,35.4933,34.9524,35.1816,282384
2014-05-05,35.1449,35.4749,34.7692,35.3833,260066
2014-05-06,35.2916,35.4566,35.1174,35.2274,218037
2014-05-07,35.3833,35.5467,34.9524,35.3924,614240
2014-05-08,35.3191,35.5574,35.0624,35.1174,482666
2014-05-09,35.1358,35.5208,34.8424,35.2916,706222
2014-05-12,35.4749,35.9378,35.3558,35.6949,631323
2014-05-13,35.6949,36.6299,35.6033,36.4649,1173745
2014-05-14,36.4283,36.4283,35.8874,35.9333,617785
2014-05-15,35.8324,35.8691,34.9158,35.2824,615274
2014-05-16,35.3099,35.5987,35.0533,35.5666,482920
2014-05-19,35.5208,36.3274,35.4383,36.2449,515865
2014-05-20,36.2174,36.2541,35.4931,35.5849,402587
2014-05-21,35.7499,36.3549,35.6583,36.2449,497271
2014-05-22,36.2449,36.6574,36.1258,36.5199,543074
2014-05-23,36.5016,37.1799,36.4833,37.0974,605157
2014-05-27,37.1249,37.7208,37.0241,37.4549,625196
2014-05-28,37.4824,37.7758,37.3083,37.4183,671111
2014-05-29,37.7208,37.9774,37.4183,37.8124,867526
2014-05-30,37.7208,37.8766,37.4733,37.6016,574046
2014-06-02,37.7024,38.2157,37.3908,38.0874,576629
2014-06-03,37.9866,38.1057,37.7208,37.7941,610733
2014-06-04,37.8124,38.7887,37.8124,38.6191,891164
2014-06-05,38.6191,38.6832,37.9958,38.0507,761092
2014-06-06,38.1516,38.4541,37.9591,38.1241,880057
2014-06-09,38.0966,38.2157,37.7116,37.8124,823301
2014-06-10,37.7482,38.0233,37.7208,37.7849,603782
2014-06-11,37.7391,37.8399,37.4824,37.7758,328323
2014-06-12,37.7205,37.7665,37.4072,37.5454,278860
2014-06-13,37.6191,37.8218,37.4349,37.5546,253015
2014-06-16,37.5178,37.7113,37.2598,37.3611,278915
2014-06-17,37.1861,38.0798,37.1861,37.702,499959
2014-06-18,37.6928,37.7942,37.4625,37.7297,393651
2014-06-19,37.785,37.8771,37.5086,37.656,357161
2014-06-20,37.6099,37.8679,37.6007,37.6468,745159
2014-06-23,37.7481,37.8587,37.4533,37.6928,421312
2014-06-24,37.7113,38.0522,37.4164,37.4625,445240
2014-06-25,37.4809,37.8863,37.4349,37.5823,612512
2014-06-26,37.5178,37.5915,37.2598,37.4441,368910
2014-06-27,37.3151,37.6007,37.1216,37.5638,427317
2014-06-30,37.5638,38.4023,37.1677,38.3654,966192
2014-07-01,38.4115,38.9735,38.3931,38.4115,889071
2014-07-02,38.2272,38.4898,37.8126,37.8587,494579
2014-07-03,37.96,38.3194,37.7942,38.2917,283604
2014-07-07,38.1535,38.2825,37.8587,37.8771,367859
2014-07-08,37.7481,37.831,37.4717,37.6283,562009
2014-07-09,37.6928,37.8771,37.527,37.656,395105
2014-07-10,37.0202,37.6744,36.9926,37.5546,428575
2014-07-11,37.5731,37.7758,37.3888,37.7113,264953
2014-07-14,37.9232,38.1074,37.7804,37.9232,304784
2014-07-15,37.9416,38.043,37.6376,37.96,396766
2014-07-16,38.0798,38.1351,37.3151,37.6191,509653
2014-07-17,37.6099,37.7573,37.0387,37.0847,579518
2014-07-18,37.269,37.6606,37.0847,37.6191,459439
2014-07-21,37.4993,37.7297,37.306,37.4349,449718
2014-07-22,37.4533,37.8403,37.4256,37.7297,594761
2014-07-23,38.1443,38.1812,37.8403,37.8771,527411
2014-07-24,37.9692,38.1351,37.831,37.8863,750150
2014-07-25,37.8034,38.2226,37.6191,38.1535,505102
2014-07-28,38.1535,38.3378,37.8126,38.1904,552165
2014-07-29,38.1812,38.651,37.96,38.0153,609654
2014-07-30,38.0153,38.1535,37.8495,38.043,378255
2014-07-31,37.6652,37.8909,37.1953,37.1953,637047
2014-08-01,37.0479,37.4809,36.8544,37.3335,679786
2014-08-04,37.4072,37.7389,37.2598,37.7205,462367
2014-08-05,37.4993,37.7665,37.2414,37.5086,538034
2014-08-06,37.2229,37.6283,37.1124,37.4441,645940
2014-08-07,37.7758,38.1167,36.3476,36.7438,1178585
2014-08-08,36.6609,37.2137,36.3274,37.1953,656976
2014-08-11,37.2874,37.5638,37.269,37.4717,602972
2014-08-12,37.2966,37.5362,37.1216,37.2506,507547
