date,open,high,low,close,volume
2014-01-02,86.0726,87.0516,85.4971,86.2186,894806
2014-01-03,86.5106,88.2025,85.9437,87.2492,686808
2014-01-06,87.4639,88.6405,87.3436,88.2197,981036
2014-01-07,88.2111,89.173,87.7129,88.7865,1127750
2014-01-08,88.8981,89.3275,87.8933,88.1939,908933
2014-01-09,88.4,88.4,87.378,88.2368,934108
2014-01-10,88.5889,90.1606,88.2454,89.6968,929047
2014-01-13,89.3705,90.1263,88.5975,88.9754,768953
2014-01-14,89.3619,90.1692,88.9754,89.7999,970353
2014-01-15,89.5337,90.4784,89.5337,90.341,913830
2014-01-16,90.0747,90.7446,89.903,90.0661,553816
2014-01-17,90.2809,90.3839,89.4392,89.9545,991818
2014-01-21,90.2637,91.8354,90.2637,91.217,976695
2014-01-22,91.5262,92.5911,91.3888,92.1445,705838
2014-01-23,91.2599,91.9985,90.9851,91.8096,662842
2014-01-24,91.6808,91.7666,90.0833,90.0833,836412
2014-01-27,90.1349,90.7189,89.2588,89.5852,809805
2014-01-28,89.6281,91.0238,89.6281,90.4526,762524
2014-01-29,90.0576,91.7581,89.4821,90.8649,1056758
2014-01-30,91.4918,93.042,91.4472,92.7543,872372
2014-01-31,91.9212,93.2954,91.582,92.8316,1013612
2014-02-03,92.6942,93.1133,90.882,91.0882,830066
2014-02-04,91.6121,92.7028,90.9851,92.531,959612
2014-02-05,92.3936,92.5138,91.1998,91.6636,717384
2014-02-06,91.8783,93.3211,91.6979,93.1751,953613
2014-02-07,93.5444,94.4634,92.6856,93.7677,1104424
2014-02-10,93.742,94.6781,93.1064,94.4033,738073
2014-02-11,94.1972,94.7983,93.888,94.1628,990118
2014-02-12,94.2315,94.721,93.6389,94.5836,503585
2014-02-13,94.0168,95.5369,94.0168,94.5665,726698
2014-02-14,94.6523,95.5283,94.2487,95.2965,369946
2014-02-18,95.1333,95.6314,94.3432,95.6056,690085
2014-02-19,95.2707,96.1639,94.8842,95.1934,515092
2014-02-20,95.2106,95.9664,94.5063,95.0388,655280
2014-02-21,95.0732,95.9234,94.7296,95.2535,582866
2014-02-24,95.2535,95.7946,94.9873,95.013,694479
2014-02-25,95.0474,96.808,94.6867,96.2755,836686
2014-02-26,96.6878,96.997,95.3136,95.6744,625153
2014-02-27,95.64,96.4043,94.2401,95.2707,717787
2014-02-28,95.1505,97.0141,94.9787,96.5589,1084637
2014-03-03,96.1725,96.9111,95.3136,96.3357,639721
2014-03-04,97.0485,97.9589,96.6706,97.5552,938657
2014-03-05,97.4521,97.6239,95.4682,97.0399,903664
2014-03-06,97.4436,97.4436,95.8547,96.5675,764389
2014-03-07,96.5675,96.5675,94.618,95.2793,903709
2014-03-10,95.202,95.3823,94.4204,95.056,688365
2014-03-11,95.7431,97.6668,95.5283,96.9712,1205644
2014-03-12,96.3357,97.0485,95.7001,95.8204,820156
2014-03-13,96.078,96.1038,95.1333,95.8891,639530
2014-03-14,95.8375,96.8681,95.6744,96.0608,487139
2014-03-17,96.4473,97.0485,95.908,96.3528,645367
2014-03-18,96.3958,97.2976,96.078,97.2288,592370
2014-03-19,97.3748,98.2852,95.6486,96.1896,1119700
2014-03-20,95.7173,96.9454,94.8928,96.9111,891667
2014-03-21,97.7957,98.414,96.7651,97.8644,1095025
2014-03-24,97.8816,98.0276,96.3442,97.1859,745761
2014-03-25,97.5724,97.9503,96.9454,97.5981,482235
2014-03-26,97.7356,97.8343,96.3357,96.4817,955014
2014-03-27,96.4298,97.7083,96.2225,97.6478,779465
2014-03-28,97.9415,98.6412,97.9415,98.3821,522607
2014-03-31,98.6499,99.5137,97.786,98.9349,685015
2014-04-01,98.9781,99.9975,98.3216,99.9543,884093
2014-04-02,99.6519,100.4207,99.2546,99.7729,787238
2014-04-03,99.937,100.1357,99.2027,99.7729,612552
2014-04-04,99.1595,101.0686,99.1595,100.4726,782712
2014-04-07,100.3775,101.4573,99.8938,100.6972,1302989
2014-04-08,100.6972,101.4249,100.1789,101.2932,719736
2014-04-09,101.3105,101.4919,100.2134,100.4294,969201
2014-04-10,100.7317,101.3105,98.6758,98.8658,965159
2014-04-11,98.4426,100.2013,98.3562,99.6433,1291038
2014-04-14,100.0666,100.6108,98.6844,99.721,775579
2014-04-15,99.7556,101.1274,99.6433,100.8872,1086839
2014-04-16,101.1636,101.5437,100.1098,100.9736,1182452
2014-04-17,100.6712,101.4919,100.3775,101.4401,690672
2014-04-21,101.9324,102.1398,101.1723,101.5783,677120
2014-04-22,101.3537,102.1588,101.1204,101.9411,618927
2014-04-23,101.9497,102.3644,101.0341,101.3882,835163
2014-04-24,101.5178,102.2434,101.0859,102.1225,583394
2014-04-25,102.0361,102.2606,101.047,101.3882,455176
2014-04-28,102.0188,102.3298,101.1636,102.1916,673287
2014-04-29,102.2089,102.2866,101.2587,101.5264,600069
2014-04-30,102.183,102.779,100.6885,101.1896,1110390
2014-05-01,101.3537,102.2521,100.6108,102.1311,813810
2014-05-02,101.872,102.7704,101.2414,101.8029,1194639
2014-05-05,101.4919,102.0793,101.2673,101.7597,711853
2014-05-06,101.6128,101.8461,100.9909,101.1204,854245
2014-05-07,101.7079,102.7445,101.2587,102.5371,688598
2014-05-08,102.5026,103.2282,102.3816,102.8481,495969
2014-05-09,103.3664,103.7983,102.4853,103.1677,683363
2014-05-12,103.2541,103.6515,102.8481,103.4787,583569
2014-05-13,103.6601,104.1223,102.1916,102.589,585302
2014-05-14,102.7445,102.8913,101.872,102.6062,493607
2014-05-15,102.5199,102.969,101.5869,102.9431,865166
2014-05-16,102.5371,103.8156,102.1311,103.7811,757484
2014-05-19,103.5565,103.8329,102.5371,103.6601,776093
2014-05-20,103.4355,103.9452,103.185,103.4874,826641
2014-05-21,104.4376,104.5671,102.874,102.9259,505374
2014-05-22,102.9086,103.1505,101.9843,102.157,446806
2014-05-23,102.5112,103.0295,102.2391,102.7185,676429
2014-05-27,102.7963,104.0402,102.6468,104.0316,600229
2014-05-28,103.7724,103.7724,102.3212,103.0554,464981
2014-05-29,102.9777,103.3146,102.6062,103.2109,377855
2014-05-30,103.2628,104.2475,103.2368,104.2475,1143044
2014-06-02,104.0661,104.8954,103.8329,104.4376,507255
2014-06-03,104.1698,104.3598,103.5133,103.6515,416594
2014-06-04,103.4269,104.1957,102.9518,103.9279,529537
2014-06-05,103.9625,105.4137,103.6428,105.3446,769449
2014-06-06,105.336,105.3878,104.7831,105.3014,668597
2014-06-09,105.3014,105.7333,102.9604,103.4355,838050
2014-06-10,103.1418,103.5858,101.6819,101.8893,905121
2014-06-11,101.8288,102.0534,100.8699,101.0686,938184
2014-06-12,98.1489,101.1032,98.1489,100.4207,1363738
2014-06-13,100.7404,101.2846,99.9629,100.9045,1082037
2014-06-16,101.0513,101.4746,99.8938,100.2048,878766
2014-06-17,99.8506,99.8938,98.8226,99.3323,1095851
2014-06-18,99.5396,101.2327,99.0472,101.0254,845724
2014-06-19,101.2327,101.9929,100.7576,101.9584,856286
2014-06-20,102.062,102.4162,101.1982,102.2693,1021413
2014-06-23,102.1398,102.6926,101.8461,102.1484,698046
2014-06-24,101.9497,102.5717,101.5351,102.5717,979912
2014-06-25,102.2089,102.6926,101.7856,102.2089,798599
2014-06-26,102.0178,102.2263,101.5053,101.8962,656346
2014-06-27,101.957,102.9559,101.6052,102.9559,845825
2014-06-30,102.6953,103.008,101.9136,102.6519,695050
2014-07-01,102.7996,103.4684,102.1829,102.9472,767098
2014-07-02,102.6432,103.0254,102.1394,102.4434,630372
2014-07-03,102.3305,102.4869,101.6009,101.957,728188
2014-07-07,102.0873,103.1904,101.7225,102.982,1041249
2014-07-08,102.9559,103.2773,102.6606,103.0167,526312
2014-07-09,103.0949,103.2773,102.2697,103.0428,474881
2014-07-10,102.4348,104.3935,102.4348,103.9635,736846
2014-07-11,103.9635,103.9635,103.286,103.729,458511
2014-07-14,103.8158,104.615,103.5249,104.5542,660692
2014-07-15,104.5715,104.8582,103.9288,104.6236,415030
2014-07-16,104.7105,105.249,104.4412,104.919,418119
2014-07-17,104.8408,105.1969,104.3978,104.5107,559970
2014-07-18,104.8408,105.831,104.6236,105.7007,543899
2014-07-21,105.2751,105.6225,104.9971,105.1014,473843
2014-07-22,105.5791,105.8831,105.4054,105.692,659942
2014-07-23,105.8397,105.8397,105.1535,105.2838,531386
2014-07-24,105.5704,105.7876,104.8582,105.3533,601374
2014-07-25,104.9277,105.3185,104.0504,104.3023,655197
2014-07-28,104.641,105.97,104.552,105.4923,604505
2014-07-29,105.3272,105.4054,104.1285,104.6758,568660
2014-07-30,104.5368,105.8918,104.4517,105.084,700405
2014-07-31,104.8495,105.3533,103.6942,103.755,715228
2014-08-01,103.2078,104.4412,102.565,104.0764,542559
2014-08-04,103.2078,104.4412,102.565,104.0764,542559
2014-08-05,103.5205,103.9201,102.2871,102.7648,710571
