date,open,high,low,close,volume
2014-01-02,59.5333,59.7103,59.0495,59.2466,1608509
2014-01-03,59.3542,59.9455,59.3452,59.8379,1301196
2014-01-06,59.8917,60.3845,59.4706,59.7842,2214143
2014-01-07,59.8738,60.7787,59.8111,60.5188,2251552
2014-01-08,59.2735,60.1784,59.0854,60.053,3602767
2014-01-09,60.3486,61.697,60.053,61.0833,3823491
2014-01-10,61.2624,62.1225,60.7876,62.1046,3432875
2014-01-13,62.2748,62.2748,60.6039,60.8772,2660617
2014-01-14,60.931,61.1908,60.5636,61.1012,1985427
2014-01-15,61.146,61.1908,60.5305,60.8414,2350309
2014-01-16,60.8414,61.0743,60.6891,60.8682,1586158
2014-01-17,60.9937,61.1012,60.5995,60.6353,3781656
2014-01-21,61.3431,61.4147,60.5547,60.922,2199386
2014-01-22,61.1012,61.1281,60.259,60.8772,3116662
2014-01-23,60.5188,60.7787,59.7663,59.9903,2632088
2014-01-24,59.6946,59.9182,58.5568,58.6105,2876118
2014-01-27,58.6285,59.1123,58.3373,58.4672,2608068
2014-01-28,58.6464,60.4292,58.6464,60.3755,3021701
2014-01-29,59.8111,60.2501,59.1839,59.5333,2646268
2014-01-30,61.5939,62.1673,60.5009,61.7821,3887230
2014-01-31,61.3879,61.4076,60.4472,60.9399,2546136
2014-02-03,60.8862,60.9399,58.7897,58.9152,3834954
2014-02-04,59.2466,59.4706,58.4493,58.736,2076506
2014-02-05,58.5747,59.1033,58.0372,58.5658,2599201
2014-02-06,58.736,59.6408,58.4582,59.3721,2235525
2014-02-07,59.614,60.5547,59.4079,60.5099,2085446
2014-02-10,60.2949,60.4561,59.2108,59.7215,3884299
2014-02-11,59.7125,62.6153,59.6229,62.3196,5035594
2014-02-12,62.5436,63.5694,62.1852,62.239,3257114
2014-02-13,61.9613,63.0363,61.5312,62.6421,2132459
2014-02-14,62.4898,63.117,62.2748,62.9557,1494353
2014-02-18,62.8124,63.8248,62.7138,63.4305,1900345
2014-02-19,63.4216,64.3892,63.0811,63.556,2574638
2014-02-20,63.5918,64.3354,63.2334,64.0666,1720595
2014-02-21,64.3533,64.537,64.0756,64.2817,2140872
2014-02-24,64.3892,64.9357,64.2906,64.2996,1837697
2014-02-25,64.21,64.8909,64.0666,64.5056,1979233
2014-02-26,64.4967,65.0163,63.9233,64.1562,1685682
2014-02-27,64.0398,64.5415,63.6316,64.3533,2095642
2014-02-28,64.5504,64.7117,63.5739,64.0846,1799748
2014-03-03,63.6724,64.2637,63.5918,64.0398,1505933
2014-03-04,64.7117,65.9749,64.7117,65.8854,2214038
2014-03-05,65.4822,66.6558,65.4195,65.5807,2105672
2014-03-06,65.9033,66.0,64.9536,65.0074,1755745
2014-03-07,65.0701,65.1955,64.3937,64.7744,2112690
2014-03-10,64.7117,65.0701,64.2369,64.9267,1703846
2014-03-11,65.0253,65.527,64.7744,64.9894,1050104
