date,open,high,low,close,volume
2014-01-02,77.4039,77.4381,76.4793,76.9416,4898714
2014-01-03,77.0529,77.2669,76.7019,76.8988,3722442
2014-01-06,77.2155,77.3097,75.666,75.8885,5236394
2014-01-07,75.9998,76.3936,75.9827,76.1368,3516502
2014-01-08,76.0084,76.8988,75.9142,76.3166,4425098
2014-01-09,76.4193,76.8816,75.927,76.8046,4469987
2014-01-10,76.5477,77.5666,76.445,77.4895,5417506
2014-01-13,77.2755,78.1316,76.8945,76.9587,5213921
2014-01-14,76.933,77.6607,76.933,77.5323,3712534
2014-01-15,77.8063,79.7925,77.8063,79.1162,10125882
2014-01-16,79.1851,80.021,79.0214,79.2885,4771192
2014-01-17,79.4092,79.504,78.4268,78.7974,6833535
2014-01-21,78.9352,79.1485,77.2462,78.0735,5558499
2014-01-22,78.0649,78.2631,76.9963,77.2462,4788501
2014-01-23,76.4362,76.7619,75.8761,76.2466,5021646
2014-01-24,75.8157,75.8244,74.0018,74.256,8118400
2014-01-27,79.0817,79.5471,76.755,78.6681,22210282
2014-01-28,78.7629,79.8573,78.7198,79.6849,9413150
2014-01-29,78.6853,79.2455,77.8064,78.0907,8150580
2014-01-30,78.8749,80.8741,78.1855,80.314,14770545
2014-01-31,79.4178,81.598,79.2885,80.9258,9771234
2014-02-03,80.7793,80.9517,79.2368,79.6419,9085760
2014-02-04,79.6936,79.8403,78.8404,79.7108,6839994
2014-02-05,79.4867,79.7194,78.4699,79.2455,5134846
2014-02-06,79.2282,81.2016,79.099,80.8569,6864749
2014-02-07,81.1499,82.072,80.9,81.7531,9665197
2014-02-10,81.8393,81.8479,80.6822,81.4343,5933664
2014-02-11,81.5377,82.1581,81.2447,81.8307,6011559
2014-02-12,82.1323,83.2784,82.0116,82.8734,8006395
2014-02-13,82.115,83.0802,81.9599,82.8217,4392208
2014-02-14,82.6062,83.3129,82.589,83.2008,4232955
2014-02-18,82.5976,83.5327,82.5976,83.2095,4872883
2014-02-19,82.8906,84.166,82.8174,82.9078,5868813
2014-02-20,83.1664,84.0367,82.1237,83.5197,7719564
2014-02-21,83.6834,84.4073,83.5197,84.0195,5558694
2014-02-24,84.0626,84.6572,83.7437,83.8644,4888158
2014-02-25,83.4507,83.5714,82.5718,83.0802,5993094
2014-02-26,83.2956,84.3728,83.0199,83.761,4753899
2014-02-27,83.7696,84.1358,83.175,83.3301,4340142
2014-02-28,83.2698,84.0367,82.9854,83.5628,5411245
2014-03-03,83.0026,83.3042,82.3822,82.994,4859173
2014-03-04,83.761,83.985,83.2095,83.6059,6264043
2014-03-05,83.1922,83.5024,82.6235,83.0457,5384826
2014-03-06,83.5455,84.5796,83.2956,84.1057,6792145
2014-03-07,84.2608,84.3383,83.1577,83.6317,5259754
2014-03-10,83.2784,83.4163,82.6062,83.3732,4693467
2014-03-11,83.6662,84.3728,83.2612,83.4507,5731313
2014-03-12,82.9854,83.7954,82.9854,83.4335,4449489
2014-03-13,83.761,84.2177,81.9168,82.3908,8434596
2014-03-14,82.2529,82.9423,82.0375,82.2012,5002348
2014-03-17,82.7183,83.1146,82.3391,82.4425,4697171
2014-03-18,82.8303,83.287,82.4684,83.0802,4921286
2014-03-19,82.8044,83.3473,82.0806,82.7613,5109239
2014-03-20,82.477,82.9337,81.9513,82.9078,4396040
2014-03-21,83.6489,84.1315,83.3042,83.9247,8340005
2014-03-24,84.1057,84.1057,83.0888,83.4594,4811315
2014-03-25,83.8988,85.6051,83.7179,84.9588,9078108
2014-03-26,85.5534,85.8291,84.278,84.278,5610221
2014-03-27,84.2952,85.2173,83.8394,84.8381,4954162
2014-03-28,85.2345,85.8464,85.1225,85.6482,5821490
2014-03-31,86.1738,86.7167,85.3552,85.6309,5772635
2014-04-01,85.2604,86.2428,85.2604,86.0101,4814850
2014-04-02,86.2083,88.5522,86.0704,88.4402,9358065
2014-04-03,87.8284,88.9314,87.5612,88.3713,8230217
2014-04-04,88.6643,89.0874,87.8198,88.0438,4889367
2014-04-07,87.5612,87.9576,86.5271,87.1304,5224380
2014-04-08,87.0183,88.9745,87.0011,88.2334,6626924
2014-04-09,88.4574,88.9314,87.768,88.7504,4062154
2014-04-10,88.6815,89.3795,87.8896,88.1214,4540078
2014-04-11,87.1217,87.9835,87.0097,87.4233,5364269
2014-04-14,88.0524,88.6125,86.9925,88.5695,4117984
2014-04-15,88.4402,88.8366,87.2596,88.3282,6317912
2014-04-16,88.9523,89.4117,88.5969,89.221,3801443
2014-04-17,89.325,89.6588,88.935,89.1343,3556801
2014-04-21,89.195,89.2644,88.0248,88.9696,3821433
2014-04-22,89.091,90.2666,89.0737,89.8798,4533389
