date,open,high,low,close,volume
2014-01-02,58.0115,58.1366,57.2158,57.484,3004468
2014-01-03,57.4036,57.6539,57.2069,57.3767,2113729
2014-01-06,57.6092,57.7075,57.2069,57.341,2583563
2014-01-07,57.6539,57.7343,57.2426,57.3946,2872147
2014-01-08,57.3678,57.3946,56.6884,56.8046,3286303
2014-01-09,57.332,58.3601,57.037,58.1277,4826360
2014-01-10,58.2171,58.521,58.0025,58.1813,2956824
2014-01-13,58.0204,58.4585,57.6986,57.8327,3140844
2014-01-14,57.8416,58.1009,57.7165,57.9757,2480045
2014-01-15,57.9847,58.083,57.5287,57.9131,2287413
2014-01-16,57.7343,58.2171,57.5645,58.0919,2636447
2014-01-17,58.0293,58.2081,57.8237,57.8416,3937758
2014-01-21,58.1545,58.4763,57.4751,57.8774,2828713
2014-01-22,58.0032,58.147,57.4011,57.5269,2323198
2014-01-23,57.0056,57.2842,56.8259,57.0146,3263863
2014-01-24,56.9697,57.473,56.071,56.071,5460222
2014-01-27,56.1429,56.3001,55.6755,55.8193,4636817
2014-01-28,55.9002,56.5563,55.9002,56.5023,3377593
2014-01-29,56.4304,56.4304,55.2082,55.352,5682173
2014-01-30,57.0146,57.3426,54.9341,55.2621,5456409
2014-01-31,54.4712,55.352,53.923,55.0284,6831836
2014-02-03,55.0195,55.0914,53.6983,54.0758,6868231
2014-02-04,54.2376,54.5252,54.0489,54.2376,5220793
2014-02-05,54.0578,54.633,53.941,54.3005,5981020
2014-02-06,54.3814,54.6779,54.1657,54.4623,4191641
2014-02-07,54.624,54.9566,54.4083,54.6959,3667009
2014-02-10,54.6779,55.3789,54.651,55.2891,4451821
2014-02-11,55.4239,56.1518,55.1722,56.0799,3706082
2014-02-12,56.0889,56.3855,55.4329,55.6486,3973082
2014-02-13,55.2262,56.0889,55.2172,55.9991,3090889
2014-02-14,56.062,56.5293,55.5497,56.3316,3116170
2014-02-18,56.4934,56.4934,55.7205,56.071,2951114
2014-02-19,55.6935,55.8867,55.2172,55.2981,3358693
2014-02-20,55.2531,55.8148,55.1363,55.5946,2658297
2014-02-21,55.6845,56.2013,55.2981,55.325,3166713
2014-02-24,55.5497,56.1429,55.343,55.6755,3236280
2014-02-25,55.7564,55.9272,55.4329,55.7834,3961218
2014-02-26,55.8193,56.2058,55.5973,55.6755,3026268
2014-02-27,55.4868,55.9092,55.3789,55.8283,2469738
2014-02-28,56.071,56.754,55.8013,56.4664,3366179
2014-03-03,55.9272,56.2849,55.7205,55.9182,2714836
2014-03-04,56.3226,56.8528,56.3226,56.6282,2937633
2014-03-05,56.4574,56.5742,56.2058,56.2777,2401139
2014-03-06,56.4215,56.7899,56.2956,56.6372,2665850
2014-03-07,56.7001,56.8259,56.4844,56.736,1992751
2014-03-10,56.5653,56.7962,56.4934,56.6641,1955497
2014-03-11,56.772,57.3561,56.6731,56.8798,3367329
2014-03-12,56.5383,56.9787,56.5023,56.8169,2368810
2014-03-13,56.9068,57.4101,56.718,56.8259,2633036
2014-03-14,56.745,57.5089,56.6731,57.3651,3620023
2014-03-17,57.5628,58.138,57.4379,57.8774,2838261
2014-03-18,57.9852,58.0481,57.7066,57.8235,2148671
2014-03-19,57.7605,57.8055,56.745,56.9697,2285460
2014-03-20,56.8888,57.2483,56.6821,57.1494,1978911
2014-03-21,57.5718,57.6347,56.9068,57.0326,5963359
2014-03-24,57.3112,57.5626,56.8528,56.8978,2417895
2014-03-25,57.2663,57.7875,56.8978,57.3112,3161437
2014-03-26,57.4011,58.0122,57.2483,57.7605,2737037
2014-03-27,57.7426,59.2434,57.5089,57.5718,8116025
2014-03-28,57.5538,58.0571,57.2663,57.6078,2857562
2014-03-31,57.9673,58.3402,57.5449,58.2998,3568341
2014-04-01,58.2998,58.5065,57.5449,57.7156,3089108
2014-04-02,57.8145,58.0571,57.4011,57.7875,2969573
2014-04-03,57.9583,58.111,57.7066,57.7695,2426397
2014-04-04,58.0302,58.1021,57.6347,57.7156,2435268
2014-04-07,57.446,58.6862,57.4325,58.3447,4229181
2014-04-08,58.2728,59.0188,58.1829,58.9828,4400896
2014-04-09,58.9558,59.2974,58.83,59.0727,3408782
2014-04-10,58.9469,59.5939,58.7671,59.2614,6900952
2014-04-11,59.0996,59.558,58.6413,58.6952,4838265
2014-04-14,59.0098,59.3243,58.8929,59.1895,3040272
2014-04-15,59.3962,59.7377,59.1625,59.6479,4172659
2014-04-16,59.8276,60.5735,59.6838,60.3758,3575796
2014-04-17,60.3126,60.6921,60.1138,60.4843,3599273
2014-04-21,60.2674,60.5837,59.7704,60.3939,2132203
2014-04-22,60.4572,60.6198,59.9512,59.9602,3283661
2014-04-23,59.9783,60.1499,59.4542,59.5174,3688225
2014-04-24,59.6801,60.0506,59.5897,60.0234,3991979
2014-04-25,60.0867,60.4843,59.5626,59.8518,3169581
2014-04-28,60.2313,61.3969,60.1635,61.3155,4539043
2014-04-29,61.2161,61.2794,60.5656,60.5746,4473598
2014-04-30,60.8186,61.1529,60.6108,60.8095,3839459
2014-05-01,60.7011,60.918,60.1227,60.5475,2652449
2014-05-02,60.4481,60.8366,60.3578,60.6288,2538918
2014-05-05,60.421,60.6614,60.2403,60.4481,2032646
2014-05-06,60.2042,60.674,60.1906,60.2764,2012854
2014-05-07,60.3216,60.8999,60.3216,60.7463,2190966
2014-05-08,60.665,60.8638,60.431,60.6288,1714008
2014-05-09,60.5565,61.1981,60.5565,61.1258,2418108
2014-05-12,61.2161,61.2161,60.6017,60.7102,1690863
2014-05-13,60.7282,60.8909,60.5385,60.7734,1797024
2014-05-14,60.7373,61.0625,60.4481,60.5023,1604004
2014-05-15,60.3035,60.6198,59.915,60.0054,2440454
2014-05-16,59.906,60.5114,59.906,60.4662,2840340
2014-05-19,63.4784,63.757,63.2226,63.4236,2615073
2014-05-20,60.2674,60.4662,59.9783,60.1409,1778869
2014-05-21,60.2584,60.3984,60.0506,60.3668,1706389
2014-05-22,60.2764,60.3578,59.9692,60.1861,2679231
2014-05-23,60.3578,60.683,60.0867,60.2945,3253538
2014-05-27,60.4391,60.4843,60.1048,60.2764,3614374
2014-05-28,60.2674,60.2764,59.7253,59.7433,3281160
2014-05-29,59.9783,60.5023,59.8698,60.4662,6367207
2014-05-30,60.4843,61.8667,60.4001,61.8035,7885141
2014-06-02,61.5595,61.686,61.2704,61.6318,2924898
2014-06-03,61.4691,61.5776,60.6469,60.7553,3143660
2014-06-04,60.8457,61.1981,60.5204,61.18,2659482
2014-06-05,61.2975,61.6227,61.18,61.4059,2872690
2014-06-06,61.4872,61.6227,61.3155,61.4601,2941756
2014-06-09,61.3426,62.0203,61.3336,61.8396,2259974
2014-06-10,61.7041,62.2914,61.686,62.0655,2931768
2014-06-11,61.9932,62.0745,61.7221,62.0022,2063918
2014-06-12,61.7583,61.9842,61.1077,61.2975,2131477
2014-06-13,61.2432,61.4149,61.1845,61.3155,1558968
2014-06-16,61.1077,61.6047,60.8366,61.5234,1809986
2014-06-17,61.4691,61.4872,61.1439,61.3426,1644392
2014-06-18,61.2252,62.1378,61.2252,62.1016,2337717
2014-06-19,62.2643,62.7522,62.2643,62.7341,3072203
2014-06-20,62.6167,62.7703,61.7402,61.7854,4035153
2014-06-23,61.7583,61.7673,61.18,61.2884,2656108
2014-06-24,61.2252,61.6453,61.0354,61.3969,2438736
2014-06-25,61.3607,61.5211,61.171,61.3969,2117195
2014-06-26,61.2975,61.4646,60.9993,61.3517,2154617
2014-06-27,61.2432,61.8848,61.0535,61.8306,4109348
2014-06-30,61.7221,62.2191,61.3697,61.6047,2711442
2014-07-01,61.8938,61.9842,61.3969,61.8757,2150029
2014-07-02,61.7673,62.1197,61.7131,61.8667,1194221
