date,open,high,low,close,volume
2014-01-02,43.5589,43.734,43.19,43.1992,1094704
2014-01-03,43.3468,43.6511,43.2454,43.4113,843485
2014-01-06,43.6326,43.8908,43.3007,43.3376,1131736
2014-01-07,43.6326,43.8724,43.356,43.6142,882578
2014-01-08,43.7525,44.1398,43.605,43.9092,1463707
2014-01-09,43.983,44.4348,43.983,44.2689,1095599
2014-01-10,44.1305,44.2873,43.9092,44.0752,1347889
2014-01-13,44.0752,44.1766,43.4574,43.5404,1006085
2014-01-14,43.6418,43.8263,43.356,43.5312,1053678
2014-01-15,43.6234,44.1213,43.6234,44.0107,1091017
2014-01-16,43.9646,44.0199,43.434,43.734,1259271
2014-01-17,46.0577,46.0577,43.7479,43.9369,2319026
2014-01-21,44.7576,45.6796,44.4717,45.652,2569834
2014-01-22,45.8087,46.0577,45.3108,46.03,1754097
2014-01-23,45.652,45.652,44.6331,44.9881,1665027
2014-01-24,44.5455,44.7483,43.5312,43.5496,1824137
2014-01-27,43.5496,43.8355,42.8396,42.9411,1511287
2014-01-28,43.0148,43.3468,42.7382,43.1347,1598499
2014-01-29,42.7013,43.3376,42.6921,42.8212,2106157
2014-01-30,43.2454,43.3652,42.8304,43.2454,922766
2014-01-31,42.5446,42.895,42.1665,42.2311,1284746
2014-02-03,42.185,42.2587,40.5344,40.5806,2385895
2014-02-04,40.8111,41.4473,40.599,41.3367,1485882
2014-02-05,41.2168,41.5026,40.9586,41.392,1255748
2014-02-06,41.3643,42.2772,41.143,42.2403,1442037
2014-02-07,42.3417,42.6091,41.7147,42.185,1675374
2014-02-10,42.1112,42.3694,41.8622,42.3048,666508
2014-02-11,42.1942,43.0056,42.0282,42.8489,1034116
2014-02-12,42.8673,43.3837,42.6368,42.8396,671981
2014-02-13,42.4155,43.0748,42.2864,43.0056,902603
2014-02-14,43.6695,44.1859,42.9687,43.9185,1953792
2014-02-18,43.9646,44.1859,43.734,44.0937,1502824
2014-02-19,43.8631,43.9646,42.9779,43.1347,1954819
2014-02-20,43.0978,43.3837,42.3804,43.0702,1608841
2014-02-21,43.1347,43.4482,42.8028,43.0978,1340767
2014-02-24,43.0517,44.1213,43.0517,43.8355,1461839
2014-02-25,43.8447,43.9553,43.3929,43.8263,1332909
2014-02-26,43.9277,44.3518,43.6972,44.3242,1388295
2014-02-27,44.1121,44.2043,43.817,44.0568,1059034
2014-02-28,44.066,44.7207,43.9738,44.4256,1239184
2014-03-03,43.9277,44.1305,43.6557,43.8355,1169377
2014-03-04,44.4164,44.9696,44.3057,44.8405,1523731
2014-03-05,44.7115,45.1356,44.6746,45.0342,955182
2014-03-06,45.1909,45.4399,45.0895,45.1356,1315423
2014-03-07,45.4491,45.9931,45.4491,45.6335,1692205
2014-03-10,45.0434,46.0208,45.0434,46.0116,1326033
2014-03-11,45.947,46.0116,45.2278,45.569,1582377
2014-03-12,45.3931,45.6431,45.0136,45.5968,983938
2014-03-13,45.7264,45.9485,45.245,45.3468,2112447
2014-03-14,45.1895,45.5227,44.847,44.9859,1374163
2014-03-17,45.2728,45.4764,44.9905,45.3468,1740862
2014-03-18,45.4487,45.893,45.3191,45.8467,1166645
2014-03-19,45.9763,47.0408,45.6986,46.726,3071328
2014-03-20,46.652,48.6282,46.5131,48.0867,4496522
2014-03-21,48.42,49.5215,48.0404,48.4755,3431887
2014-03-24,48.6976,49.1975,48.3181,48.4385,2184627
