date,open,high,low,close,volume
2014-01-02,23.8119,23.8579,23.5683,23.6511,19522498
2014-01-03,23.7338,23.7706,23.3752,23.4764,13371360
2014-01-06,23.504,23.7292,23.2925,23.4534,17988290
2014-01-07,23.6005,24.4555,23.4948,24.2854,37161950
2014-01-08,24.2211,24.5704,24.1429,24.2487,29731644
2014-01-09,24.3176,24.4417,24.0464,24.3084,20919264
2014-01-10,24.3728,24.6946,24.1717,24.6118,21307680
2014-01-13,24.598,24.6808,23.9039,23.9774,23042328
2014-01-14,24.1475,24.2923,23.8947,24.2762,17588898
2014-01-15,24.4785,25.1221,24.4417,24.8554,29161530
2014-01-16,24.8554,24.9612,24.4693,24.6118,20263280
2014-01-17,24.5107,24.667,24.4004,24.6118,24322542
2014-01-21,24.8463,24.9658,24.3889,24.5061,17160272
2014-01-22,24.4877,24.7221,24.3636,24.7037,16374760
2014-01-23,24.4693,24.6302,24.2855,24.4004,18490640
2014-01-24,24.2349,24.3084,23.9866,24.0878,28821938
2014-01-27,24.1383,24.7635,23.8349,24.1291,37947668
2014-01-28,24.8233,24.883,24.2762,24.5245,33004654
2014-01-29,24.4923,24.575,24.1383,24.3912,30431938
2014-01-30,24.5038,24.9842,24.3544,24.9106,28997696
2014-01-31,24.313,25.145,24.313,25.0301,32120304
2014-02-03,25.1634,25.2646,24.1475,24.2578,38308378
2014-02-04,24.3268,24.6394,23.9912,24.6026,28050224
2014-02-05,24.4095,24.6681,24.2854,24.5383,18229058
2014-02-06,24.7037,24.8922,24.5475,24.8371,15804886
2014-02-07,24.9979,25.2048,24.9106,25.1175,19547612
2014-02-10,25.1772,25.1772,24.9175,24.9842,13889172
2014-02-11,24.9658,25.3059,24.952,25.283,15871728
2014-02-12,25.3887,25.4117,25.2944,25.3933,16032852
2014-02-13,24.6026,24.9566,24.2578,24.3475,166551204
2014-02-14,24.3682,24.8738,24.3636,24.6854,71679996
2014-02-18,24.8049,24.8095,24.4509,24.6072,40541558
2014-02-19,24.4877,24.5337,23.5407,23.7062,80427040
2014-02-20,23.8028,23.9682,23.5959,23.7936,51477140
2014-02-21,23.9314,23.9314,23.4442,23.4672,48105416
2014-02-24,23.7731,23.8395,23.504,23.5131,32762746
2014-02-25,23.5637,23.6557,23.0718,23.3385,40888722
2014-02-26,23.4074,23.4088,23.0741,23.2971,30516474
2014-02-27,23.2833,23.6143,23.2143,23.481,35473120
2014-02-28,23.5821,23.9411,23.4994,23.7614,38390298
2014-03-03,23.481,23.5683,23.2649,23.4442,33500878
2014-03-04,23.6281,23.7154,23.5499,23.6097,25840062
2014-03-05,23.6143,24.0211,23.504,23.8533,33179708
2014-03-06,23.959,24.051,23.8257,23.9545,25728450
2014-03-07,24.051,24.074,23.6465,23.7338,25983422
2014-03-10,23.7522,23.8533,23.5867,23.6832,19885044
2014-03-11,23.7706,23.7936,23.4442,23.5453,23851502
2014-03-12,23.4442,23.5315,23.2649,23.435,22210908
2014-03-13,23.4948,23.5315,23.0627,23.196,30253550
2014-03-14,23.1316,23.3454,23.0672,23.2787,31715910
2014-03-17,23.435,23.4396,23.2649,23.3431,25711984
2014-03-18,23.3201,23.3201,22.9707,23.0856,32672432
2014-03-19,23.081,23.1178,22.7547,22.9293,42753868
2014-03-20,22.9845,23.4189,22.9385,23.2626,30960292
2014-03-21,23.3017,23.5867,22.9431,22.9845,47988580
2014-03-24,23.0994,23.2143,22.6765,23.1224,36853986
2014-03-25,23.1454,23.2098,22.7041,22.8328,36882004
2014-03-26,22.865,23.15,22.7868,22.8098,38862316
2014-03-27,22.7133,22.796,22.5225,22.5708,25188316
2014-03-28,22.7041,22.911,22.5294,22.7822,31930854
2014-03-31,23.0154,23.2694,22.9877,23.1078,34758188
2014-04-01,23.2463,23.2648,22.9185,23.057,27944634
2014-04-02,23.0986,23.5373,23.0986,23.5049,31878224
2014-04-03,23.4403,23.6943,23.4264,23.6065,28831592
2014-04-04,23.6342,23.8328,23.1678,23.1725,36551060
2014-04-07,23.1401,23.1863,22.4613,22.6645,43991260
2014-04-08,22.7153,22.7153,22.2904,22.5583,47083076
2014-04-09,22.526,23.0385,22.4752,22.9924,40873538
2014-04-10,22.9416,23.057,22.3459,22.3597,38223460
2014-04-11,22.2443,22.489,22.1219,22.1473,34034496
2014-04-14,22.2581,22.5537,22.2119,22.4705,32360078
2014-04-15,22.5121,22.6045,22.0457,22.3551,35995504
2014-04-16,22.5121,22.7291,22.3925,22.706,41936728
2014-04-17,22.6091,22.8584,22.5121,22.6737,30275600
2014-04-21,22.8076,23.0385,22.7753,23.0339,31715914
2014-04-22,23.3618,23.8374,23.3202,23.4726,73149622
2014-04-23,23.5373,23.7451,23.4311,23.6481,33428542
2014-04-24,23.7127,23.9806,23.6088,23.722,33769678
2014-04-25,23.6712,23.7358,23.4911,23.5373,32738598
2014-04-28,23.7959,23.9252,23.4449,23.8744,43184070
2014-04-29,24.0129,24.0129,23.6522,23.8051,34263824
2014-04-30,23.7959,24.006,23.6989,23.9021,30445574
2014-05-01,23.9298,24.0637,23.8836,24.0637,26996322
2014-05-02,24.2069,24.2069,23.8651,24.0268,26765460
2014-05-05,23.9344,24.2346,23.8882,24.2253,27093476
2014-05-06,24.0591,24.1653,23.8282,23.9252,32064590
2014-05-07,24.0268,24.1006,23.685,23.8928,28597576
2014-05-08,23.8513,23.9021,23.4495,23.5973,37924954
2014-05-09,23.5834,23.6088,23.1309,23.5511,30732926
2014-05-12,23.6019,23.6481,23.3052,23.3895,29710680
2014-05-13,23.4819,23.4911,23.1032,23.1401,50113180
2014-05-14,23.1678,23.2048,22.9416,23.0108,31636136
2014-05-15,22.9924,23.251,22.7014,23.2325,33025946
2014-05-16,23.1909,23.2325,23.0131,23.1771,25462782
2014-05-19,23.2002,23.5234,22.9877,23.5049,28003482
2014-05-20,23.4541,23.5234,23.2925,23.3895,24989942
2014-05-21,23.3664,23.7266,23.3318,23.7127,25162430
2014-05-22,23.6758,24.0083,23.6619,23.8744,22344854
2014-05-23,23.9529,24.0683,23.9113,23.9991,18252338
