date,open,high,low,close,volume
2014-01-02,37.5956,38.3072,37.0205,37.2057,4825062
2014-01-03,37.2057,37.5664,36.6794,36.9913,3461493
2014-01-06,37.1862,37.3909,36.8548,37.235,3309550
2014-01-07,37.4299,38.239,37.3812,37.888,4849880
2014-01-08,37.7516,38.3413,37.6102,37.7711,4965091
2014-01-09,37.9465,37.9953,35.9581,36.4942,7409056
2014-01-10,36.4844,36.8999,36.3187,36.5527,3466773
2014-01-13,36.6209,36.8256,35.461,35.5194,5793101
2014-01-14,35.6267,36.4454,35.6267,36.4162,6762486
2014-01-15,36.4454,36.8889,36.3187,36.6696,3908612
2014-01-16,36.9133,37.3032,36.3675,37.196,4536353
2014-01-17,37.313,37.4104,36.4844,36.5332,3797509
2014-01-21,36.9913,38.1415,36.8646,38.1025,6049246
2014-01-22,38.5899,39.5938,38.5704,38.9018,7168092
2014-01-23,39.048,39.4184,38.6776,38.8043,6241547
2014-01-24,38.5801,39.009,38.4436,38.5509,7016235
2014-01-27,38.5509,38.5704,37.5176,38.083,3973876
2014-01-28,38.5411,39.5938,38.5411,39.3697,6614000
2014-01-29,38.6382,39.9255,38.2871,39.4867,6470033
2014-01-30,39.5549,39.5842,38.687,38.7358,4543612
2014-01-31,38.3944,39.3794,38.2676,38.9893,4302961
2014-02-03,39.5452,39.7402,38.4334,38.4822,5629548
2014-02-04,39.1258,40.7447,39.1258,40.5789,8105549
2014-02-05,40.6958,40.7447,39.3306,39.4184,5773128
2014-02-06,39.5062,39.906,39.1746,39.2624,6878166
2014-02-07,39.3014,39.4867,37.8385,38.3457,8485598
2014-02-10,38.1604,38.2286,37.2437,37.7508,7631224
2014-02-11,37.858,38.4042,37.7849,38.2774,5497996
2014-02-12,38.4919,38.6382,37.6337,37.6533,4976395
2014-02-13,37.4094,38.1994,37.0974,37.8678,9861959
2014-02-14,37.9458,38.1116,37.1071,37.8971,6105962
2014-02-18,38.4627,38.96,38.3457,38.6772,5652768
2014-02-19,38.57,39.9645,38.57,39.0771,8361457
2014-02-20,39.1063,39.3209,37.5752,38.3067,12104708
2014-02-21,37.1949,38.3067,34.6983,35.1762,23871959
2014-02-24,35.1567,35.4298,34.5033,34.7666,14665703
