date,open,high,low,close,volume
2014-01-02,37.5806,37.7114,37.2316,37.5457,2169184
2014-01-03,37.4859,37.5914,37.2179,37.275,2342658
2014-01-06,37.5035,37.6353,37.1169,37.2575,2519168
2014-01-07,37.5211,37.7759,37.398,37.6705,2032903
2014-01-08,37.6441,37.6968,37.1696,37.4244,2115328
2014-01-09,37.3453,37.398,36.9104,37.3365,1955771
2014-01-10,37.5738,37.811,37.3365,37.6353,1546370
2014-01-13,37.442,37.7012,37.0466,37.1256,2073049
2014-01-14,37.2487,37.6353,37.1256,37.4596,1777360
2014-01-15,37.5914,37.5914,37.0378,37.1784,1558878
2014-01-16,37.1696,37.7935,37.0993,37.6529,1398681
2014-01-17,37.4947,37.5562,36.5677,36.7214,3204639
2014-01-21,37.0378,37.2311,36.6951,36.9938,2230711
2014-01-22,37.1959,37.4332,37.1081,37.1872,1060425
2014-01-23,36.8972,36.9938,36.5457,36.7829,1781435
2014-01-24,36.7302,37.688,36.6775,37.1608,3985234
2014-01-27,37.152,37.2399,36.7039,36.8445,1921814
2014-01-28,36.8884,37.152,36.6424,36.8796,1423911
2014-01-29,36.4666,36.4666,35.623,36.1151,2643454
2014-01-30,36.3348,36.4227,36.0316,36.1679,1223408
2014-01-31,35.7549,36.5721,35.7197,36.2118,1688493
2014-02-03,36.3612,36.3612,34.9552,35.0431,2059444
2014-02-04,35.2364,35.2672,34.841,35.1925,1329463
2014-02-05,34.8498,35.254,34.7971,35.0079,1478583
2014-02-06,35.1046,35.2188,34.8146,35.1661,1463435
2014-02-07,35.2452,35.579,35.0519,35.4297,1015875
2014-02-10,35.3594,35.7988,35.276,35.7197,1135242
2014-02-11,35.5879,35.957,35.5088,35.9394,1560202
2014-02-12,35.9394,36.2821,35.7549,35.9042,1666109
2014-02-13,35.6758,36.1722,35.6758,36.0009,2355817
2014-02-14,37.3453,38.4437,36.906,37.7935,5176987
2014-02-18,37.8286,38.101,37.442,38.0044,2728167
2014-02-19,37.978,38.3383,37.9253,38.268,2421052
2014-02-20,38.1889,38.4525,38.0922,38.391,1633096
2014-02-21,38.4525,38.7161,38.2855,38.6458,4120459
2014-02-24,38.7073,39.05,38.6898,38.8303,1559090
2014-02-25,38.927,39.05,38.4525,38.6107,2155793
2014-02-26,38.7073,38.7864,38.0044,38.0044,2601595
2014-02-27,37.978,38.2416,37.7583,37.8989,2566105
2014-02-28,37.9692,38.268,37.855,38.0571,1317469
2014-03-03,37.7232,38.0834,37.6529,37.811,1429327
2014-03-04,38.1537,38.6942,38.145,38.6546,2189379
2014-03-05,38.6282,38.7161,38.2592,38.4701,1156796
2014-03-06,38.5316,38.5665,38.2416,38.4174,1133313
2014-03-07,38.4525,38.681,38.2065,38.5843,1018841
2014-03-10,38.5579,38.6019,38.3734,38.5492,1183596
2014-03-11,38.5316,38.804,38.224,38.3295,1104102
2014-03-12,38.1362,38.8743,38.1274,38.8479,1019060
2014-03-13,38.9446,39.1906,38.4964,38.681,1324282
2014-03-14,38.4964,39.1028,38.4877,38.7073,1513942
2014-03-17,38.8216,38.8567,38.3822,38.5667,1045543
2014-03-18,38.6985,39.173,38.427,38.9885,1188971
2014-03-19,38.9534,39.0588,38.5492,38.6546,1268224
2014-03-20,38.637,39.2258,38.5843,39.2258,1730585
2014-03-21,39.4806,39.5333,39.05,39.1379,1892943
2014-03-24,39.1555,39.3136,38.6985,38.8831,1901246
2014-03-25,39.1818,39.2258,38.6898,38.9446,1244627
2014-03-26,39.0237,39.1028,38.6634,38.7073,650705
2014-03-27,38.7513,38.9622,38.6282,38.7952,614283
2014-03-28,38.9006,39.217,38.7864,39.1555,944521
2014-03-31,39.3839,39.5245,39.2521,39.4367,677961
2014-04-01,38.6019,39.4982,38.5579,39.1555,1063870
2014-04-02,39.1291,39.2609,38.9402,39.1643,962900
2014-04-03,39.3312,39.4718,38.8919,39.4279,1314675
2014-04-04,39.5004,39.5535,39.1642,39.2084,1044283
2014-04-07,39.1996,39.7836,39.1996,39.6508,1719511
2014-04-08,39.7039,39.9075,39.35,39.5358,1304518
2014-04-09,39.5978,39.8455,39.4916,39.7747,776221
2014-04-10,39.7924,40.2437,39.5093,39.5447,1091169
2014-04-11,39.3146,39.6774,38.9783,39.1642,976641
2014-04-14,39.527,39.6508,39.1996,39.465,793788
2014-04-15,39.5358,39.5358,38.9606,39.0845,1024233
2014-04-16,39.3588,39.5801,39.2084,39.5358,894593
2014-04-17,39.3942,39.4885,39.2527,39.4119,762192
2014-04-21,39.3677,39.5358,39.1819,39.3057,787916
2014-04-22,39.35,39.6508,39.173,39.5801,924391
2014-04-23,39.5624,39.9252,39.5624,39.757,813853
2014-04-24,39.7393,39.9694,39.6155,39.7039,714973
2014-04-25,39.6774,39.8013,39.3677,39.7659,563958
2014-04-28,39.8986,40.4915,39.8367,40.4207,1203794
2014-04-29,40.5003,40.7215,40.1552,40.1729,752207
2014-04-30,40.0933,40.2614,39.8278,40.2526,688364
2014-05-01,40.1641,40.226,39.7305,39.9959,624999
2014-05-02,39.9959,40.1242,39.7216,39.8101,472354
2014-05-05,39.7128,39.9959,39.6331,39.9871,531531
2014-05-06,39.9782,40.049,39.6508,39.7305,661549
2014-05-07,39.8455,40.1375,39.819,40.1021,1017070
2014-05-08,40.1464,40.3587,39.8455,40.0313,621974
2014-05-09,40.0136,40.2172,39.9252,40.1729,923527
2014-05-12,40.3233,40.4384,40.1375,40.2526,849233
2014-05-13,40.3322,40.5667,40.3003,40.3764,855070
2014-05-14,40.3941,40.5578,40.0667,40.0933,949181
2014-05-15,39.9605,40.2349,39.7836,39.8455,868400
2014-05-16,39.7836,40.0048,39.6597,39.9252,1319508
2014-05-19,39.1939,39.6472,39.1311,39.6247,2119726
2014-05-20,38.8633,39.173,38.6066,38.9695,2506975
2014-05-21,38.6686,39.2704,38.5271,39.2615,1519236
2014-05-22,39.2173,39.2261,38.9253,39.1553,630523
2014-05-23,39.235,39.288,38.8899,38.9872,827272
2014-05-27,39.0137,39.6243,38.9783,39.5535,1032117
2014-05-28,39.5358,39.7924,39.4296,39.4739,829792
2014-05-29,39.527,39.9517,39.3323,39.9428,1388642
2014-05-30,40.111,40.7525,39.9252,40.6153,2408365
2014-06-02,40.58,40.6242,40.1995,40.2349,906093
2014-06-03,40.341,40.341,40.0667,40.1729,1003677
2014-06-04,40.0756,40.518,39.9782,40.4561,965932
2014-06-05,40.5888,41.1197,40.4295,41.0312,2023797
2014-06-06,40.925,41.1374,40.8012,41.0312,884869
2014-06-09,40.925,40.9516,40.4207,40.58,1294294
2014-06-10,40.4826,40.6684,40.2481,40.3941,1293800
