date,open,high,low,close,volume
2014-01-02,19.0223,19.1252,18.7992,18.8764,44387713
2014-01-03,18.9536,18.9794,18.7305,18.8592,36330724
2014-01-06,18.8421,19.0737,18.8163,18.885,34160810
2014-01-07,19.0995,19.2282,19.0051,19.1424,37384888
2014-01-08,19.1252,19.1853,19.0051,19.1278,38363526
2014-01-09,19.1252,19.1424,18.8078,18.9536,31794896
2014-01-10,19.0737,19.1166,18.8678,19.0652,30321787
2014-01-13,19.211,19.58,18.9965,19.0394,59616556
2014-01-14,19.1595,19.3226,19.048,19.2282,44303004
2014-01-15,19.3054,19.7344,19.2368,19.5457,61803332
2014-01-16,19.6057,19.6572,19.4169,19.5457,38925362
2014-01-17,19.3741,19.5457,19.3741,19.5113,44371925
2014-01-21,19.6572,19.6915,19.4255,19.5886,33424737
2014-01-22,19.6572,19.6915,19.5457,19.5971,30711027
2014-01-23,19.4684,19.6057,19.2711,19.3569,37030454
2014-01-24,19.2196,19.3397,19.0223,19.048,41252882
2014-01-27,18.6748,18.9708,18.6705,18.8764,60539669
2014-01-28,18.7734,18.8764,18.619,18.6619,41440550
2014-01-29,18.5461,18.7348,18.5332,18.5761,35410890
2014-01-30,18.6791,18.8678,18.5589,18.8558,42920860
2014-01-31,18.5418,18.8678,18.5418,18.7992,43341195
2014-02-03,18.8163,18.8335,18.4088,18.4903,60696033
2014-02-04,18.516,18.722,18.3616,18.7048,46628558
2014-02-05,18.6104,18.9365,18.5117,18.8592,46307515
2014-02-06,18.9107,19.3741,18.8507,19.2968,49598524
2014-02-07,19.3226,19.4942,19.1338,19.4513,54150067
2014-02-10,19.4255,19.6272,19.3569,19.5886,45305882
2014-02-11,19.5457,19.6315,19.4513,19.4856,46197556
2014-02-12,19.3998,19.6658,19.3226,19.6057,70052969
2014-02-13,18.8678,19.1081,18.5975,19.1081,153766718
2014-02-14,19.0681,19.5371,19.048,19.3569,64580952
2014-02-18,19.2968,19.3397,19.1595,19.2282,31033686
2014-02-19,19.1595,19.3569,19.0652,19.1166,29339087
2014-02-20,19.0823,19.2196,19.0137,19.1338,26215321
2014-02-21,19.1913,19.2625,18.9879,18.9879,31485147
2014-02-24,19.0394,19.1681,18.8764,18.9794,41861632
2014-02-25,19.0051,19.0652,18.6705,18.7391,45400603
2014-02-26,18.7391,18.8936,18.4903,18.8163,43575225
2014-02-27,18.7734,18.9193,18.7563,18.8078,25804236
2014-02-28,18.8507,18.9708,18.619,18.7048,40870739
2014-03-03,18.5075,18.722,18.3959,18.5075,37291103
2014-03-04,18.6876,18.782,18.619,18.722,35709590
2014-03-05,18.7906,18.9193,18.7134,18.7649,28206193
2014-03-06,18.7734,18.8592,18.6619,18.722,23573297
2014-03-07,18.8078,18.8249,18.5847,18.6447,33180970
2014-03-10,18.5589,18.722,18.5332,18.6104,26164042
2014-03-11,18.7563,18.8163,18.516,18.5418,34645658
2014-03-12,18.4731,18.8078,18.4731,18.722,31855258
2014-03-13,18.782,18.8078,18.4474,18.4645,42144410
2014-03-14,18.4903,18.5761,18.2586,18.3186,38256705
2014-03-17,18.3187,18.5504,18.25,18.456,33221895
2014-03-18,18.3101,18.6276,18.2672,18.5589,45849610
2014-03-19,18.6104,18.7048,18.4946,18.5589,32674256
2014-03-20,18.5246,18.8764,18.5246,18.7305,34952767
2014-03-21,18.8249,18.9622,18.516,18.5675,97377342
2014-03-24,18.6018,18.6962,18.4174,18.5075,32782091
2014-03-25,18.6104,19.1853,18.5761,19.1681,53374279
2014-03-26,19.2539,19.4684,19.151,19.151,67102413
2014-03-27,18.9879,19.211,18.8249,18.8936,52152335
2014-03-28,18.9536,19.3397,18.9193,19.1595,49289378
