date,open,high,low,close,volume
2014-01-02,49.2769,49.5226,48.3823,48.5838,5559598
2014-01-03,48.5985,49.0753,48.2741,48.3282,3261370
2014-01-06,48.5002,48.7411,47.8072,48.107,4933810
2014-01-07,48.4462,48.9082,48.4462,48.7214,3064862
2014-01-08,48.7411,49.1343,48.4757,49.1294,5613542
2014-01-09,49.385,49.385,48.6772,48.923,3069366
2014-01-10,49.0458,49.5423,48.9623,49.385,2776386
2014-01-13,49.0557,49.6062,48.1512,48.2741,4476030
2014-01-14,48.5445,49.6701,48.4363,49.3162,3911288
2014-01-15,49.3162,49.7291,49.1638,49.6603,3721568
2014-01-16,49.4931,49.6898,49.1982,49.3014,3421626
2014-01-17,49.0901,49.385,48.7018,48.8296,3760416
2014-01-21,49.1147,49.9503,48.2201,48.6231,4941218
2014-01-22,48.6919,49.8766,48.3675,49.4194,4029976
2014-01-23,48.923,49.2916,48.3085,48.4413,3306108
2014-01-24,48.1218,48.166,47.5467,47.817,3855200
2014-01-27,47.7924,48.1365,47.0256,47.119,5917120
2014-01-28,47.3009,47.817,47.0993,47.5565,5636842
2014-01-29,47.3107,47.8219,46.9076,47.0993,3214796
2014-01-30,47.4336,48.5838,47.3353,48.4658,3539956
2014-01-31,47.5516,48.0529,47.2911,47.6351,7392236
2014-02-03,47.7482,48.3331,46.5341,46.7848,4659456
2014-02-04,46.8437,47.8121,46.5931,47.6843,4033490
2014-02-05,45.7132,46.4407,44.1944,45.6395,12964690
2014-02-06,45.6198,46.9716,45.6198,46.9371,6004894
2014-02-07,47.0404,47.8023,46.7012,47.6794,4172198
2014-02-10,47.5909,47.7924,46.9076,47.2124,3660508
2014-02-11,47.4434,48.2594,46.9961,48.0431,3343436
2014-02-12,48.2397,48.805,48.1365,48.3921,3423950
2014-02-13,48.1316,49.1343,48.0628,49.0409,2953296
2014-02-14,48.8738,49.385,48.5985,49.3211,2738536
2014-02-18,49.2375,49.5177,48.9377,49.1884,2652296
2014-02-19,49.2375,49.444,48.9731,49.1491,2464198
2014-02-20,49.0458,49.7242,48.633,49.4784,2855314
2014-02-21,49.9798,50.8056,49.6799,50.4959,4563848
2014-02-24,50.7466,51.7591,50.5844,51.2381,4089522
2014-02-25,51.0857,51.3708,50.3976,50.7613,4202008
2014-02-26,51.0169,51.4593,50.663,50.7761,4106976
2014-02-27,50.7908,50.9334,50.4222,50.7269,2457042
2014-02-28,51.0218,51.4102,50.7318,51.1496,2773798
2014-03-03,50.6286,50.8768,50.1174,50.5795,2391392
2014-03-04,50.9776,51.8378,50.9776,51.7641,2623312
2014-03-05,51.5625,51.941,51.3659,51.9263,3434240
2014-03-06,51.8378,53.0863,51.8378,52.639,5816124
2014-03-07,52.9044,52.9388,52.2949,52.7029,3919272
2014-03-10,52.5751,52.7029,51.8673,52.0049,1695445
2014-03-11,51.8181,52.0934,51.0612,51.4446,3082115
2014-03-12,51.0907,51.1496,49.6554,50.7171,4410803
2014-03-13,50.9629,51.0612,49.3801,49.7242,2627836
2014-03-14,49.5964,50.255,49.3309,49.3998,2881665
2014-03-17,49.5472,50.4517,49.5472,50.1862,2534389
2014-03-18,50.3533,50.5401,50.0486,50.2255,2412571
2014-03-19,50.4615,50.4615,48.3872,48.7706,4412516
2014-03-20,48.6624,48.9672,48.4068,48.7804,4011369
2014-03-21,49.8421,49.8421,47.8662,47.9301,6296309
2014-03-24,48.3085,48.6821,47.3451,48.2397,4366104
2014-03-25,48.456,48.5248,47.5319,47.7678,3647405
2014-03-26,48.1119,48.8787,47.6499,48.2692,5637347
2014-03-27,48.3085,48.3577,46.6176,46.7749,6517260
2014-03-28,48.2201,49.7733,47.8572,48.8492,7295306
2014-03-31,49.0164,49.8421,48.918,49.7438,3979565
2014-04-01,49.9208,50.8252,49.7143,50.7957,3376023
2014-04-02,52.3785,52.4965,50.9235,51.1791,3484989
2014-04-03,50.7859,51.7591,50.1764,50.4222,2353253
2014-04-04,50.7859,50.8744,49.2818,49.3408,4116742
2014-04-07,48.8886,49.1933,47.7285,47.8563,4664700
2014-04-08,47.7384,48.5445,47.4631,48.3282,4514555
2014-04-09,48.338,49.0164,47.7973,48.9475,3315756
2014-04-10,49.0065,49.1933,46.9076,47.06,3665105
2014-04-11,46.8732,47.6705,46.4702,46.5095,2770108
2014-04-14,47.0404,47.758,46.5292,47.6597,3363883
2014-04-15,47.7384,48.4019,46.8437,48.0628,3408891
2014-04-16,48.2397,48.9574,47.8367,48.9377,3635395
2014-04-17,49.557,49.557,48.338,48.7116,4424896
2014-04-21,48.7214,48.9377,47.9841,48.1512,2815190
2014-04-22,48.0628,48.7018,48.0333,48.2889,2109189
2014-04-23,48.1709,48.4658,47.9743,48.1218,1655666
2014-04-24,48.8197,48.9672,48.0529,48.4658,2277689
2014-04-25,48.6919,48.8984,47.8367,47.9055,2719426
2014-04-28,48.2692,48.4757,46.9126,47.6204,3281830
2014-04-29,47.7875,47.9841,46.7946,47.0404,4932004
2014-04-30,46.7848,47.3549,46.7061,47.0944,4966222
2014-05-01,47.1485,48.1316,46.8634,47.7777,4385717
2014-05-02,47.9251,48.8247,47.8072,48.574,3205086
2014-05-05,48.7608,48.8099,47.8563,48.4265,3335967
2014-05-06,48.2594,48.7018,47.9645,48.3675,4376821
2014-05-07,46.1458,46.6766,44.9562,46.2244,7730599
2014-05-08,46.3719,47.6204,46.1064,47.1878,6029998
2014-05-09,47.0502,47.3156,46.5292,46.9126,3491840
2014-05-12,47.4336,48.3184,47.2468,48.1906,2631378
2014-05-13,48.2692,48.4757,47.9448,48.1611,2819217
2014-05-14,48.1119,48.2004,47.5221,47.7678,3060431
2014-05-15,47.6794,47.9055,46.1261,46.3817,4892616
2014-05-16,46.5193,46.5537,45.6739,46.3817,4756825
2014-05-19,45.9786,46.8437,45.8508,46.7848,3325815
2014-05-20,46.6275,47.0305,46.2637,46.5095,3367004
2014-05-21,46.7946,47.178,46.48,46.6078,3295395
2014-05-22,46.6078,46.8929,46.421,46.8437,3283481
2014-05-23,46.7258,47.8416,46.7258,47.7973,3173921
2014-05-27,48.1218,48.1218,47.5909,48.0136,2700413
2014-05-28,47.9055,48.1807,47.817,48.0726,2804017
2014-05-29,47.994,48.1709,47.4336,48.1316,2838037
2014-05-30,48.2496,48.2594,47.4729,47.7875,3521831
2014-06-02,47.7875,47.9743,47.1387,47.5319,2698789
2014-06-03,47.9841,47.9841,46.9814,47.6794,2272493
2014-06-04,47.4238,47.8367,47.0993,47.7089,2262810
2014-06-05,47.6794,48.1807,47.3943,48.1709,3525880
2014-06-06,48.4167,49.154,48.2299,48.9869,3175294
2014-06-09,48.8984,49.4587,48.8296,48.977,2253375
2014-06-10,47.9743,47.9743,46.4407,46.6668,8749193
2014-06-11,46.598,46.7848,46.2932,46.4997,4398248
2014-06-12,46.3915,46.7651,45.9885,46.1851,3071208
2014-06-13,46.3522,46.6176,46.0081,46.6078,2758102
2014-06-16,46.018,47.0404,46.018,46.9617,4325305
2014-06-17,46.9814,48.0775,46.8634,47.6794,4852426
2014-06-18,47.9448,48.1906,47.1583,48.1709,4460994
2014-06-19,48.3872,48.4068,47.8465,48.1218,2491191
2014-06-20,48.2004,48.6526,47.8563,48.574,5519775
2014-06-23,48.633,48.7608,48.1906,48.5346,2096677
2014-06-24,48.3577,49.154,48.0923,48.2299,2673186
2014-06-25,48.0923,48.9672,47.935,48.8689,2486993
2014-06-26,49.0557,49.0557,47.7384,48.5543,2803491
2014-06-27,48.515,48.7214,48.1119,48.4658,2296365
2014-06-30,48.2692,48.4757,47.8858,48.0824,3199734
2014-07-01,48.4167,49.1786,48.1512,48.9574,3259156
2014-07-02,48.8689,49.2031,48.6526,49.0262,1894993
2014-07-03,49.1147,49.4784,48.9869,49.4489,1272442
2014-07-07,49.3113,50.1272,49.2818,49.616,3647439
2014-07-08,49.6455,49.6947,48.9279,49.557,3196563
2014-07-09,49.7045,49.9798,49.3604,49.5177,4327601
2014-07-10,48.9574,49.3998,48.7018,49.1638,3266165
2014-07-11,49.4391,49.6455,48.7608,48.8591,3536777
2014-07-14,49.2228,49.4096,48.9869,49.1048,2135630
2014-07-15,49.0065,49.2916,48.4263,48.6723,2735332
2014-07-16,48.918,49.2031,48.3774,48.574,4752139
2014-07-17,48.5936,48.8591,47.7875,47.817,3945183
2014-07-18,48.2496,48.8197,47.7187,48.6035,4501791
2014-07-21,48.515,48.7214,48.1611,48.515,3505060
2014-07-22,48.6821,49.7143,48.6723,49.616,3505876
2014-07-23,49.5374,50.0683,49.2277,49.7635,3217633
2014-07-24,49.9503,50.1862,49.7635,49.9404,2917521
2014-07-25,49.8618,50.3927,49.675,50.255,2239371
2014-07-28,50.3828,50.5106,49.8028,50.0781,2202098
2014-07-29,50.2354,50.3927,49.7635,49.7832,2635641
2014-07-30,50.0093,50.255,49.0655,49.1147,4725749
2014-07-31,48.918,49.272,48.2004,48.2201,4467418
2014-08-01,48.2889,48.7116,48.2201,48.456,4952067
2014-08-04,48.7018,49.2916,48.6035,49.1933,4653248
2014-08-05,48.9279,49.7635,48.7608,49.1343,5651087
2014-08-06,42.2626,43.5013,40.8076,42.9311,40718068
2014-08-07,43.3931,44.3172,43.2064,43.6291,11626589
2014-08-08,43.6389,43.865,42.9581,43.7176,6598973
2014-08-11,43.9928,44.0026,43.5406,43.7372,5398337
2014-08-12,43.5504,43.8847,43.4521,43.806,4361855
2014-08-13,43.8159,44.2877,43.806,44.1796,5838672
2014-08-14,44.3369,44.3369,43.9535,44.0616,5561710
2014-08-15,44.4352,44.4352,43.8355,44.0026,5761781
2014-08-18,44.2288,44.9071,44.0616,44.504,5661305
