date,open,high,low,close,volume
2014-01-02,55.7764,55.8087,54.8092,54.922,3374033
2014-01-03,54.9623,55.1316,54.5755,54.7447,2593136
2014-01-06,54.8092,54.972,54.5352,54.777,2470039
2014-01-07,54.8334,55.2364,54.8092,55.2042,2772248
2014-01-08,55.0752,55.1316,54.519,54.6883,3882058
2014-01-09,54.7205,54.8173,54.3659,54.7044,2379885
2014-01-10,54.9623,56.0182,54.922,55.2848,4036331
2014-01-13,54.8414,54.9704,54.4787,54.6238,3940070
2014-01-14,54.6641,54.8092,54.4304,54.4626,3291288
2014-01-15,54.374,54.5431,54.0435,54.108,3475081
2014-01-16,54.2047,54.4222,54.0435,54.2934,3000137
2014-01-17,54.3014,54.5674,54.1644,54.4626,3302878
2014-01-21,54.7125,55.2767,54.6238,55.2203,3029675
2014-01-22,55.2122,55.591,55.1639,55.3331,2314447
2014-01-23,55.0833,55.3976,54.785,55.2364,2873723
2014-01-24,54.9462,55.8812,54.8092,55.0188,4715306
2014-01-27,55.051,55.6072,55.0268,55.3976,3862114
2014-01-28,55.4137,55.5749,55.188,55.4701,2461014
2014-01-29,55.3654,55.8651,55.2445,55.6072,4437254
2014-01-30,55.7281,56.3568,55.7039,56.3326,3444402
2014-01-31,55.9135,56.9693,55.8973,56.921,4776260
2014-02-03,56.9693,57.8318,56.4938,56.792,5425820
2014-02-04,56.9774,56.9774,55.986,56.3729,3625579
2014-02-05,56.3245,56.3245,55.8409,56.115,2848832
2014-02-06,56.1794,56.5097,55.7603,56.4293,2774005
2014-02-07,56.1633,56.5099,55.8973,56.4132,3820083
2014-02-10,56.3165,57.0983,56.0344,57.0177,3071527
2014-02-11,56.9613,57.6141,56.8243,57.4691,2631866
2014-02-12,57.4039,57.7788,57.249,57.7543,2509699
2014-02-13,57.6565,58.3003,57.5587,58.2107,2270104
2014-02-14,58.0029,58.3492,57.7299,58.227,2940206
2014-02-18,58.4796,59.2212,58.0966,58.2677,4798336
2014-02-19,58.1862,59.0012,57.6321,58.447,3274558
2014-02-20,58.4796,58.773,58.2107,58.4633,3482346
2014-02-21,58.3574,58.8545,58.231,58.2596,2927812
2014-02-24,58.2677,58.7648,57.9336,57.9499,2522504
2014-02-25,57.9336,58.5203,57.8114,57.8847,2616123
2014-02-26,57.958,58.1293,57.6321,57.7625,3431265
2014-02-27,57.6647,57.9173,57.249,57.3957,2480878
2014-02-28,57.3713,57.9988,57.3305,57.7625,2931148
2014-03-03,57.5261,57.901,57.0453,57.0861,2508395
2014-03-04,57.4854,57.518,56.9475,57.1431,2626711
2014-03-05,57.1676,57.6239,57.0046,57.135,2192808
2014-03-06,57.249,57.2735,56.7356,57.0698,3589593
2014-03-07,56.9638,57.2002,56.5645,57.0942,3668793
2014-03-10,56.9475,57.1024,56.5509,56.7356,2542782
2014-03-11,56.8742,56.9231,56.2467,56.6134,2764685
2014-03-12,56.5808,57.3631,56.5645,57.3387,3203405
2014-03-13,57.3631,57.8521,57.2653,57.5098,3912497
2014-03-14,57.4446,57.9662,57.3224,57.6158,2939176
2014-03-17,57.8277,58.1536,57.4528,57.9417,3401187
2014-03-18,58.0151,58.0477,57.029,57.2409,4195651
2014-03-19,57.0453,57.1676,55.5784,55.9941,5175132
2014-03-20,55.9126,56.4423,55.4978,56.3689,4275432
2014-03-21,56.8334,57.0209,56.2467,56.2956,4560978
2014-03-24,55.9126,56.5849,55.9126,56.4912,3001518
2014-03-25,56.5645,57.1187,56.4178,56.9801,3099713
2014-03-26,57.0046,57.249,56.589,56.6379,3294165
2014-03-27,56.7601,57.4202,56.4341,57.3876,3033414
2014-03-28,57.3957,57.4528,56.9801,57.4039,3082994
2014-03-31,57.5913,58.0966,57.5018,58.0395,3099100
2014-04-01,58.1781,58.1781,57.4406,57.5913,2507224
2014-04-02,57.5913,57.5913,57.135,57.2572,1975951
2014-04-03,57.4446,57.6565,57.2083,57.412,1674935
2014-04-04,57.6076,58.2351,57.4283,57.4446,2831069
2014-04-07,57.5261,58.4063,57.4283,57.9743,4313750
2014-04-08,57.9091,59.1234,57.5017,59.0908,5126899
2014-04-09,59.0012,59.0826,57.9686,58.5285,4726031
2014-04-10,58.5774,59.0826,58.1944,58.3411,2984836
