date,open,high,low,close,volume
2014-01-02,27.4658,27.5414,27.2163,27.3751,2100032
2014-01-03,27.3373,27.5112,27.1786,27.3524,2014262
2014-01-06,27.3524,28.237,27.3373,27.8287,4266293
2014-01-07,27.8287,28.3352,27.6398,28.305,4243611
2014-01-08,28.3428,28.3806,27.9346,28.2445,3789490
2014-01-09,28.5394,28.5923,28.0706,28.2823,3674615
2014-01-10,28.5696,29.5222,28.5545,29.3861,4337936
2014-01-13,29.2954,29.4541,28.7397,28.8115,4069386
2014-01-14,28.9023,28.9476,28.6906,28.7208,3015640
2014-01-15,28.7284,29.0383,28.7208,28.7586,3399743
2014-01-16,28.7057,29.0327,28.7057,29.0308,2953341
2014-01-17,29.0761,29.1215,28.6452,28.7586,3957633
2014-01-21,28.9552,29.1517,28.7586,29.0232,3296700
2014-01-22,29.0988,29.25,28.9249,29.061,2083818
2014-01-23,28.993,29.1517,28.9174,29.1291,3409925
2014-01-24,29.1215,29.25,28.9272,29.182,3092710
2014-01-27,29.182,29.3785,29.0383,29.0383,2883534
2014-01-28,29.1366,29.5978,29.1366,29.5751,2670497
2014-01-29,29.3937,29.5751,29.2273,29.3559,2347499
2014-01-30,29.4919,29.6507,29.371,29.4012,2529814
2014-01-31,29.1291,29.7414,29.1064,29.5978,3152777
2014-02-03,29.6734,29.7187,29.3181,29.3559,4537929
2014-02-04,29.371,29.5222,29.1215,29.4995,3094428
2014-02-05,29.4239,29.5827,29.0157,29.182,2586891
2014-02-06,29.1705,29.5692,29.1475,29.2472,3197630
2014-02-07,29.3852,29.5155,29.1551,29.4619,2973142
2014-02-10,29.5002,29.8453,29.2778,29.7686,2519000
2014-02-11,29.1781,29.5232,28.5926,28.9864,5551254
2014-02-12,29.0094,29.1781,28.6644,28.8331,3565259
2014-02-13,28.7564,29.1321,28.7334,29.0478,2452511
2014-02-14,28.9864,29.1015,28.8177,28.9021,2417670
2014-02-18,28.9481,29.0478,28.5493,29.0401,2925666
2014-02-19,28.9864,29.7073,28.9558,29.2395,3688367
2014-02-20,29.2778,29.5539,28.8561,29.0171,2277779
2014-02-21,28.7334,28.7717,28.3806,28.4573,4455504
2014-02-24,28.5187,29.2011,28.4573,29.0018,2863721
2014-02-25,29.0248,29.0631,28.6413,28.7104,2900926
2014-02-26,28.8024,29.1628,28.6874,29.1475,2459808
2014-02-27,29.1705,29.4235,29.1551,29.4082,2309307
2014-02-28,29.3929,29.8683,29.3238,29.7303,4064861
2014-03-03,29.5922,29.7916,29.4082,29.6689,1976845
2014-03-04,29.945,30.2364,29.7993,30.2287,3180056
2014-03-05,30.1827,30.3591,29.899,30.0983,2099294
2014-03-06,30.0907,30.152,29.4925,29.5846,1909863
2014-03-07,29.5385,29.5692,28.7487,28.8944,3442676
2014-03-10,28.8637,28.9205,28.5033,28.5187,3007576
2014-03-11,28.6183,28.8714,28.5992,28.718,5159884
2014-03-12,28.7027,28.9941,28.695,28.8331,4215013
2014-03-13,28.9097,28.9097,28.4726,28.4803,3719965
2014-03-14,28.488,28.7374,28.4496,28.4957,3495472
2014-03-17,28.6413,28.7564,28.3806,28.419,2607137
2014-03-18,28.396,28.4918,28.3116,28.419,2670559
2014-03-19,28.4496,28.6107,27.7672,27.8438,4667954
2014-03-20,27.7902,28.0125,27.6081,27.7902,3925434
2014-03-21,27.8745,28.396,27.7518,28.2733,5864695
2014-03-24,28.396,28.396,28.1122,28.1429,3082488
2014-03-25,28.2733,28.5723,28.2043,28.5187,2019936
2014-03-26,28.9097,28.9097,28.4036,28.465,3015695
2014-03-27,28.4726,29.0094,28.3806,28.9634,2719007
2014-03-28,29.0094,29.3238,28.9634,29.2702,2263499
2014-03-31,29.3622,29.7686,29.0631,29.7456,3661285
2014-04-01,29.6996,29.7763,29.5155,29.7686,2740259
2014-04-02,29.7149,29.9296,29.5961,29.9143,2700795
2014-04-03,29.9756,29.9756,29.6766,29.9143,1798126
2014-04-04,30.0447,30.4242,29.876,30.267,2849213
2014-04-07,30.2977,30.9649,30.267,30.8345,3727973
2014-04-08,30.7578,31.2256,30.7271,31.2026,3114546
2014-04-09,31.2946,31.3023,30.823,30.9955,3776645
2014-04-10,31.0339,31.2793,30.6581,30.7041,3154819
2014-04-11,30.5891,31.1412,30.4281,30.8422,4062696
2014-04-14,31.0799,31.0876,30.7578,31.0799,2649814
2014-04-15,31.0492,31.6934,30.9879,31.6167,3333305
2014-04-16,31.7547,31.7854,31.3636,31.5017,2312430
2014-04-17,31.4556,31.4909,30.7271,31.0799,4893200
2014-04-21,31.3866,31.4326,31.0569,31.3023,2396422
2014-04-22,31.3023,31.3253,30.8115,31.1642,2462353
2014-04-23,31.1949,31.2869,30.9265,31.2869,2860162
2014-04-24,31.3176,31.6013,31.2409,31.3636,2361078
2014-04-25,31.402,31.6167,31.1872,31.2563,2206713
2014-04-28,31.4173,31.9081,31.402,31.9081,3187465
2014-04-29,32.0308,32.1305,31.7854,32.0614,4333503
2014-04-30,31.9694,32.1305,31.8237,32.0998,2203086
2014-05-01,32.0921,32.3605,31.8161,32.3452,2582856
2014-05-02,32.1841,32.3827,32.0384,32.2608,2574290
2014-05-05,32.1611,32.4832,32.1458,32.3605,2071634
2014-05-06,32.1151,32.5369,31.9848,32.1841,2251622
2014-05-07,32.3298,32.7363,32.3068,32.5599,2520855
2014-05-08,32.657,32.9211,32.5716,32.9211,3369152
2014-05-09,32.9211,33.2629,32.6337,32.7114,4638963
2014-05-12,32.7424,32.8201,32.4706,32.5638,2232342
2014-05-13,32.6182,32.8667,32.4084,32.4939,2266495
2014-05-14,32.5016,32.8939,32.3773,32.7813,2120011
2014-05-15,32.7114,32.8512,32.5327,32.8279,2239741
2014-05-16,32.7269,33.1464,32.5327,33.1464,2276452
2014-05-19,33.092,33.092,32.6803,32.859,1528401
2014-05-20,32.991,33.2008,32.7968,32.8667,1501864
2014-05-21,32.9444,32.9522,32.4473,32.5094,1293561
2014-05-22,32.5172,32.6182,32.3463,32.3773,1447843
2014-05-23,32.5482,32.7631,32.4317,32.7114,1210037
2014-05-27,32.8667,32.9522,32.5335,32.7114,1681866
2014-05-28,32.6881,32.6881,32.0503,32.1987,2345208
2014-05-29,32.2764,32.424,32.2298,32.323,1980178
2014-05-30,32.3463,32.6104,32.323,32.4317,3542521
2014-06-02,32.4084,32.7697,32.3307,32.657,2796857
2014-06-03,32.7036,32.8124,32.3618,32.758,3232401
2014-06-04,32.657,32.7036,32.3618,32.4939,2390900
2014-06-05,32.4861,33.1386,32.4861,33.1231,2545483
2014-06-06,33.2085,33.2241,32.8434,32.96,1702061
2014-06-09,32.9522,33.1153,32.2686,32.4084,2612405
2014-06-10,32.3074,32.4007,32.0356,32.1288,2145321
2014-06-11,32.0356,32.2375,31.8491,32.1987,2365175
2014-06-12,32.121,32.2298,31.8258,32.1909,1881607
2014-06-13,32.1521,32.2569,31.8569,32.2298,1440923
2014-06-16,32.1598,32.2764,31.8724,31.9346,1630719
2014-06-17,31.8491,31.8957,31.2044,31.4219,3331956
2014-06-18,31.4219,31.6471,31.0466,31.5772,3133572
2014-06-19,31.5695,31.8301,31.4996,31.585,5126948
2014-06-20,31.5306,32.0123,31.3597,31.9889,4416468
2014-06-23,31.8491,32.3386,31.8414,31.9967,2914579
2014-06-24,32.0278,32.156,31.9346,32.0278,1818685
2014-06-25,32.02,32.1598,31.7559,31.8569,2129569
2014-06-26,31.8103,32.1754,31.6705,32.1598,2483823
2014-06-27,32.0977,32.3307,31.9967,32.0899,2190496
2014-06-30,32.0977,32.1831,31.8219,32.1443,2397169
2014-07-01,32.2531,32.3152,31.9734,32.2065,1615223
2014-07-02,32.1443,32.2065,31.8258,32.0589,1434770
2014-07-03,32.0123,32.0123,31.4141,31.686,1754737
2014-07-07,31.6705,31.8802,31.6394,31.8103,2103110
2014-07-08,31.9035,32.2375,31.8491,31.9889,2314060
2014-07-09,32.0899,32.1443,31.7559,32.1055,1249772
2014-07-10,31.9423,32.5249,31.9423,32.2686,2083937
2014-07-11,32.2686,32.2686,31.9346,32.0045,1693817
2014-07-14,32.0123,32.1909,31.8491,32.1909,1478069
2014-07-15,32.1598,32.2919,32.0899,32.2764,1421618
2014-07-16,32.2764,32.5405,32.1987,32.5249,1663248
2014-07-17,32.4783,32.6026,32.4084,32.5094,1832769
2014-07-18,32.5949,32.7774,32.4706,32.7658,1963513
2014-07-21,32.6881,32.8124,32.5638,32.7502,1626721
2014-07-22,32.9211,32.991,32.6881,32.758,1941796
2014-07-23,32.89,32.9677,32.7658,32.8357,1918683
2014-07-24,32.9522,32.991,32.8124,32.9755,1724761
2014-07-25,32.9444,33.1075,32.8434,32.8745,1805309
2014-07-28,32.9133,33.193,32.8745,33.1153,1422052
2014-07-29,33.1075,33.1852,32.9367,33.0221,1668466
2014-07-30,32.9833,33.1697,32.455,32.5716,2596089
2014-07-31,32.4783,32.7424,32.2608,32.2608,2258291
2014-08-01,32.4706,32.5094,32.121,32.4162,1748480
2014-08-04,32.4706,32.5094,32.121,32.4162,1748480
2014-08-05,32.2919,32.5405,31.9035,31.9579,2002409
2014-08-06,31.919,32.1132,31.8103,31.9346,2042463
2014-08-07,32.1038,32.1904,31.9306,32.0487,1965699
2014-08-08,32.1196,32.3557,31.9228,32.1983,1517211
2014-08-11,32.1904,32.3636,32.1617,32.2455,1393189
2014-08-12,32.1432,32.3479,32.1039,32.2534,1394957
2014-08-13,32.3243,32.8438,32.3006,32.773,1949342
2014-08-14,32.9147,33.1509,32.8596,33.0643,1972768
2014-08-15,33.0328,33.2926,32.9619,32.9777,2002453
2014-08-18,33.08,33.3004,33.0564,33.2611,1688794
2014-08-19,33.3004,33.5917,33.2217,33.4343,1195698
2014-08-20,33.3319,33.5524,33.1587,33.4815,1248122
2014-08-21,33.5287,33.7885,33.4736,33.4972,1312950
2014-08-22,33.5051,33.5838,33.1272,33.2611,1296841
2014-08-25,33.4028,33.4185,33.2138,33.3083,1847365
2014-08-26,33.4421,33.4815,33.2611,33.4736,2142249
2014-08-27,33.4658,33.7177,33.4579,33.7098,1604378
2014-08-28,33.6075,33.9617,33.6075,33.9302,2365699
2014-08-29,33.9932,34.1507,33.9066,34.1113,2146241
2014-09-02,34.2136,34.2136,33.8594,33.9224,1653492
2014-09-03,34.0719,34.127,33.883,34.0956,1694391
2014-09-04,34.009,34.316,33.8909,34.19,2167628
2014-09-05,34.1507,34.5285,34.0562,34.4262,2292927
2014-09-08,34.4262,34.4419,34.1507,34.1664,1776682
2014-09-09,34.1664,34.1664,33.8987,33.9853,1496416
2014-09-10,33.9145,33.9145,33.3162,33.3792,2378000
2014-09-11,33.3241,33.6271,33.1981,33.4185,2336071
2014-09-12,33.143,33.2532,31.8125,31.9228,4937787
2014-09-15,32.0094,32.1983,31.6079,31.8834,4038522
2014-09-16,31.8677,32.2613,31.8677,32.0802,2930261
2014-09-17,32.2377,32.3951,31.8204,31.8677,2877881
2014-09-18,31.9621,31.9779,31.3323,31.3559,2891466
2014-09-19,31.5449,31.5764,31.2379,31.4819,3913622
2014-09-22,31.4898,31.6,31.2615,31.2693,2463506
2014-09-23,31.3166,31.3756,31.0883,31.1119,2528307
2014-09-24,31.0962,31.3166,30.9781,31.0725,3201290
2014-09-25,30.9938,31.3638,30.9702,31.2693,3223751
2014-09-26,31.2615,31.6472,31.1119,31.5055,2378196
2014-09-29,31.4268,31.5291,31.1749,31.4898,2432415
2014-09-30,31.4347,31.6157,31.2457,31.2615,2922257
2014-10-01,31.3087,31.6393,31.2615,31.4898,3111661
2014-10-02,31.4898,31.5606,31.2221,31.411,2078217
2014-10-03,31.474,31.6315,31.2221,31.5685,1598886
2014-10-06,31.6315,31.7654,31.5173,31.6472,1973641
2014-10-07,31.5449,31.9385,31.5055,31.6236,2186333
2014-10-08,31.5921,32.2298,31.5921,32.2298,2599424
2014-10-09,32.2613,32.7415,32.2298,32.3872,2545077
2014-10-10,32.5683,33.2926,32.4896,32.9934,3208913
2014-10-13,32.9934,33.6075,32.9147,33.2532,3210659
2014-10-14,33.4343,33.946,33.3555,33.7807,3318238
2014-10-15,33.6311,34.0326,33.3059,33.6389,3706476
2014-10-16,33.3925,33.7152,33.1879,33.5342,3147846
2014-10-17,33.8358,33.8515,32.9934,33.4579,3364545
2014-10-20,33.4815,33.82,33.3555,33.7807,1732563
2014-10-21,33.5366,33.5838,33.2375,33.5209,3149258
2014-10-22,33.4028,33.82,33.3477,33.5287,2564229
2014-10-23,33.6704,33.7492,33.2847,33.7019,2915684
2014-10-24,33.6232,33.7964,33.5051,33.7492,1580815
2014-10-27,33.7649,34.127,33.7098,34.1113,2094443
2014-10-28,34.0483,34.1428,33.8121,34.1428,1711186
2014-10-29,34.0483,34.1349,33.6783,33.9696,1943272
2014-10-30,34.513,34.6565,34.2022,34.5051,1839737
2014-10-31,34.6545,34.6545,34.316,34.6151,2780589
2014-11-03,34.6388,34.7175,34.316,34.5994,3085002
2014-11-04,34.7175,35.1032,34.56,34.9379,2866976
2014-11-05,35.0717,35.0717,34.6388,35.0245,2361583
2014-11-06,34.9698,35.0574,34.2925,34.3563,2424420
2014-11-07,34.4439,34.5714,34.185,34.412,2002269
2014-11-10,34.3244,34.6829,34.3085,34.6351,2006574
2014-11-11,34.675,34.675,34.2208,34.5554,1261079
