date,open,high,low,close,volume
2014-01-02,75.7992,75.9166,74.9868,75.0951,1390787
2014-01-03,75.1132,75.9346,75.059,75.5916,1393270
2014-01-06,75.727,75.8534,74.5038,74.6618,2225669
2014-01-07,74.725,74.9687,74.4452,74.5625,2856533
2014-01-08,74.6618,74.716,73.9758,74.0751,2308518
2014-01-09,74.3278,74.8062,73.9577,74.0931,1783314
2014-01-10,74.3278,74.5083,73.9216,74.4452,1795740
2014-01-13,74.0119,74.4632,73.0911,73.2175,2199812
2014-01-14,73.4793,74.2285,73.2265,74.2285,1761903
2014-01-15,74.3278,74.716,74.2827,74.4813,2223333
2014-01-16,74.4542,74.9958,74.3278,74.7792,1154805
2014-01-17,74.6979,74.9507,74.5445,74.6167,1931584
2014-01-21,74.9958,75.2215,74.5029,74.9507,1499686
2014-01-22,74.9597,74.9958,74.6257,74.8062,1173864
2014-01-23,74.2375,74.2375,73.2356,73.6057,1448323
2014-01-24,72.8113,73.1453,71.5024,71.5024,2117435
2014-01-27,71.6829,72.062,70.5094,70.6719,3004348
2014-01-28,71.9266,72.378,70.4282,71.3218,5558621
2014-01-29,72.1072,72.3419,70.4011,70.699,3482286
2014-01-30,71.3309,71.6937,71.0962,71.5746,2143343
2014-01-31,70.69,71.8725,70.365,71.1955,2660048
2014-02-03,71.2135,71.6288,69.2818,69.3088,2426545
2014-02-04,69.4533,70.0581,68.8304,69.8956,2112542
2014-02-05,69.5977,70.9608,69.363,70.04,3507518
2014-02-06,70.2567,70.9698,70.2296,70.5184,2702687
2014-02-07,71.0962,72.0259,70.8434,71.9266,2453591
2014-02-10,71.701,71.8635,70.9608,71.1323,2484969
2014-02-11,71.1503,71.4572,71.0082,71.1052,4729576
2014-02-12,71.0962,71.4572,70.9608,71.1232,4856032
2014-02-13,70.699,70.8344,70.365,70.5726,6027048
2014-02-14,70.4282,71.1232,70.4282,70.9427,6468241
2014-02-18,71.0601,72.2065,70.9382,72.1433,2575521
2014-02-19,71.8815,72.5224,71.6649,71.6829,2139603
2014-02-20,71.8093,73.046,71.728,72.9016,1919480
