date,open,high,low,close,volume
2014-01-02,26.4991,26.7607,26.3777,26.6206,1237210
2014-01-03,26.5925,26.7513,26.3964,26.4991,870233
2014-01-06,26.5458,26.6019,26.0788,26.1442,901016
2014-01-07,26.2376,26.3777,26.0041,26.0788,804465
2014-01-08,26.0415,26.331,25.8546,25.9667,1490183
2014-01-09,26.1162,26.2189,25.7612,26.0695,853049
2014-01-10,26.1068,26.4338,26.0975,26.3217,952271
2014-01-13,26.2376,26.331,25.5184,25.5651,1512836
2014-01-14,25.6118,25.8733,25.5931,25.7893,1063723
2014-01-15,25.7893,26.0601,25.5277,26.0321,1637928
2014-01-16,25.9948,26.5225,25.8827,26.0134,1637680
2014-01-17,26.0601,26.5085,25.7145,26.0975,2325394
2014-01-21,26.2469,26.6952,26.0228,26.5832,7195110
2014-01-22,26.6673,26.8261,26.6299,26.7607,1895699
2014-01-23,26.6019,26.686,26.0975,26.2563,2036500
2014-01-24,26.0975,26.0975,25.5978,25.6025,2392875
2014-01-27,25.5838,25.6959,25.0514,25.2475,2143185
2014-01-28,25.3316,25.7986,25.2942,25.7426,1548607
2014-01-29,25.7332,25.8406,25.4623,25.5371,1360390
2014-01-30,25.6865,25.7426,25.5464,25.7052,1071634
2014-01-31,25.2195,25.6314,25.1634,25.5277,1757832
2014-02-03,25.2382,25.2942,24.3228,24.5937,3791911
2014-02-04,24.6871,24.958,24.4909,24.9112,1725997
2014-02-05,24.8365,25.2195,24.7525,24.8645,1331395
2014-02-06,24.9019,25.2475,24.8645,25.2195,1834403
2014-02-07,25.3409,25.9107,25.3408,25.8827,1418591
2014-02-10,25.892,26.2936,25.6959,26.2843,1479208
2014-02-11,26.2189,26.5225,26.2096,26.4057,1912342
2014-02-12,26.359,26.4431,26.1909,26.3217,1396976
2014-02-13,26.0788,26.5365,25.948,26.4244,961168
2014-02-14,26.359,26.4711,26.1442,26.275,1181198
2014-02-18,26.3404,26.5085,26.1442,26.3497,1307781
2014-02-19,26.3404,26.4243,25.7706,25.7986,2339807
2014-02-20,25.864,26.0228,25.6865,25.9667,1221696
2014-02-21,25.9667,26.3077,25.9667,26.1068,1262389
2014-02-24,26.1162,26.4151,26.0882,26.1255,1408005
2014-02-25,26.1162,26.1769,25.892,26.1442,2423496
2014-02-26,26.1535,26.2002,26.0041,26.1442,1567407
2014-02-27,26.0321,26.303,25.9667,26.2936,1538936
2014-02-28,26.2936,26.3497,25.9667,26.0975,2085343
2014-03-03,25.836,25.9387,25.4623,25.7426,2642606
2014-03-04,26.1255,26.4197,26.0134,26.359,2353508
2014-03-05,26.3497,26.3777,26.0041,26.1535,1086716
2014-03-06,26.1816,26.5178,26.1255,26.1816,1713825
2014-03-07,26.303,26.303,25.9013,26.0134,1214163
2014-03-10,25.9948,26.0041,25.6818,25.7612,1262519
2014-03-11,25.7799,25.7846,25.056,25.1541,2448519
2014-03-12,24.986,25.0981,24.8832,24.9486,1224107
2014-03-13,24.9697,25.0071,24.4547,24.5484,1695703
