date,open,high,low,close,volume
2018-10-31,161.74,165.6,161.31,165.47,18032219
2018-11-01,164.66,165.48,161.94,162.0,11423528
2018-11-02,160.66,161.81,155.44,159.84,6835139
2018-11-05,157.65,162.19,157.45,161.99,4477443
2018-11-06,161.83,166.35,161.67,165.53,2510572
2018-11-07,164.54,166.85,164.23,166.85,7626295
2018-11-08,164.5,166.15,162.93,165.3,4010008
2018-11-09,162.99,163.94,160.55,161.52,3249146
2018-11-12,160.06,162.3,158.91,159.22,1990839
2018-11-13,160.22,160.33,156.53,156.93,2507084
2018-11-14,158.19,158.24,153.0,153.36,2338763
2018-11-15,156.09,156.3,152.56,155.18,2759391
2018-11-16,153.74,158.4575,153.4,158.08,2726823
2018-11-19,158.61,161.45,158.44,159.5,2464717
2018-11-20,157.49,160.19,157.24,157.87,2151626
2018-11-21,159.24,161.24,158.5518,159.06,2070941
2018-11-23,156.86,158.01,156.02,156.19,963558
