date,open,high,low,close,volume
2014-01-02,11.1733,11.1972,10.925,10.9862,2244773
2014-01-03,11.0066,11.0815,10.9437,11.0441,1745586
2014-01-06,11.0543,11.3316,11.0202,11.2108,3988241
2014-01-07,11.2278,11.3299,11.204,11.2482,4301839
2014-01-08,11.2176,11.2652,11.1427,11.1938,2622472
2014-01-09,11.2108,11.2856,11.1631,11.2584,1874354
2014-01-10,11.3196,11.568,11.3196,11.4557,3042692
2014-01-13,11.4047,11.4489,11.2822,11.3094,2525395
2014-01-14,11.323,11.3775,11.2599,11.3367,1329885
2014-01-15,11.3775,11.4183,11.2584,11.3469,1908806
2014-01-16,11.3469,11.5034,11.3299,11.5034,1911172
2014-01-17,11.5102,11.6054,11.4557,11.5306,2172704
2014-01-21,11.6293,11.7007,11.5901,11.6769,1490462
2014-01-22,11.6871,11.7994,11.6667,11.6769,2064684
2014-01-23,11.6225,11.6905,11.5578,11.6463,1703726
2014-01-24,11.5884,11.6037,11.4251,11.4285,2728959
2014-01-27,11.4285,11.4932,11.3809,11.4557,1812392
2014-01-28,11.4659,11.6327,11.4387,11.6293,1333009
2014-01-29,11.5884,11.6361,11.4796,11.5306,1868691
2014-01-30,11.5748,11.7177,11.5748,11.6565,1921666
2014-01-31,11.5306,11.7722,11.5136,11.6939,2814722
2014-02-03,11.6871,11.8198,11.4898,11.551,2740966
2014-02-04,11.5918,11.6259,11.4217,11.4796,2241594
2014-02-05,11.4353,11.5102,11.3128,11.483,1927829
2014-02-06,11.4795,11.5995,11.4487,11.5721,1657329
2014-02-07,11.5995,11.7058,11.5961,11.6578,1676360
2014-02-10,11.6372,11.8463,11.5481,11.836,1864154
2014-02-11,11.8223,11.932,11.7743,11.884,1524177
2014-02-12,11.8394,11.9251,11.8154,11.8771,1682568
2014-02-13,11.8154,11.9731,11.7915,11.9183,2397339
2014-02-14,11.908,12.0554,11.8189,12.0554,2812396
2014-02-18,12.3262,12.621,12.0965,12.0999,3321748
2014-02-19,12.1102,12.2988,12.0862,12.1342,2258922
2014-02-20,12.1342,12.2062,12.076,12.1034,2614119
2014-02-21,12.1308,12.1771,12.0811,12.1342,2377846
2014-02-24,12.1616,12.2268,12.1205,12.1479,1918352
2014-02-25,12.1651,12.2405,12.1034,12.1308,1320934
2014-02-26,12.1582,12.1925,11.956,11.9731,1752901
2014-02-27,11.9286,12.0897,11.9148,11.9286,2951222
2014-02-28,11.9594,12.0485,11.9011,11.9354,2161327
2014-03-03,11.8669,11.9011,11.8069,11.8429,1597906
2014-03-04,11.9457,12.0348,11.9388,12.0074,2275586
2014-03-05,12.0108,12.0108,11.8703,11.8874,1706166
2014-03-06,11.9114,11.9457,11.7966,11.8086,2321340
2014-03-07,11.7949,11.9148,11.7023,11.9011,1870666
2014-03-10,11.8703,11.9251,11.7846,11.8154,1390442
2014-03-11,11.8223,11.8292,11.6372,11.7195,2149848
2014-03-12,11.7332,11.9046,11.7195,11.8943,1367165
2014-03-13,11.908,12.0417,11.8771,12.0383,2382455
2014-03-14,12.0348,12.1445,11.9903,12.1034,2356835
2014-03-17,12.1205,12.1959,12.0657,12.1651,1344712
2014-03-18,12.1411,12.2816,12.1205,12.2199,1610104
2014-03-19,12.2371,12.2713,11.9697,12.0348,1905266
2014-03-20,11.9594,11.9868,11.86,11.9628,2089926
2014-03-21,12.0862,12.1771,12.0074,12.0211,3209786
2014-03-24,12.0451,12.1205,11.9457,12.0143,1137074
2014-03-25,12.0348,12.0691,11.956,11.9937,1122365
2014-03-26,12.0074,12.1102,11.9937,11.9971,1669268
2014-03-27,11.9971,12.1359,11.9663,12.1205,1307468
2014-03-28,12.1171,12.1548,12.0537,12.1171,1784807
2014-03-31,12.1411,12.2233,12.0982,12.1788,1888467
2014-04-01,12.1788,12.2566,12.0485,12.2439,1846916
2014-04-02,12.2268,12.3022,12.1171,12.1411,1618644
2014-04-03,12.1685,12.2371,12.1342,12.1445,1630933
2014-04-04,12.1856,12.381,12.0811,12.0965,2490880
2014-04-07,12.0965,12.2114,11.908,11.9217,2735404
2014-04-08,11.8977,12.0657,11.7777,12.0417,2465171
2014-04-09,12.0725,12.1034,11.9183,12.0554,2601513
2014-04-10,12.0657,12.1685,11.9046,11.956,1757512
2014-04-11,11.8703,12.0074,11.8703,11.908,2626839
2014-04-14,11.9491,12.0554,11.9011,11.9663,1589872
2014-04-15,11.98,12.2028,11.9594,12.1994,2598944
2014-04-16,12.2302,12.4427,12.1959,12.4427,2347376
2014-04-17,12.3433,12.5216,11.9851,12.3125,1598638
2014-04-21,12.2919,12.3639,12.1856,12.2405,1059954
2014-04-22,12.2508,12.3262,12.1994,12.2816,1648465
2014-04-23,12.2816,12.4153,12.2816,12.3159,1448116
2014-04-24,12.3399,12.3673,12.2405,12.2953,2210667
2014-04-25,12.3193,12.3947,12.2782,12.3639,1800854
2014-04-28,12.3777,12.5192,12.3018,12.464,2645900
2014-04-29,12.464,12.5572,12.4329,12.5261,2466031
2014-04-30,12.4674,12.5882,12.3087,12.5365,2632891
2014-05-01,12.571,12.8281,12.5468,12.7781,2437167
2014-05-02,12.7091,12.7298,12.4329,12.5089,1977242
2014-05-05,12.495,12.7298,12.495,12.6883,1899999
2014-05-06,12.6573,12.7065,12.5986,12.6228,1624673
2014-05-07,12.6228,12.8126,12.6124,12.7953,1734910
2014-05-08,12.785,12.8333,12.6124,12.6124,1372337
2014-05-09,12.5951,12.6262,12.3811,12.4053,1785523
2014-05-12,12.4364,12.4604,12.3432,12.4226,1720592
2014-05-13,12.4709,12.4916,12.3501,12.3777,1960866
2014-05-14,12.3846,12.6435,12.3846,12.5089,2101846
2014-05-15,12.5227,12.5951,12.4571,12.4916,1421700
2014-05-16,12.5123,12.5986,12.464,12.5917,1942874
2014-05-19,12.5951,12.8834,12.5779,12.716,4392209
2014-05-20,12.7091,12.8436,12.5624,12.6642,2602979
2014-05-21,12.6849,12.7263,12.5969,12.6987,2442819
2014-05-22,12.6883,12.8885,12.6883,12.8368,1415186
2014-05-23,12.8195,12.9196,12.7677,12.9092,1686092
2014-05-27,12.9886,13.0024,12.8126,12.823,1810572
2014-05-28,12.8368,12.9403,12.7988,12.854,1959452
2014-05-29,12.8471,12.8816,12.7608,12.823,1490203
2014-05-30,12.823,12.9127,12.7677,12.8989,2002708
2014-06-02,12.9023,13.0232,12.8609,13.0059,1620179
2014-06-03,12.9541,13.0266,12.9127,12.9714,1222843
2014-06-04,12.9334,13.0663,12.9006,13.0611,1489784
2014-06-05,13.0646,13.1716,13.0301,13.0818,1654309
2014-06-06,13.1302,13.1336,13.0145,13.0301,1097563
2014-06-09,13.0059,13.0811,12.9196,12.9369,869287
2014-06-10,12.8989,12.9369,12.7919,12.7988,1520791
2014-06-11,12.7884,12.8022,12.64,12.6607,1771319
2014-06-12,12.6711,12.7815,12.4885,12.7677,1997896
2014-06-13,12.7574,12.8437,12.6849,12.8368,1442435
2014-06-16,12.8333,13.0818,12.8057,12.961,1701323
2014-06-17,12.9231,13.0128,12.854,12.9817,2181271
2014-06-18,12.9817,13.2234,12.9679,13.2164,1661085
2014-06-19,13.2199,13.4201,13.1957,13.3959,2551047
2014-06-20,13.389,13.4546,13.2855,13.2958,2548897
2014-06-23,13.3407,13.3959,13.2216,13.3096,1073724
2014-06-24,13.2786,13.4166,13.2682,13.3131,1420930
2014-06-25,13.2751,13.6997,13.2682,13.6168,4257888
2014-06-26,13.5858,13.6479,13.4822,13.5961,3287477
2014-06-27,13.5616,13.6755,13.5167,13.5409,2448107
2014-06-30,13.5098,13.6272,13.4512,13.5789,2513349
2014-07-01,13.6099,13.6445,13.4719,13.5167,2026586
2014-07-02,13.496,13.5202,13.2855,13.3234,2062413
2014-07-03,13.2786,13.3304,13.1681,13.1785,1232797
2014-07-07,13.2095,13.3338,13.1336,13.2026,1745989
2014-07-08,13.1957,13.2751,13.1612,13.2095,1892997
2014-07-09,13.2579,13.3234,13.1371,13.2924,2074289
2014-07-10,13.2441,13.4684,13.1992,13.4374,1699305
2014-07-11,13.3925,13.5288,13.3925,13.4926,1981792
2014-07-14,13.5306,13.5444,13.3718,13.3821,1531308
2014-07-15,13.3476,13.4822,13.3407,13.3718,1202692
2014-07-16,13.3925,13.3959,13.2717,13.3614,1182758
2014-07-17,13.3096,13.3994,13.2579,13.2682,908751
2014-07-18,13.2475,13.5616,13.2095,13.5375,2576082
2014-07-21,13.5306,13.5754,13.3994,13.5375,979111
2014-07-22,13.5616,13.6542,13.5478,13.6168,1236269
2014-07-23,13.6134,13.6548,13.5444,13.6099,1051837
2014-07-24,13.6134,13.7031,13.5582,13.6617,1047867
2014-07-25,13.6237,13.6755,13.5582,13.5685,1156201
2014-07-28,13.5444,13.6272,13.4995,13.5961,2028641
2014-07-29,13.6031,13.6726,13.4919,13.4988,2072354
2014-07-30,13.4988,13.5753,13.273,13.3807,2290137
2014-07-31,13.1271,13.3581,12.9638,13.0923,3076000
2014-08-01,12.9394,12.9985,12.6198,12.9881,3530923
2014-08-04,12.9394,12.9985,12.6198,12.9881,3530923
2014-08-05,12.9533,12.9707,12.6823,12.7483,3145419
2014-08-06,12.6163,12.7483,12.5086,12.6927,4185316
2014-08-07,12.7379,12.8039,12.6476,12.7136,1586761
2014-08-08,12.7171,12.9672,12.7171,12.9672,2223269
2014-08-11,12.9846,13.0992,12.9672,13.0089,1480884
2014-08-12,13.0194,13.1132,12.9568,13.068,1488571
2014-08-13,13.0958,13.24,13.0819,13.1896,1254233
2014-08-14,13.2244,13.3738,13.1792,13.3564,1078720
2014-08-15,13.3981,13.5301,13.339,13.4398,1814724
2014-08-18,13.4537,13.4641,13.346,13.3807,1367676
2014-08-19,13.405,13.5405,13.3946,13.5371,1268740
2014-08-20,13.5475,13.5683,13.4745,13.5232,1374316
2014-08-21,13.5371,13.5649,13.4467,13.478,1358514
2014-08-22,13.4745,13.5204,13.3564,13.4294,1353613
2014-08-25,13.4954,13.5232,13.438,13.478,1839410
2014-08-26,13.4745,13.544,13.3807,13.3946,1348861
2014-08-27,13.4433,13.683,13.4085,13.5788,1453493
2014-08-28,13.5614,13.7455,13.5266,13.7282,1302570
2014-08-29,13.7177,13.8324,13.7038,13.7838,1248936
2014-09-02,13.7664,13.9089,13.6934,13.7872,1896115
2014-09-03,13.8185,13.9089,13.7768,13.8289,1358178
2014-09-04,13.7768,13.9123,13.7733,13.8428,1844806
2014-09-05,13.8811,14.1278,13.8811,14.0374,2547844
2014-09-08,14.0166,14.1173,13.9443,14.0339,1519096
2014-09-09,13.9888,14.0861,13.895,13.9575,2184261
2014-09-10,13.9297,13.9679,13.8394,13.8845,1232072
2014-09-11,13.8811,13.9401,13.8046,13.9019,1141680
2014-09-12,13.8394,13.8498,13.4988,13.5614,2249947
2014-09-15,13.5718,13.6344,13.4884,13.5266,1498478
2014-09-16,13.4988,13.7768,13.4988,13.7143,1373073
2014-09-17,13.7664,13.7977,13.5927,13.6795,1114236
2014-09-18,13.683,13.7699,13.5232,13.6309,1573468
2014-09-19,13.7316,14.0096,13.6344,13.815,4238552
2014-09-22,13.7699,13.7733,13.6326,13.6413,1850787
2014-09-23,13.6239,13.7868,13.5718,13.6656,3343995
2014-09-24,13.6865,13.6865,13.5614,13.5857,1155435
2014-09-25,13.5683,13.6344,13.4016,13.4294,1994488
2014-09-26,13.4224,13.4745,13.346,13.405,2680980
2014-09-29,13.9888,14.4057,13.7629,14.1903,8635719
2014-09-30,14.3328,14.4891,14.2077,14.2389,3858349
2014-10-01,14.225,14.397,14.1684,14.1972,2551961
2014-10-02,14.2042,14.3015,14.0444,14.1694,2525284
2014-10-03,14.1729,14.3536,14.0756,14.3258,1907312
2014-10-06,14.3397,14.4683,14.3189,14.4335,1979132
2014-10-07,14.364,14.5204,14.3612,14.3988,2443587
