date,open,high,low,close,volume
2014-01-02,41.2054,41.6206,41.1511,41.5078,2575096
2014-01-03,41.3062,41.3837,41.0116,41.1279,2160612
2014-01-06,41.314,42.4846,41.1977,42.0892,3218419
2014-01-07,42.19,42.3606,41.7481,42.066,2185730
2014-01-08,42.0117,42.1125,41.6318,41.7869,1648100
2014-01-09,41.9187,42.035,41.4768,41.8799,1558330
2014-01-10,42.1008,43.035,42.0989,43.0118,2889499
2014-01-13,42.9188,43.539,42.7792,43.3762,4426342
2014-01-14,43.3529,43.3762,42.6086,42.7482,3374367
2014-01-15,42.8412,43.3103,42.8335,43.0661,2596245
2014-01-16,43.2599,43.5467,43.1436,43.4614,2183410
2014-01-17,43.57,43.601,43.0661,43.0971,2001272
2014-01-21,43.3839,43.7793,43.3141,43.756,2055012
2014-01-22,43.7483,44.0274,43.6398,43.8336,1541555
2014-01-23,43.8801,43.8956,43.3762,43.4382,2188647
2014-01-24,43.4227,43.5777,43.1591,43.3529,2934416
2014-01-27,43.3684,43.9111,43.3529,43.6087,2531846
2014-01-28,43.7328,44.2677,43.663,44.0274,1828519
2014-01-29,43.8103,44.0041,43.5661,43.9499,2141253
2014-01-30,44.1282,44.6011,44.0351,44.229,1775302
2014-01-31,44.0351,45.0507,43.7483,44.9034,2915002
2014-02-03,44.8259,44.8879,44.4305,44.5701,2274493
2014-02-04,44.5391,44.8027,44.3142,44.6786,2312362
2014-02-05,44.5933,44.7561,43.8026,44.1204,2106393
2014-02-06,44.03,44.4542,43.9278,44.2501,2066628
2014-02-07,44.3602,44.7848,44.1951,44.7297,1642252
2014-02-10,44.6275,45.0049,44.3523,44.887,1761147
2014-02-11,44.9263,45.288,44.659,44.9263,1703878
2014-02-12,44.8949,45.0364,44.5175,44.6826,1258078
2014-02-13,44.5646,45.1465,44.4624,44.8084,1458826
2014-02-14,44.8202,45.0128,44.486,44.7062,1504702
2014-02-18,44.6668,44.8634,44.2698,44.7848,1476972
2014-02-19,44.7769,45.571,44.659,45.0757,1905611
2014-02-20,45.1386,45.5632,44.2737,44.486,1846557
2014-02-21,44.4074,44.8005,44.0378,44.6433,2522231
2014-02-24,44.6511,46.0113,44.6511,45.6261,1972630
2014-02-25,45.6575,45.7047,45.1543,45.3352,1579459
2014-02-26,45.4688,45.6261,45.1307,45.5317,1310041
2014-02-27,45.5946,45.917,45.4216,45.7047,1038144
2014-02-28,45.744,46.4516,45.6575,46.1843,2273845
2014-03-03,45.972,46.3258,45.7364,46.2787,1459250
2014-03-04,46.5853,47.0256,46.4988,46.8683,1509322
2014-03-05,46.8212,47.1199,46.6008,47.0728,1225477
2014-03-06,47.0649,47.0728,46.3416,46.428,1582973
2014-03-07,46.3337,46.3651,45.2487,45.8305,2009588
2014-03-10,45.799,45.9563,45.3509,45.6732,1979652
2014-03-11,45.689,46.428,45.6339,46.2787,2216249
2014-03-12,46.2472,46.8998,46.2472,46.6325,2332624
2014-03-13,46.6954,46.6954,46.0349,46.1057,1766868
2014-03-14,46.0978,46.7268,46.0428,46.3337,1468786
2014-03-17,46.4516,46.4909,45.8777,46.0742,1234947
2014-03-18,46.1371,46.1607,45.7283,45.9091,1646222
2014-03-19,45.9563,46.3887,44.8634,44.9578,2013904
2014-03-20,44.8673,44.9106,44.3838,44.8555,2027245
2014-03-21,45.3981,45.8148,45.0442,45.7833,3762058
2014-03-24,45.799,45.9563,45.4138,45.5789,1394447
2014-03-25,45.7597,46.0428,45.4767,45.9406,1096465
2014-03-26,46.1135,46.2472,45.6418,45.6654,1228393
2014-03-27,45.6497,46.2315,45.461,46.2158,1083141
2014-03-28,46.2472,46.7111,46.1999,46.4909,1033969
2014-03-31,46.6246,47.0413,46.2236,46.8605,1534757
2014-04-01,46.9077,46.947,46.318,46.7661,1754800
2014-04-02,46.7504,47.2379,46.6325,47.0728,1369949
2014-04-03,47.1514,47.2457,46.4988,46.774,1375547
2014-04-04,46.9548,47.6153,46.7347,47.5209,1501496
2014-04-07,47.4423,48.6295,47.4344,48.1185,1903403
2014-04-08,48.0399,48.8654,48.0399,48.8261,1839233
2014-04-09,48.9362,48.9676,48.3579,48.6924,1660536
2014-04-10,48.7082,49.1092,48.1892,48.488,1644017
2014-04-11,48.4723,49.0227,48.3779,48.5666,2215296
2014-04-14,48.7239,48.8182,48.1578,48.5037,2196684
2014-04-15,48.4566,49.4551,48.2757,49.3136,2133126
2014-04-16,49.3686,49.4866,48.9834,49.4001,1569502
2014-04-17,49.2743,49.3293,48.2757,48.7003,1885159
2014-04-21,48.7632,49.0698,48.6217,48.889,1316699
2014-04-22,48.7789,48.889,48.1381,48.5824,1493772
2014-04-23,48.6531,48.7082,48.2364,48.5352,1630796
2014-04-24,48.5745,49.2035,48.4487,49.0305,1033732
2014-04-25,49.0384,49.117,48.7786,48.889,947903
2014-04-28,48.9755,49.7224,48.9519,49.6202,1664097
2014-04-29,49.7539,49.8168,49.3686,49.5023,960301
2014-04-30,49.4001,49.6202,49.29,49.6045,1101210
2014-05-01,49.5495,49.7539,48.9991,49.7303,1450092
2014-05-02,49.5809,49.7539,49.2432,49.6124,1292739
2014-05-05,49.5101,50.1824,49.4158,49.9583,1270676
2014-05-06,49.7067,50.1313,49.6281,49.8168,1432804
2014-05-07,49.8561,50.4143,49.8404,50.0291,2125130
2014-05-08,50.2002,51.2671,50.2002,51.2035,2531340
2014-05-09,51.1318,51.8324,51.0363,51.2671,2097246
2014-05-12,51.2512,51.291,50.7536,51.2035,1719478
2014-05-13,51.1557,51.6274,50.7337,50.9566,1405120
2014-05-14,51.0283,51.3547,50.7732,50.9327,1892535
2014-05-15,50.9168,51.4344,50.8531,51.3945,1961741
2014-05-16,51.2273,51.9519,51.1159,51.9439,1678004
2014-05-19,51.7926,51.8643,51.1477,51.291,1850453
2014-05-20,51.4184,51.928,51.3388,51.6016,1850184
2014-05-21,51.6016,51.6175,50.7815,50.9327,1058561
2014-05-22,50.9009,51.1159,50.6222,50.67,1461107
2014-05-23,50.8929,51.3707,50.8173,51.3627,1074803
2014-05-27,51.4344,51.5617,51.1557,51.299,1527439
2014-05-28,49.8181,49.9614,49.4439,49.6429,12135738
2014-05-29,49.6031,50.049,49.5633,49.8977,3754679
2014-05-30,49.8579,50.4948,49.7942,50.3436,2864307
2014-06-02,50.3595,50.8372,50.3595,50.5346,3387572
2014-06-03,50.5187,50.8611,50.3197,50.7178,1628817
2014-06-04,50.5426,50.9009,50.3117,50.5665,1416838
2014-06-05,50.5745,51.6135,50.5346,51.5458,2060126
2014-06-06,51.6573,51.7051,50.6382,51.0203,6830901
2014-06-09,51.0203,51.3866,50.2679,50.4391,1978935
2014-06-10,50.248,50.4152,49.7146,50.0569,2371236
2014-06-11,50.0729,50.2401,49.5712,50.1525,2117371
2014-06-12,49.9932,50.2401,49.3722,50.1206,1918469
2014-06-13,50.1684,50.3356,49.627,50.2958,1171855
2014-06-16,50.2799,50.3555,49.8738,49.9853,1327911
2014-06-17,49.8021,50.0171,49.0298,49.4598,2201462
2014-06-18,49.4677,49.5394,48.9741,49.4359,2165277
2014-06-19,49.619,50.3356,49.5235,50.1843,3473479
2014-06-20,50.2401,50.4948,49.9136,50.4869,5278961
